"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.06	17	0.68	-0.167491087293764	1.23044892137827	-1.22184874961636
1.45	16	0.64	-0.193820026016113	1.20411998265592	0.161368002234975
2.18	15	0.6	-0.221848749616356	1.17609125905568	0.338456493604605
3	14	0.56	-0.2518119729938	1.14612803567824	0.477121254719662
3.28	13	0.52	-0.283996656365201	1.11394335230684	0.515873843711679
4.8	12	0.48	-0.318758762624413	1.07918124604762	0.681241237375587
4.87	10	0.4	-0.397940008672038	1	0.687528961214634
5.09	9	0.36	-0.443697499232713	0.954242509439325	0.706717782336759
5.4	8	0.32	-0.494850021680094	0.903089986991944	0.732393759822969
5.58	7	0.28	-0.552841968657781	0.845098040014257	0.746634198937579
5.6	6	0.24	-0.619788758288394	0.778151250383644	0.7481880270062
5.7	5	0.2	-0.698970004336019	0.698970004336019	0.755874855672491
7.05	4	0.16	-0.795880017344075	0.602059991327962	0.848189116991399
7.1	3	0.12	-0.920818753952375	0.477121254719662	0.851258348719075
9.66	2	0.08	-1.09691001300806	0.301029995663981	0.984977126415493
12.05	1	0.04	-1.39794000867204	0	1.08098704691089
