"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.16	50	0.757575757575758	-0.12057393120585	1.69897000433602	-0.795880017344075
0.35	49	0.742424242424242	-0.129347855513355	1.69019608002851	-0.455931955649724
0.39	48	0.727272727272727	-0.138302698166281	1.68124123737559	-0.408935392973501
0.4	47	0.712121212121212	-0.147446077606151	1.67209785793572	-0.397940008672038
0.41	46	0.696969696969697	-0.156786103860295	1.66275783168157	-0.387216143280265
0.55	45	0.681818181818182	-0.166331421766525	1.65321251377534	-0.259637310505756
0.68	44	0.666666666666667	-0.176091259055681	1.64345267648619	-0.167491087293764
0.9	42	0.636363636363636	-0.196294645143968	1.6232492903979	-0.0457574905606751
1.08	41	0.621212121212121	-0.206760078822133	1.61278385671974	0.0334237554869497
1.26	39	0.590909090909091	-0.228479328515369	1.5910646070265	0.100370545117563
1.55	38	0.575757575757576	-0.239760338925058	1.57978359661681	0.190331698170291
2.01	36	0.545454545454545	-0.263241434774581	1.55630250076729	0.303196057420489
2.58	35	0.53030303030303	-0.275475891191593	1.54406804435028	0.41161970596323
2.62	34	0.515151515151515	-0.288065018499614	1.53147891704226	0.418301291319745
3.2	33	0.5	-0.301029995663981	1.51851393987789	0.505149978319906
3.65	32	0.484848484848485	-0.314393957221963	1.50514997831991	0.562292864456475
3.67	31	0.46969696969697	-0.328182241707596	1.49136169383427	0.564666064252089
3.97	30	0.454545454545455	-0.342422680822206	1.47712125471966	0.598790506763115
4	29	0.439393939393939	-0.357145937642913	1.46239799789896	0.602059991327962
4.17	28	0.424242424242424	-0.372385904199649	1.44715803134222	0.620136054973757
4.24	27	0.409090909090909	-0.388180171382881	1.43136376415899	0.627365856592733
4.26	26	0.393939393939394	-0.404570587571051	1.41497334797082	0.629409599102719
5.05	25	0.378787878787879	-0.421603926869831	1.39794000867204	0.703291378118661
5.35	24	0.363636363636364	-0.439332693830263	1.38021124171161	0.728353782021228
5.72	23	0.348484848484849	-0.457816099524276	1.36172783601759	0.757396028793024
5.76	22	0.333333333333333	-0.477121254719662	1.34242268082221	0.760422483423212
6.17	21	0.318181818181818	-0.497324640807949	1.32221929473392	0.790285164033242
6.44	20	0.303030303030303	-0.518513939877888	1.30102999566398	0.808885867359812
6.67	19	0.287878787878788	-0.54079033458904	1.27875360095283	0.824125833916549
6.76	18	0.272727272727273	-0.564271430438563	1.25527250510331	0.829946695941636
8.3	17	0.257575757575758	-0.589095014163595	1.23044892137827	0.919078092376074
8.35	16	0.242424242424242	-0.615423952885944	1.20411998265592	0.921686475483602
8.48	15	0.227272727272727	-0.643452676486187	1.17609125905568	0.928395852256714
9.4	14	0.212121212121212	-0.673415899863631	1.14612803567824	0.973127853599699
10.77	13	0.196969696969697	-0.705600583235032	1.11394335230684	1.03221570329798
11.34	12	0.181818181818182	-0.740362689494244	1.07918124604762	1.05461305455689
11.75	11	0.166666666666667	-0.778151250383644	1.04139268515823	1.07003786660776
12.24	10	0.151515151515152	-0.819543935541869	1	1.08778141780954
12.68	9	0.136363636363636	-0.865301426102544	0.954242509439325	1.10311925354571
13.07	8	0.121212121212121	-0.916453948549925	0.903089986991944	1.11627558758054
15.29	7	0.106060606060606	-0.974445895527612	0.845098040014257	1.18440748541232
16.05	6	0.0909090909090909	-1.04139268515822	0.778151250383644	1.20547503674089
16.34	5	0.0757575757575758	-1.12057393120585	0.698970004336019	1.2132520521964
19.3	4	0.0606060606060606	-1.21748394421391	0.602059991327962	1.28555730900777
20.69	3	0.0454545454545455	-1.34242268082221	0.477121254719662	1.31576049066573
20.75	2	0.0303030303030303	-1.51851393987789	0.301029995663981	1.31701810104811
21.95	1	0.0151515151515152	-1.81954393554187	0	1.34143452457814
