"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.64	12	0.666666666666667	-0.176091259055681	1.07918124604762	-0.193820026016113
0.65	11	0.611111111111111	-0.213879819945081	1.04139268515823	-0.187086643357144
0.66	10	0.555555555555556	-0.255272505103306	1	-0.180456064458131
1.48	9	0.5	-0.301029995663981	0.954242509439325	0.170261715394957
1.78	8	0.444444444444444	-0.352182518111363	0.903089986991944	0.250420002308894
1.79	6	0.333333333333333	-0.477121254719662	0.778151250383644	0.252853030979893
2.54	5	0.277777777777778	-0.556302500767287	0.698970004336019	0.404833716619938
6.05	4	0.222222222222222	-0.653212513775344	0.602059991327962	0.781755374652469
6.48	3	0.166666666666667	-0.778151250383644	0.477121254719662	0.811575005870593
9.29	2	0.111111111111111	-0.954242509439325	0.301029995663981	0.968015713993642
10.34	1	0.0555555555555556	-1.25527250510331	0	1.01452053875792
