"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.51	22	0.814814814814815	-0.0889410833367811	1.34242268082221	-0.292429823902064
0.95	21	0.777777777777778	-0.109144469425068	1.32221929473392	-0.0222763947111523
1.48	20	0.740740740740741	-0.130333768495006	1.30102999566398	0.170261715394957
2.6	19	0.703703703703704	-0.152610163206158	1.27875360095283	0.414973347970818
2.8	18	0.666666666666667	-0.176091259055681	1.25527250510331	0.447158031342219
3.57	17	0.62962962962963	-0.200914842780713	1.23044892137827	0.552668216112193
3.89	16	0.592592592592593	-0.227243781503063	1.20411998265592	0.589949601325708
3.97	15	0.555555555555556	-0.255272505103306	1.17609125905568	0.598790506763115
4.02	13	0.481481481481481	-0.317420411852151	1.11394335230684	0.60422605308447
5.33	12	0.444444444444444	-0.352182518111363	1.07918124604762	0.726727209026572
5.72	11	0.407407407407407	-0.389971079000762	1.04139268515823	0.757396028793024
6.31	10	0.37037037037037	-0.431363764158987	1	0.800029359244134
7	9	0.333333333333333	-0.477121254719662	0.954242509439325	0.845098040014257
7.5	8	0.296296296296296	-0.528273777167044	0.903089986991944	0.8750612633917
8.13	7	0.259259259259259	-0.586265724144731	0.845098040014257	0.910090545594068
8.47	6	0.222222222222222	-0.653212513775344	0.778151250383644	0.927883410330707
8.59	5	0.185185185185185	-0.732393759822969	0.698970004336019	0.933993163831242
9.1	4	0.148148148148148	-0.829303772831025	0.602059991327962	0.959041392321094
9.44	3	0.111111111111111	-0.954242509439325	0.477121254719662	0.974971994298069
12.69	2	0.0740740740740741	-1.13033376849501	0.301029995663981	1.1034616220947
30.36	1	0.037037037037037	-1.43136376415899	0	1.48230176722344
