"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
1.1	19	0.339285714285714	-0.469434426053371	1.27875360095283	0.0413926851582251
1.57	18	0.321428571428571	-0.492915521902894	1.25527250510331	0.195899652409234
1.98	17	0.303571428571429	-0.517739105627927	1.23044892137827	0.296665190261531
2	16	0.285714285714286	-0.544068044350276	1.20411998265592	0.301029995663981
2.25	15	0.267857142857143	-0.572096767950519	1.17609125905568	0.352182518111362
2.35	14	0.25	-0.602059991327962	1.14612803567824	0.371067862271736
3.88	13	0.232142857142857	-0.634244674699364	1.11394335230684	0.588831725594207
4.5	11	0.196428571428571	-0.706795341847975	1.04139268515823	0.653212513775344
4.68	10	0.178571428571429	-0.7481880270062	1	0.670245853074124
4.8	9	0.160714285714286	-0.793945517566875	0.954242509439325	0.681241237375587
5.48	8	0.142857142857143	-0.845098040014257	0.903089986991944	0.738780558484369
5.5	7	0.125	-0.903089986991944	0.845098040014257	0.740362689494244
6.23	6	0.107142857142857	-0.970036776622557	0.778151250383644	0.79448804665917
6.25	4	0.0714285714285714	-1.14612803567824	0.602059991327962	0.795880017344075
7.75	3	0.0535714285714286	-1.27106677228654	0.477121254719662	0.88930170250631
7.79	2	0.0357142857142857	-1.44715803134222	0.301029995663981	0.891537457672564
9	1	0.0178571428571429	-1.7481880270062	0	0.954242509439325
