"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.17	20	0.5	-0.301029995663981	1.30102999566398	-0.769551078621726
0.2	19	0.475	-0.323306390375133	1.27875360095283	-0.698970004336019
0.31	18	0.45	-0.346787486224656	1.25527250510331	-0.508638306165727
0.32	17	0.425	-0.371611069949688	1.23044892137827	-0.494850021680094
0.39	16	0.4	-0.397940008672038	1.20411998265592	-0.408935392973501
0.45	15	0.375	-0.425968732272281	1.17609125905568	-0.346787486224656
0.46	14	0.35	-0.455931955649724	1.14612803567824	-0.337242168318426
0.64	13	0.325	-0.488116639021126	1.11394335230684	-0.193820026016113
1.47	11	0.275	-0.560667306169737	1.04139268515823	0.167317334748176
1.5	10	0.25	-0.602059991327962	1	0.176091259055681
1.55	9	0.225	-0.647817481888638	0.954242509439325	0.190331698170291
1.56	8	0.2	-0.698970004336019	0.903089986991944	0.193124598354462
1.79	7	0.175	-0.756961951313706	0.845098040014257	0.252853030979893
1.83	6	0.15	-0.823908740944319	0.778151250383644	0.262451089730429
2.43	5	0.125	-0.903089986991944	0.698970004336019	0.385606273598312
3.54	4	0.1	-1	0.602059991327962	0.549003262025788
4.25	2	0.05	-1.30102999566398	0.301029995663981	0.628388930050311
