"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.0111	16	0.64	-0.193820026016113	1.20411998265592	-1.95467702121334
0.0156977705423414	15	0.6	-0.221848749616356	1.17609125905568	-1.80416202338135
0.0192257639640145	14	0.56	-0.2518119729938	1.14612803567824	-1.71611639385351
0.029367839552817	13	0.52	-0.283996656365201	1.11394335230684	-1.53212800120621
0.0496407091004953	12	0.48	-0.318758762624413	1.07918124604762	-1.30416202338135
0.0719362217523273	11	0.44	-0.356547323513813	1.04139268515823	-1.14305237601439
0.210607692167214	10	0.4	-0.397940008672038	1	-0.676525770829699
0.31238168960424	9	0.36	-0.443697499232713	0.954242509439325	-0.505314430418596
0.42296680720832	8	0.32	-0.494850021680094	0.903089986991944	-0.373693713031305
0.639383124581811	7	0.28	-0.552841968657781	0.845098040014257	-0.194238830369172
0.65027434210493	6	0.24	-0.619788758288394	0.778151250383644	-0.186903381625009
1.09434966989532	5	0.2	-0.698970004336019	0.698970004336019	0.0391561112497939
1.53441190362953	4	0.16	-0.795880017344075	0.602059991327962	0.185941959000576
2.44462222848439	3	0.12	-0.920818753952375	0.477121254719662	0.388211756400112
7.2295008126426	2	0.08	-1.09691001300806	0.301029995663981	0.859108310876929
8.73230728272889	1	0.04	-1.39794000867204	0	0.9411290097725
