"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.0941866232540481	15	0.375	-0.425968732272281	1.17609125905568	-1.02601077299771
0.184072675864725	14	0.35	-0.455931955649724	1.14612803567824	-0.73501067429821
0.354505571183303	13	0.325	-0.488116639021126	1.11394335230684	-0.450376935332384
0.410099561082428	12	0.3	-0.522878745280338	1.07918124604762	-0.387110695524955
0.456316666362297	10	0.25	-0.602059991327962	1	-0.340733668906506
0.459277171215814	9	0.225	-0.647817481888638	0.954242509439325	-0.337925141042775
0.621500884955122	8	0.2	-0.698970004336019	0.903089986991944	-0.206558248629975
1.12914882987142	7	0.175	-0.756961951313706	0.845098040014257	0.0527511888089099
1.15178212783495	6	0.15	-0.823908740944319	0.778151250383644	0.0613703353131094
1.17114205799297	5	0.125	-0.903089986991944	0.698970004336019	0.0686095776176616
1.19365004921878	4	0.1	-1	0.602059991327962	0.076877020285967
1.59924769188516	3	0.075	-1.1249387366083	0.477121254719662	0.203915732594376
2.70393812799036	2	0.05	-1.30102999566398	0.301029995663981	0.431996749777069
2.71961326294751	1	0.025	-1.60205999132796	0	0.434507150464594
