"species"	"hexcount"	"area"
"Addax_nasomaculatus_Centroid"	554	931.187200367243
"Aepyceros_melampus_Centroid"	1660	929.873314298522
"Agalmaceros_blicki_Centroid"	289	170.838991013496
"Alcelaphus_buselaphus_Centroid"	4026	4117.30588806196
"Alces_alces_Centroid"	12160	11660.1048204862
"Ammodorcas_clarkei_Centroid"	145	38.494865486988
"Ammotragus_lervia_Centroid"	3147	1306.39914478274
"Antidorcas_australis_Centroid"	460	201.65670018888
"Antidorcas_bondi_Centroid"	2696	1192.10583684447
"Antidorcas_marsupialis_Centroid"	947	437.43758895216
"Antifer_ultra_Centroid"	1199	601.911019026403
"Antilocapra_americana_Centroid"	2451	999.83742613198
"Antilope_cervicapra_Centroid"	1273	571.51278061801
"Arabitragus_jayakari_Centroid"	57	22.810666268109
"Axis_axis_Centroid"	1193	564.27907943875
"Axis_calamianensis_Centroid"	10	1.98980436325001
"Axis_kuhlii_Centroid"	115	35.106918008112
"Axis_porcinus_Centroid"	547	841.238811149904
"Babyrousa_babyrussa_Centroid"	31	8.344201289166
"Babyrousa_celebensis_Centroid"	148	50.61724131151
"Babyrousa_togeanensis_Centroid"	8	0.799351619590998
"Beatragus_hunteri_Centroid"	36	7.9684240734
"Bison_bison_Centroid"	3990	3992.84559744518
"Bison_bonasus_Centroid"	6134	5100.83708701904
"Blastocerus_dichotomus_Centroid"	1905	870.735906975429
"Bootherium_bombifrons_Centroid"	3815	1828.1256602892
"Bos_gaurus_Centroid"	2026	1024.67876672616
"Bos_javanicus_Centroid"	1709	1240.42854098424
"Bos_mutus_Centroid"	2345	1473.32368232623
"Bos_primigenius_Centroid"	11548	8390.97956696089
"Bos_sauveli_Centroid"	35	7.07049030847602
"Boselaphus_tragocamelus_Centroid"	1156	511.120063944352
"Bubalus_arnee_Centroid"	1672	906.464227499472
"Bubalus_depressicornis_Centroid"	187	63.6692935075
"Bubalus_grovesi_Centroid"	187	63.6692935075
"Bubalus_mindorensis_Centroid"	18	3.75574815489
"Bubalus_palaeokerabau_Centroid"	112	35.106918008112
"Bubalus_quarlesi_Centroid"	108	33.793704587608
"Budorcas_taxicolor_Centroid"	329	218.754354540012
"Camelops_hesternus_Centroid"	4258	4416.20608816081
"Camelus_dromedarius_Centroid"	9156	4717.69524093097
"Camelus_ferus_Centroid"	2105	1061.11577599658
"Candiacervus_cretensis_Centroid"	21	6.27105731445899
"Candiacervus_dorothensis_Centroid"	21	6.27105731445899
"Candiacervus_major_Centroid"	21	6.27105731445899
"Candiacervus_rethymnensis_Centroid"	21	6.27105731445899
"Candiacervus_ropalophorus_Centroid"	21	6.27105731445899
"Candiacervus_spII_Centroid"	21	6.27105731445899
"Capra_aegagrus_Centroid"	1086	796.91897397184
"Capra_caucasica_Centroid"	29	7.620912326208
"Capra_cylindricornis_Centroid"	43	21.631583616725
"Capra_falconeri_Centroid"	204	103.554610479222
"Capra_ibex_Centroid"	105	59.831226391968
"Capra_nubiana_Centroid"	374	590.223767059682
"Capra_pyrenaica_Centroid"	279	120.938420363617
"Capra_sibirica_Centroid"	1184	975.297311850961
"Capra_walie_Centroid"	7	1.062079825704
"Capreolus_capreolus_Centroid"	3426	2462.48036974973
"Capreolus_miyakoensis_Centroid"	18	8.79620814747998
"Capreolus_pygargus_Centroid"	5429	3392.21351993475
"Capricornis_crispus_Centroid"	154	121.353588121194
"Capricornis_milneedwardsii_Centroid"	1774	851.39631363438
"Capricornis_rubidus_Centroid"	108	41.675718217728
"Capricornis_sumatraensis_Centroid"	213	140.204401657464
"Capricornis_swinhoei_Centroid"	37	10.722209700004
"Capricornis_thar_Centroid"	394	396.78517150935
"CapriniGen_spA_Centroid"	902	1131.3279689318
"Capromeryx_minor_Centroid"	2628	1287.57183723047
"Catagonus_stenocephalus_Centroid"	4894	1812.98564490397
"Catagonus_wagneri_Centroid"	442	187.754197361949
"Cephalophus_adersi_Centroid"	18	13.8889547141
