"species"	"hexcount"
"Addax"	554
"Aepyceros"	1660
"Agalmaceros"	289
"Alcelaphus"	4026
"Alces"	12160
"Ammodorcas"	145
"Ammotragus"	3147
"Antidorcas"	2796
"Antifer"	1199
"Antilocapra"	2451
"Antilope"	1273
"Arabitragus"	57
"Axis"	1723
"Babyrousa"	183
"Beatragus"	36
"Bison"	10124
"Blastocerus"	1905
"Bootherium"	3815
"Bos"	15154
"Boselaphus"	1156
"Bubalus"	1989
"Budorcas"	329
"Camelops"	4258
"Camelus"	11150
"Candiacervus"	21
"Capra"	3179
"Capreolus"	8823
"Capricornis"	2488
"CapriniGen"	902
"Capromeryx"	2628
"Catagonus"	5027
"Cephalophus"	4164
"Cervalces"	906
"Cervus"	14701
"Choeropsis"	160
"Connochaetes"	1614
"Dama"	3739
"Damaliscus"	5613
"Dicroceros"	18
"Dorcatragus"	105
"Elaphodus"	909
"Elaphurus"	906
"Euceratherium"	1306
"Eudorcas"	1411
"Gazella"	10276
"Giraffa"	3493
"Haploidoceros"	1627
"Hemiauchenia"	5640
"Hemitragus"	594
"Hexaprotodon"	112
"Hippocamelus"	858
"Hippopotamus"	9851
"Hippotragus"	4074
"Hydropotes"	864
"Hyemoschus"	1230
"Hylochoerus"	1271
"Kobus"	4382
"Kolpochoerus"	2560
"Lama"	1006
"Litocranius"	715
"Madoqua"	1511
"Mazama"	6539
"Megaceroides"	279
"Megaloceros"	6936
"Megalotragus"	460
"Megalovis"	579
"Metridiochoerus"	2221
"Morenelaphus"	4894
"Moschiola"	998
"Moschus"	4840
"Muknalia"	1663
"Muntiacus"	4394
"Mylohyus"	3678
"Myotragus"	17
"Naemorhedus"	1902
"Nanger"	3071
"Navahoceros"	4520
"Neotragus"	740
"Nesotragus"	760
"Nilgiritragus"	41
"Odocoileus"	7966
"Okapia"	183
"Oreamnos"	2048
"Oreotragus"	2717
"Oryx"	5499
"Ourebia"	3780
"Ovibos"	4110
"Ovis"	7085
"Ozotoceros"	2543
"Palaeolama"	6342
"Pantholops"	544
"Paraceros"	2195
"Pecari"	7032
"Pelea"	355
"Pelorovis"	1427
"Phacochoerus"	5361
"Phanourios"	23
"Philantomba"	3559
"Platygonus"	5160
"Porcula"	31
"Potamochoerus"	4705
"Praemegaceros"	32
"Procapra"	1634
"Pseudois"	1301
"Pseudoryx"	46
"Pudu"	318
"Rangifer"	14992
"Raphicerus"	2713
"Redunca"	4911
"Rucervus"	1429
"Rupicapra"	530
"Rusa"	4221
"Rusingoryx"	2560
"Saiga"	4786
"Sangamona"	2626
"Sinomegaceros"	1042
"Sivacobus"	1047
"Soergelia"	5339
"Spirocerus"	2020
"Stockoceros"	1884
"Sus"	16692
"Sylvicapra"	5998
"Syncerus"	5599
"Tayassu"	6035
"Tetracerus"	952
"Tetrameryx"	1530
"Tragelaphus"	7160
"Tragulus"	1573
"Vicugna"	500
