"species"	"hexcount"
"Acinonyx"	"15379"
"Ailuropoda"	"756"
"Ailurus"	"494"
"Aonyx"	"9124"
"Arctictis"	"1833"
"Arctocephalus"	"18915"
"Arctodus"	"7618"
"Arctogalidia"	"1606"
"Arctonyx"	"2989"
"Arctotherium"	"4115"
"Atelocynus"	"1295"
"Atilax"	"6135"
"Bassaricyon"	"2361"
"Bassariscus"	"2255"
"Bdeogale"	"1969"
"Brachyprotoma"	"6074"
"Callorhinus"	"7359"
"Canis"	"46454"
"Caracal"	"15436"
"Catopuma"	"2370"
"Cerdocyon"	"3917"
"Chrotogale"	"202"
"Chrysocyon"	"2037"
"Civettictis"	"6442"
"Conepatus"	"4928"
"Crocuta"	"18896"
"Crossarchus"	"1286"
"Cryptoprocta"	"328"
"Cuon"	"25968"
"Cynictis"	"1061"
"Cynogale"	"800"
"Cynotherium"	"32"
"Cystophora"	"3919"
"Diplogale"	"118"
"Dologale"	"284"
"Dusicyon"	"833"
"Eira"	"5939"
"Enhydra"	"2349"
"Erignathus"	"8069"
"Eumetopias"	"3371"
"Eupleres"	"252"
"Felis"	"20836"
"Fossa"	"222"
"Galictis"	"6966"
"Galidia"	"233"
"Galidictis"	"201"
"Genetta"	"9403"
"Gulo"	"15803"
"Halichoerus"	"2275"
"Helarctos"	"1883"
"Helogale"	"3159"
"Hemigalus"	"826"
"Herpailurus"	"6832"
"Herpestes"	"14424"
"Histriophoca"	"3809"
"Homotherium"	"8113"
"Hyaena"	"10859"
"Hydrictis"	"4599"
"Hydrurga"	"1731"
"Ichneumia"	"6400"
"Ictonyx"	"7793"
"Leopardus"	"10486"
"Leptailurus"	"7140"
"Leptonychotes"	"1731"
"Liberiictis"	"67"
"Lobodon"	"1391"
"Lontra"	"14106"
"Lutra"	"14909"
"Lutrogale"	"2600"
"Lycalopex"	"3505"
"Lycaon"	"7856"
"Lyncodon"	"668"
"Lynx"	"25166"
"Macrogalidia"	"127"
"Martes"	"22652"
"Meles"	"12011"
"Mellivora"	"12812"
"Melogale"	"2532"
"Melursus"	"876"
"Mephitis"	"5895"
"Miracinonyx"	"1071"
"Mirounga"	"24485"
"Monachus"	"3001"
"Mungos"	"5170"
"Mungotictis"	"54"
"Mustela"	"32069"
"Mydaus"	"137"
"Nandinia"	"2822"
"Nasua"	"6024"
"Nasuella"	"248"
"Neofelis"	"2628"
"Neomonachus"	"1201"
"Neophoca"	"677"
"Neovison"	"6527"
"Nyctereutes"	"3033"
"Odobenus"	"4744"
"Ommatophoca"	"1391"
"Otaria"	"1506"
"Otocolobus"	"4071"
"Otocyon"	"2296"
"Pagophilus"	"5623"
"Paguma"	"3300"
"Panthera"	"45813"
"Paracynictis"	"933"
"Paradoxurus"	"4010"
"Parahyaena"	"1541"
"Pardofelis"	"1627"
"Phoca"	"8121"
"Phocarctos"	"1224"
"Poecilogale"	"2562"
"Poiana"	"1007"
"Potos"	"5510"
"Prionailurus"	"5627"
"Prionodon"	"2212"
"Procyon"	"11018"
"Proteles"	"2988"
"Protocyon"	"4186"
"Pteronura"	"2832"
"Puma"	"13282"
"Pusa"	"9881"
"Rhynchogale"	"1032"
"Salanoia"	"98"
"Smilodon"	"11437"
"Speothos"	"5020"
"Spilogale"	"3626"
"Suricata"	"864"
"Taxidea"	"3928"
"Theriodictis"	"545"
"Tremarctos"	"938"
"Urocyon"	"4341"
"Ursus"	"35817"
"Viverra"	"3519"
"Viverricula"	"4033"
"Vormela"	"3959"
"Vulpes"	"37881"
"Zalophus"	"2780"
