"species"	"hexcount"	"area"
"Addax"	"554"	"931.187200367243"
"Aepyceros"	"1660"	"929.873314298522"
"Agalmaceros"	"289"	"170.838991013496"
"Alcelaphus"	"4026"	"4117.30588806196"
"Alces"	"12160"	"11660.1048204862"
"Ammodorcas"	"145"	"38.494865486988"
"Ammotragus"	"3147"	"1306.39914478274"
"Antidorcas"	"2796"	"1228.24668239385"
"Antifer"	"1199"	"601.911019026403"
"Antilocapra"	"2451"	"999.83742613198"
"Antilope"	"1273"	"571.51278061801"
"Arabitragus"	"57"	"22.810666268109"
"Axis"	"1723"	"2224.48067820737"
"Babyrousa"	"183"	"64.338969902715"
"Balaena"	"5378"	"14654.3610958019"
"Balaenoptera"	"133436"	"53881.51219977"
"Beatragus"	"36"	"7.9684240734"
"Berardius"	"43498"	"45813.3689115123"
"Bison"	"10124"	"14390.4179749756"
"Blastocerus"	"1905"	"870.735906975429"
"Bootherium"	"3815"	"1828.1256602892"
"Bos"	"15154"	"10844.0268938076"
"Boselaphus"	"1156"	"511.120063944352"
"Bubalus"	"1989"	"2120.51523147464"
"Budorcas"	"329"	"218.754354540012"
"Camelops"	"4258"	"4416.20608816081"
"Camelus"	"11150"	"7313.10323301048"
"Candiacervus"	"21"	"6.27105731445899"
"Caperea"	"29514"	"15008.4196541191"
"Capra"	"3179"	"5016.3790681554"
"Capreolus"	"8823"	"6488.20025077676"
"Capricornis"	"2488"	"3328.14207172551"
"CapriniGen"	"902"	"1131.3279689318"
"Capromeryx"	"2628"	"1287.57183723047"
"Catagonus"	"5027"	"1812.98564490397"
"Cephalophus"	"4164"	"2759.4258009894"
"Cephalorhynchus"	"1145"	"11605.675569003"
"Cervalces"	"906"	"609.25740812706"
"Cervus"	"14701"	"14186.6884064843"
"Choeropsis"	"160"	"123.15000415873"
"Connochaetes"	"1614"	"837.889878759623"
"Dama"	"3739"	"2857.3166642824"
"Damaliscus"	"5613"	"3429.54029653342"
"Delphinapterus"	"6231"	"16140.6857820917"
"Delphinus"	"40546"	"41211.1234192459"
"Dicroceros"	"18"	"8.79620814747998"
"Dorcatragus"	"105"	"34.584672671119"
"Elaphodus"	"909"	"329.345141258448"
"Elaphurus"	"906"	"358.798837310208"
"Eschrichtius"	"3689"	"19600.1169452288"
"Eubalaena"	"41487"	"48204.7696085747"
"Euceratherium"	"1306"	"745.734344787474"
"Eudorcas"	"1411"	"1444.5903918926"
"Feresa"	"83653"	"29382.5907159715"
"Gazella"	"10276"	"6629.40299174496"
"Giraffa"	"3493"	"2844.39720679767"
"Globicephala"	"124404"	"48296.4146991049"
