"species"	"hexcount"	"area"
"Cabassous_centralis_Centroid"	"507"	"378.694806184665"
"Cabassous_chacoensis_Centroid"	"262"	"139.503041127"
"Cabassous_tatouay_Centroid"	"1159"	"424.226106519504"
"Cabassous_unicinctus_Centroid"	"4130"	"1511.67413351399"
"Calyptophractus_retusus_Centroid"	"155"	"55.516795363941"
"Chaetophractus_vellerosus_Centroid"	"889"	"379.421733728024"
"Chaetophractus_villosus_Centroid"	"1203"	"647.70903857803"
"Chlamyphorus_truncatus_Centroid"	"235"	"105.829442371025"
"Dasypus_bellus_Centroid"	"3123"	"1740.7417098413"
"Dasypus_hybridus_Centroid"	"675"	"251.413742799912"
"Dasypus_kappleri_Centroid"	"2636"	"874.413569789623"
"Dasypus_novemcinctus_Centroid"	"6896"	"5028.57536429895"
"Dasypus_pilosus_Centroid"	"61"	"27.644427808332"
"Dasypus_sabanicola_Centroid"	"246"	"87.960517922472"
"Dasypus_septemcinctus_Centroid"	"2517"	"907.89370041022"
"Dasypus_yepesi_Centroid"	"27"	"5.84215093813703"
"Doedicurus_clavicaudatus_Centroid"	"311"	"162.925170362136"
"Euphractus_sexcinctus_Centroid"	"3321"	"1303.41893271852"
"Eutatus_seguini_Centroid"	"954"	"504.869117459382"
"Glyptodon_clavipes_Centroid"	"2703"	"1028.8541146812"
"Glyptodon_reticulatus_Centroid"	"668"	"367.241116718697"
"Glyptotherium_cylindricum_Centroid"	"5943"	"4803.67776818529"
"Glyptotherium_floridanum_Centroid"	"1917"	"927.441114022089"
"Holmesina_occidentalis_Centroid"	"354"	"147.346511412785"
"Holmesina_paulacoutoi_Centroid"	"4275"	"1636.8790699128"
"Holmesina_septentrionalis_Centroid"	"1986"	"1218.82914564207"
"Hoplophorus_euphractus_Centroid"	"4009"	"1591.85675744138"
"Neosclerocalyptus_paskoenis_Centroid"	"1006"	"392.092890467802"
"Neuryurus_trabeculatus_Centroid"	"2195"	"799.471557474983"
"Pachyarmatherium_brasiliense_Centroid"	"1692"	"895.632886110312"
"Pampatherium_humboldti_Centroid"	"4740"	"1766.41337963159"
"Pampatherium_typum_Centroid"	"899"	"487.757371205811"
"Panochthus_tuberculatus_Centroid"	"1427"	"622.224251424702"
"Priodontes_maximus_Centroid"	"4080"	"1531.93601808422"
"Propraopus_punctatus_Centroid"	"609"	"209.254014504308"
"Propraopus_sulcatus_Centroid"	"1122"	"1242.99302352829"
"Tolypeutes_matacus_Centroid"	"602"	"263.172567788875"
"Tolypeutes_tricinctus_Centroid"	"481"	"154.531350226176"
"Zaedyus_pichiy_Centroid"	"672"	"303.060142375256"
