"species"	"hexcount"
"Acrobates"	"733"
"Aepyprymnus"	"454"
"Ailurops"	"205"
"Bettongia"	"2333"
"Borungaboodie"	"163"
"Burramys"	"14"
"Caloprymnus"	"127"
"Cercartetus"	"1009"
"Dactylonax"	"192"
"Dactylopsila"	"560"
"Dendrolagus"	"511"
"Diprotodon"	"1049"
"Distoechurus"	"345"
"Dorcopsis"	"430"
"Dorcopsulus"	"167"
"Gymnobelideus"	"19"
"Hemibelideus"	"17"
"Hypsiprymnodon"	"28"
"Lagorchestes"	"2224"
"Lagostrophus"	"170"
"Lasiorhinus"	"587"
"Macropus"	"3566"
"Maokopia"	"125"
"Metasthenurus"	"458"
"Onychogalea"	"2192"
"Palorchestes"	"239"
"Petauroides"	"474"
"Petaurus"	"1735"
"Petrogale"	"1356"
"Petropseudes"	"212"
"Phalanger"	"686"
"Phascolarctos"	"851"
"Phascolonus"	"715"
"Potorous"	"373"
"Procoptodon"	"1018"
"Propleopus"	"602"
"Protemnodon"	"1225"
"Pseudocheirus"	"767"
"Pseudochirops"	"257"
"Pseudochirulus"	"418"
"Setonix"	"66"
"Simosthenurus"	"736"
"Spilocuscus"	"650"
"Sthenurus"	"1171"
"Strigocuscus"	"191"
"Tarsipes"	"181"
"Thylacoleo"	"1024"
"Thylogale"	"753"
"Trichosurus"	"3305"
"Troposodon"	"589"
"Vombatus"	"468"
"Wallabia"	"845"
"Warendja"	"272"
"Wyulda"	"77"
"Zygomaturus"	"356"
