"species"	"hexcount"	"area"
"Anourosorex"	"724"	"553.443221593278"
"Atelerix"	"4585"	"5366.6868509163"
"Blarina"	"2483"	"1464.21257765112"
"Blarinella"	"359"	"218.151532035908"
"Chimarrogale"	"1984"	"3104.48374169962"
"Chodsigoa"	"582"	"555.732528997998"
"Condylura"	"1805"	"1224.81055583605"
"Congosorex"	"108"	"289.829265956896"
"Crocidura"	"22621"	"15371.7472777051"
"Cryptotis"	"2476"	"1945.39798097379"
"Desmana"	"855"	"722.459014805022"
"Diplomesodon"	"892"	"463.419592515927"
"Dymecodon"	"110"	"113.651125127628"
"Echinosorex"	"805"	"436.382228141236"
"Episoriculus"	"396"	"454.48375712922"
"Erinaceus"	"7350"	"6681.70064572121"
"Euroscaptor"	"866"	"2081.99546548286"
"Feroculus"	"21"	"33.660265700112"
"Galemys"	"149"	"62.1702186085359"
"Hemiechinus"	"4308"	"3304.20320666597"
"Hylomys"	"1055"	"790.018617711191"
"Megasorex"	"114"	"54.268732862217"
"Mesechinus"	"2187"	"1186.55593932242"
"Mogera"	"1218"	"1287.37930479706"
"Myosorex"	"480"	"1258.25348007761"
"Nectogale"	"358"	"275.739896890132"
"Neohylomys"	"38"	"9.27388483812598"
"Neomys"	"6731"	"6525.50979442861"
"Neotetracus"	"223"	"140.9791439196"
"Nesiotites"	"49"	"34.515303758092"
"Nesophontes"	"220"	"130.044188658"
"Neurotrichus"	"162"	"64.958772216272"
"Notiosorex"	"1201"	"549.344872938235"
"Paracrocidura"	"426"	"304.741735543377"
"Paraechinus"	"3430"	"3097.38906749677"
"Parascalops"	"457"	"210.41424804063"
"Parascaptor"	"275"	"122.622423645435"
"Podogymnura"	"39"	"13.686969265858"
"Ruwenzorisorex"	"43"	"14.095569824784"
"Scalopus"	"1666"	"814.82363383153"
"Scapanulus"	"212"	"75.236029199595"
"Scapanus"	"401"	"184.069759930137"
"Scaptochirus"	"619"	"377.7604425135"
"Scaptonyx"	"484"	"175.422721875936"
"Scutisorex"	"240"	"76.24094037588"
"Solenodon"	"184"	"105.34296670215"
"Solisorex"	"2"	"0.0234512323650003"
"Sorex"	"20164"	"22628.0276285465"
"Soriculus"	"158"	"120.275232727648"
"Suncus"	"9886"	"11837.8537172857"
"Surdisorex"	"15"	"9.46931424231"
"Sylvisorex"	"1069"	"488.319317075205"
"Talpa"	"5352"	"5144.3739737932"
"Uropsilus"	"410"	"182.39015754973"
"Urotrichus"	"256"	"169.203770007662"
