"species"	"hexcount"	"area"
"Aztlanolagus_agilis_Centroid"	"857"	"452.477472821472"
"Brachylagus_idahoensis_Centroid"	"300"	"160.534284626"
"Bunolagus_monticularis_Centroid"	"67"	"20.60696886456"
"Caprolagus_hispidus_Centroid"	"107"	"45.465265772528"
"Lepus_alleni_Centroid"	"177"	"105.064007571542"
"Lepus_americanus_Centroid"	"4684"	"4044.39806087093"
"Lepus_arcticus_Centroid"	"2917"	"5197.75494757152"
"Lepus_brachyurus_Centroid"	"252"	"169.203770007662"
"Lepus_californicus_Centroid"	"2106"	"961.161730420218"
"Lepus_callotis_Centroid"	"282"	"228.12567556608"
"Lepus_capensis_Centroid"	"5850"	"7057.80523728763"
"Lepus_castroviejoi_Centroid"	"11"	"2.47281148819199"
"Lepus_comus_Centroid"	"256"	"90.2943864228779"
"Lepus_coreanus_Centroid"	"157"	"64.3318248980701"
"Lepus_corsicanus_Centroid"	"105"	"44.351547523321"
"Lepus_europaeus_Centroid"	"4781"	"3657.15272388315"
"Lepus_fagani_Centroid"	"120"	"37.2278140874"
"Lepus_flavigularis_Centroid"	"7"	"0.956287556728006"
"Lepus_granatensis_Centroid"	"270"	"117.27403307577"
"Lepus_habessinicus_Centroid"	"676"	"312.335436176874"
"Lepus_hainanus_Centroid"	"11"	"2.67172736984"
"Lepus_insularis_Centroid"	"4"	"0.369594415249001"
"Lepus_mandshuricus_Centroid"	"539"	"297.483044035372"
"Lepus_nigricollis_Centroid"	"1705"	"2166.84088895686"
"Lepus_oiostolus_Centroid"	"1317"	"526.202093464448"
"Lepus_othus_Centroid"	"208"	"178.34960497002"
"Lepus_peguensis_Centroid"	"685"	"280.910967538166"
"Lepus_saxatilis_Centroid"	"685"	"254.32568810616"
"Lepus_sinensis_Centroid"	"544"	"220.970511022752"
"Lepus_starcki_Centroid"	"54"	"13.162099199238"
"Lepus_tibetanus_Centroid"	"662"	"590.349538616094"
"Lepus_timidus_Centroid"	"9057"	"14226.7012805128"
"Lepus_tolai_Centroid"	"3599"	"2541.52084450917"
"Lepus_townsendii_Centroid"	"1564"	"663.72439072587"
