"species"	"hexcount"	"area"
"Ceratotherium_simum_Centroid"	"1538"	"1119.89248056227"
"Coelodonta_antiquitatis_Centroid"	"7189"	"5463.80354751814"
"Dicerorhinus_sumatrensis_Centroid"	"2335"	"1440.13834575608"
"Diceros_bicornis_Centroid"	"4908"	"3083.20408113907"
"Elasmotherium_sibiricum_Centroid"	"1595"	"1081.8460508819"
"Equus_africanus_Centroid"	"2954"	"2265.03102898118"
"Equus_ferus_Centroid"	"33203"	"48738.9917462946"
"Equus_francisci_Centroid"	"3829"	"3683.85823645331"
"Equus_grevyi_Centroid"	"440"	"201.112717399855"
"Equus_hemionus_Centroid"	"4547"	"2688.38227055248"
"Equus_hydruntinus_Centroid"	"2471"	"1532.56553168554"
"Equus_kiang_Centroid"	"865"	"387.464565442771"
"Equus_ovodovi_Centroid"	"5339"	"3604.87114039786"
"Equus_quagga_Centroid"	"2993"	"1449.20656505122"
"Equus_zebra_Centroid"	"320"	"357.643444032916"
"Hippidion_devillei_Centroid"	"341"	"291.505411938552"
"Hippidion_principale_Centroid"	"4940"	"2286.31922393251"
"Rhinoceros_sondaicus_Centroid"	"1429"	"1342.00938619947"
"Rhinoceros_unicornis_Centroid"	"388"	"235.848795738"
"Stephanorhinus_hemitoechus_Centroid"	"4619"	"2553.72012363333"
"Stephanorhinus_kirchbergensis_Centroid"	"8864"	"6297.68889807805"
"Tapirus_augustus_Centroid"	"1627"	"1244.3558036173"
"Tapirus_bairdii_Centroid"	"533"	"421.692958538436"
"Tapirus_indicus_Centroid"	"650"	"263.698201306444"
"Tapirus_merriami_Centroid"	"2247"	"1068.68544392924"
"Tapirus_pinchaque_Centroid"	"227"	"139.895322245226"
"Tapirus_rondoniensis_Centroid"	"4522"	"1922.2658432301"
"Tapirus_terrestris_Centroid"	"5570"	"2064.03662379411"
"Tapirus_veroensis_Centroid"	"3963"	"2779.03549617345"
