"species"	"hexcount"
"Allenopithecus"	"271"
"Allocebus"	"142"
"Allochrocebus"	"224"
"Alouatta"	"4267"
"Antillothrix"	"73"
"Aotus"	"3438"
"Archaeoindris"	"150"
"Archaeolemur"	"244"
"Arctocebus"	"433"
"Ateles"	"3208"
"Avahi"	"246"
"Babakotia"	"246"
"Brachyteles"	"169"
"Cacajao"	"324"
"Caipora"	"3930"
"Callicebus"	"2889"
"Callimico"	"404"
"Callithrix"	"1238"
"Cebuella"	"779"
"Cebus"	"1895"
"Cercocebus"	"1236"
"Cercopithecus"	"3506"
"Cheirogaleus"	"316"
"Chiropotes"	"1458"
"Chlorocebus"	"6384"
"Colobus"	"3014"
"Daubentonia"	"304"
"Erythrocebus"	"3175"
"Eulemur"	"312"
"Euoticus"	"472"
"Galago"	"5589"
"Galagoides"	"2791"
"Gorilla"	"476"
"Hadropithecus"	"193"
"Hapalemur"	"259"
"Homo"	"34560"
"Hoolock"	"374"
"Hylobates"	"1205"
"Indri"	"116"
"Insulacebus"	"73"
"Lagothrix"	"1384"
"Lemur"	"112"
"Leontopithecus"	"111"
"Lepilemur"	"320"
"Lophocebus"	"1071"
"Loris"	"185"
"Macaca"	"7019"
"Mandrillus"	"251"
"Megaladapis"	"294"
"Mesopropithecus"	"150"
"Mico"	"864"
"Microcebus"	"320"
"Miopithecus"	"510"
"Mirza"	"238"
"Nasalis"	"378"
"Nomascus"	"362"
"Nycticebus"	"1963"
"Oreonax"	"44"
"Otolemur"	"2327"
"Pachylemur"	"244"
"Palaeopropithecus"	"244"
"Pan"	"1956"
"Papio"	"7052"
"Perodicticus"	"1843"
"Phaner"	"316"
"Piliocolobus"	"942"
"Pithecia"	"709"
"Pongo"	"2030"
"Presbytis"	"914"
"Procolobus"	"257"
"Prolemur"	"47"
"Propithecus"	"324"
"Protopithecus"	"3930"
"Pygathrix"	"156"
"Rhinopithecus"	"616"
"Rungwecebus"	"25"
"Saguinus"	"2076"
"Saimiri"	"2899"
"Sapajus"	"4636"
"Sciurocheirus"	"431"
"Semnopithecus"	"1256"
"Simias"	"28"
"Symphalangus"	"245"
"Tarsius"	"827"
"Theropithecus"	"75"
"Trachypithecus"	"2199"
"Varecia"	"107"
"Xenothrix"	"14"
