"species"	"hexcount"	"area"
"Cuvieronius_hyodon_Centroid"	"1139"	"3886.65915169435"
"Elephas_antiquus_Centroid"	"3409"	"2161.87205794785"
"Elephas_cypriotes_Centroid"	"23"	"7.54008283369399"
"Elephas_iolensis_Centroid"	"4475"	"2478.40173918754"
"Elephas_maximus_Centroid"	"4653"	"3518.44788724638"
"Elephas_mnaidriensis_Centroid"	"26"	"6.44769301561199"
"Elephas_namadicus_Centroid"	"79"	"91.2298676977799"
"Elephas_naumanii_Centroid"	"239"	"159.078126061634"
"Elephas_tiliensis_Centroid"	"3"	"0.278845653541001"
"Loxodonta_africana_Centroid"	"10037"	"5083.07087447413"
"Mammut_americanum_Centroid"	"5918"	"3673.16468774018"
"Mammuthus_columbi_Centroid"	"6095"	"4016.05105723573"
"Mammuthus_exilis_Centroid"	"8"	"1.49097208059201"
"Mammuthus_primigenius_Centroid"	"11789"	"19110.2638478487"
"Notiomastodon_platensis_Centroid"	"5962"	"2249.90254566304"
"Stegodon_florensis_Centroid"	"25"	"6.70608070892799"
"Stegodon_orientalis_Centroid"	"1420"	"936.819578791096"
"Stegodon_trigonocephalus_Centroid"	"112"	"35.106918008112"
