"species"	"hexcount"	"area"
"Abditomys"	"32"	"6.43556441087997"
"Abeomelomys"	"36"	"17.416355520042"
"Abrawayaomys"	"68"	"105.551525081904"
"Abrocoma"	"436"	"181.253208020948"
"Abrothrix"	"1118"	"707.791253774648"
"Acomys"	"6326"	"6011.13309743552"
"Aconaemys"	"82"	"27.944920964748"
"Aegialomys"	"249"	"297.48232820709"
"Aepeomys"	"28"	"9.06588749902502"
"Aeretes"	"56"	"178.083224650487"
"Aeromys"	"545"	"258.85233643334"
"Aethomys"	"4195"	"1590.16717127082"
"Akodon"	"2732"	"2627.11809118281"
"Allactaga"	"5808"	"3288.15493226586"
"Allactodipus"	"222"	"120.301754991681"
"Allocricetulus"	"1649"	"1383.74229929433"
"Alticola"	"4178"	"17030.1319423226"
"Amblyrhiza"	"8"	"1.108228481808"
"Ammodillus"	"95"	"23.32294269531"
"Ammospermophilus"	"886"	"465.223452162822"
"Amphinectomys"	"4"	"0.314258078640001"
"Andalgalomys"	"140"	"156.110620078456"
"Andinomys"	"179"	"88.021678546822"
"Anisomys"	"164"	"105.004036943007"
"Anomalurus"	"2706"	"1372.12699966451"
"Anonymomys"	"18"	"3.75574815489"
"Anotomys"	"21"	"3.148036421835"
"Antillomys"	"8"	"2.6283437872"
"Aplodontia"	"215"	"106.152123053025"
"Apodemus"	"12424"	"8526.6205680056"
"Apomys"	"226"	"100.684172282078"
"Arborimus"	"93"	"35.2498196568"
"Archboldomys"	"3"	"0.303169738751999"
"Arvicanthis"	"4035"	"3245.66974746093"
"Arvicola"	"7795"	"5936.04479204835"
"Atherurus"	"3076"	"4905.91831846511"
"Atlantoxerus"	"201"	"124.481200354119"
"Auliscomys"	"381"	"239.246660615062"
"Baiomys"	"962"	"594.959054932429"
"Baiyankamys"	"72"	"35.182101546276"
"Bandicota"	"2893"	"1678.83332182644"
"Bathyergus"	"76"	"57.4889924502"
"Batomys"	"65"	"61.4141809416401"
"Beamys"	"282"	"160.478937878706"
"Belomys"	"1050"	"958.167512660631"
"Berylmys"	"1569"	"944.605265920392"
"Bibimys"	"276"	"292.498602659898"
"Biswamoyopterus"	"11"	"2.52468259911999"
"Blanfordimys"	"352"	"171.995314811247"
"Blarinomys"	"279"	"187.327812493206"
"Boromys"	"120"	"42.38479077497"
"Brachiones"	"493"	"266.995011195672"
"Brachytarsomys"	"174"	"74.944417546719"
"Brachyuromys"	"166"	"69.803102712123"
"Brotomys"	"73"	"20.289176055882"
"Brucepattersonius"	"200"	"215.849499021897"
"Bullimus"	"175"	"86.920695317676"
"Bunomys"	"187"	"63.6692935075"
"Callistomys"	"20"	"6.42810178344398"
"Callosciurus"	"3190"	"1687.09429537608"
"Callospermophilus"	"1068"	"676.597499452996"
"Calomys"	"3576"	"2680.53174927946"
"Calomyscus"	"672"	"558.137185601389"
"Canariomys"	"11"	"2.81731683455999"
"Cannomys"	"640"	"362.658788330176"
"Cansumys"	"104"	"25.71685729644"
"Capromys"	"146"	"50.53982270827"
"Cardiocranius"	"1100"	"750.483912302648"
"Carpomys"	"18"	"3.41360220277499"
"Carterodon"	"178"	"51.732033043658"
"Caryomys"	"313"	"154.255797286748"
"Castor"	"16576"	"14646.8748557466"
"Castoroides"	"6956"	"5344.93234997012"
"Cavia"	"3298"	"2329.93573353733"
"Cerradomys"	"1410"	"651.300312522288"
"Chaetocauda"	"9"	"2.25493404739001"
"Chaetodipus"	"1759"	"835.931280591014"
"Chaetomys"	"112"	"51.06255330925"
"Chelemys"	"277"	"188.541654769435"
"Chibchanomys"	"53"	"132.142809574706"
"Chilomys"	"196"	"129.840054140601"
"Chinchilla"	"413"	"210.060903509944"
"Chinchillula"	"107"	"34.8935788273599"
"Chionomys"	"1089"	"1215.6263570409"
"Chiromyscus"	"294"	"149.0166650747"
"Chiropodomys"	"1396"	"1139.82880807224"
"Chiruromys"	"139"	"52.087098152661"
"Chrotomys"	"76"	"32.17283023116"
"Clyomys"	"786"	"251.898086208705"
"Coccymys"	"114"	"72.6729141832449"
"Coendou"	"6006"	"3686.21096886807"
"Colomys"	"556"	"380.757404618136"
"Conilurus"	"860"	"935.96379173507"
"Coryphomys"	"40"	"10.235456223856"
"Crateromys"	"52"	"48.3534259911081"
"Cratogeomys"	"525"	"225.808365633115"
"Cremnomys"	"328"	"307.25061199924"
"Cricetomys"	"5207"	"2468.799768047"
"Cricetulus"	"6669"	"3369.22044855908"
"Cricetus"	"2965"	"1645.33006048475"
"Crossomys"	"122"	"52.5552303632069"
"Crunomys"	"87"	"149.080112575162"
"Cryptomys"	"492"	"482.677200774912"
"Ctenodactylus"	"176"	"131.607617791285"
"Ctenomys"	"1384"	"1536.7663047615"
"Cuniculus"	"5809"	"3661.1170994279"
"Cuscomys"	"7"	"1.95956946247299"
"Cynomys"	"1109"	"459.473547036294"
"Dacnomys"	"164"	"130.6101276792"
"Dactylomys"	"1724"	"610.977191902325"
"Dasymys"	"3935"	"2976.08801921369"
"Dasyprocta"	"5303"	"3552.00737604463"
"Delanymys"	"23"	"5.290368808674"
"Delomys"	"252"	"149.772518361966"
"Deltamys"	"140"	"67.089942560466"
"Dendromus"	"2890"	"2586.55737010258"
"Dendroprionomys"	"3"	"0.211427374836"
"Deomys"	"688"	"250.462858907988"
"Dephomys"	"249"	"81.639050734388"
"Desmodilliscus"	"1574"	"509.715718217728"
"Desmodillus"	"942"	"454.799541992348"
"Desmomys"	"175"	"57.986894280788"
"Dicrostonyx"	"4762"	"13727.7536784233"
"Dinaromys"	"84"	"38.1343825137699"
"Dinomys"	"1025"	"465.04357815765"
"Diomys"	"164"	"57.642056168184"
"Diplomys"	"123"	"53.6841104115499"
"Diplothrix"	"15"	"4.40302636111796"
"Dipodomys"	"2106"	"930.576546688578"
"Dipus"	"2250"	"1456.85463586894"
"Dolichotis"	"873"	"423.269937651876"
"Dremomys"	"1780"	"1251.10077475868"
"Dryomys"	"3001"	"2589.09854402021"
"Echimys"	"910"	"523.82483228958"
"Echiothrix"	"69"	"29.468581421112"
"Eligmodontia"	"861"	"468.768908575688"
"Eliomys"	"2353"	"3532.63062663941"
"Eliurus"	"328"	"112.446463336863"
"Ellobius"	"3583"	"2713.34339627398"
"Eoglaucomys"	"143"	"92.01961788056"
"Eolagurus"	"802"	"530.005396619412"
"Eospalax"	"725"	"471.113375566511"
"Eothenomys"	"894"	"495.378691582354"
"Eozapus"	"345"	"222.211383024624"
"Epixerus"	"371"	"381.74123465576"
"Eremodipus"	"363"	"285.045847935108"
"Eremoryzomys"	"25"	"5.30060904898899"
"Erethizon"	"5388"	"4736.20354699615"
"Eropeplus"	"26"	"5.36598242297999"
"Euchoreutes"	"858"	"367.815856142002"
"Euneomys"	"432"	"339.223471558742"
"Eupetaurus"	"35"	"8.814087838344"
"Euryoryzomys"	"3046"	"1585.0580495933"
