"species"	"hexcount"	"area"
"Anathana_ellioti_Centroid"	"673"	"259.067369805831"
"Dendrogale_melanura_Centroid"	"64"	"19.7611354473"
"Dendrogale_murina_Centroid"	"173"	"115.125553560864"
"Ptilocercus_lowii_Centroid"	"350"	"258.703916514948"
"Tupaia_belangeri_Centroid"	"1437"	"580.425921974036"
"Tupaia_chrysogaster_Centroid"	"16"	"3.670922642212"
"Tupaia_dorsalis_Centroid"	"293"	"114.45931943288"
"Tupaia_glis_Centroid"	"459"	"242.163516041112"
"Tupaia_gracilis_Centroid"	"401"	"165.733691005068"
"Tupaia_javanica_Centroid"	"249"	"293.045323304979"
"Tupaia_longipes_Centroid"	"396"	"138.55691527492"
"Tupaia_minor_Centroid"	"733"	"319.44069421245"
"Tupaia_moellendorffi_Centroid"	"10"	"2.97493426938699"
"Tupaia_montana_Centroid"	"141"	"63.596179234484"
"Tupaia_nicobarica_Centroid"	"8"	"0.966191903207996"
"Tupaia_palawanensis_Centroid"	"32"	"12.562683560966"
"Tupaia_picta_Centroid"	"132"	"69.264443698684"
"Tupaia_splendidula_Centroid"	"245"	"100.595242289542"
"Tupaia_tana_Centroid"	"627"	"326.547101291164"
"Urogale_everetti_Centroid"	"93"	"28.55535798097"
