"species"	"hexcount"
"Addax_nasomaculatus_Centroid"	554
"Aepyceros_melampus_Centroid"	1660
"Agalmaceros_blicki_Centroid"	289
"Alcelaphus_buselaphus_Centroid"	4026
"Alces_alces_Centroid"	12160
"Ammodorcas_clarkei_Centroid"	145
"Ammotragus_lervia_Centroid"	3147
"Antidorcas_australis_Centroid"	460
"Antidorcas_bondi_Centroid"	2696
"Antidorcas_marsupialis_Centroid"	947
"Antifer_ultra_Centroid"	1199
"Antilocapra_americana_Centroid"	2451
"Antilope_cervicapra_Centroid"	1273
"Arabitragus_jayakari_Centroid"	57
"Axis_axis_Centroid"	1193
"Axis_calamianensis_Centroid"	10
"Axis_kuhlii_Centroid"	115
"Axis_porcinus_Centroid"	547
"Babyrousa_babyrussa_Centroid"	31
"Babyrousa_celebensis_Centroid"	148
"Babyrousa_togeanensis_Centroid"	8
"Beatragus_hunteri_Centroid"	36
"Bison_bison_Centroid"	3990
"Bison_bonasus_Centroid"	6134
"Blastocerus_dichotomus_Centroid"	1905
"Bootherium_bombifrons_Centroid"	3815
"Bos_gaurus_Centroid"	2026
"Bos_javanicus_Centroid"	1709
"Bos_mutus_Centroid"	2345
"Bos_primigenius_Centroid"	11548
"Bos_sauveli_Centroid"	35
"Boselaphus_tragocamelus_Centroid"	1156
"Bubalus_arnee_Centroid"	1672
"Bubalus_depressicornis_Centroid"	187
"Bubalus_grovesi_Centroid"	187
"Bubalus_mindorensis_Centroid"	18
"Bubalus_palaeokerabau_Centroid"	112
"Bubalus_quarlesi_Centroid"	108
"Budorcas_taxicolor_Centroid"	329
"Camelops_hesternus_Centroid"	4258
"Camelus_dromedarius_Centroid"	9156
"Camelus_ferus_Centroid"	2105
"Candiacervus_cretensis_Centroid"	21
"Candiacervus_dorothensis_Centroid"	21
"Candiacervus_major_Centroid"	21
"Candiacervus_rethymnensis_Centroid"	21
"Candiacervus_ropalophorus_Centroid"	21
"Candiacervus_spII_Centroid"	21
"Capra_aegagrus_Centroid"	1086
"Capra_caucasica_Centroid"	29
"Capra_cylindricornis_Centroid"	43
"Capra_falconeri_Centroid"	204
"Capra_ibex_Centroid"	105
"Capra_nubiana_Centroid"	374
"Capra_pyrenaica_Centroid"	279
"Capra_sibirica_Centroid"	1184
"Capra_walie_Centroid"	7
"Capreolus_capreolus_Centroid"	3426
