"species"	"hexcount"	"area"
"Amblysomus"	"238"	"164.153838219285"
"Calcochloris"	"105"	"460.841854644576"
"Carpitalpa"	"30"	"6.11132711544"
"Chlorotalpa"	"117"	"89.074208413322"
"Chrysochloris"	"220"	"1089.31349336911"
"Chrysospalax"	"123"	"59.661968924404"
"Cryptochloris"	"15"	"4.093448544003"
"Echinops"	"87"	"25.18699415011"
"Eremitalpa"	"72"	"51.587240693604"
"Geogale"	"55"	"46.813789813388"
"Hemicentetes"	"121"	"50.573313466074"
"Huetia"	"220"	"256.2276649446"
"Limnogale"	"62"	"16.397964405432"
"Microgale"	"272"	"111.515728472645"
"Micropotamogale"	"81"	"516.981859382793"
"Neamblysomus"	"46"	"14.8749462065"
"Oryzorictes"	"144"	"62.467058484577"
"Potamogale"	"1678"	"539.16584992136"
"Setifer"	"328"	"112.446463336863"
"Tenrec"	"328"	"112.446463336863"
