"species"	"hexcount"	"area"
"Addax_nasomaculatus_Centroid"	86	200.6548700079
"Aepyceros_melampus_Centroid"	1660	929.873314298522
"Alcelaphus_buselaphus_Centroid"	3433	2823.46590936879
"Alces_alces_Centroid"	10549	11027.3445536626
"Ammodorcas_clarkei_Centroid"	94	25.924568730046
"Ammotragus_lervia_Centroid"	1112	1194.35532270333
"Antidorcas_marsupialis_Centroid"	947	437.43758895216
"Antilocapra_americana_Centroid"	1320	791.90861129471
"Antilope_cervicapra_Centroid"	900	420.749987945766
"Arabitragus_jayakari_Centroid"	57	22.810666268109
"Axis_axis_Centroid"	1151	564.27907943875
"Axis_calamianensis_Centroid"	10	1.98980436325001
"Axis_kuhlii_Centroid"	3	0.210443275839999
"Axis_porcinus_Centroid"	365	840.329568764928
"Babyrousa_babyrussa_Centroid"	23	8.344201289166
"Babyrousa_celebensis_Centroid"	123	33.676927845864
"Babyrousa_togeanensis_Centroid"	8	0.799351619590998
"Beatragus_hunteri_Centroid"	14	2.16285298668
"Bison_bison_Centroid"	293	1576.1793928545
"Bison_bonasus_Centroid"	12	11.57342062278
"Blastocerus_dichotomus_Centroid"	454	680.919319786185
"Bos_gaurus_Centroid"	1117	995.633458961414
"Bos_javanicus_Centroid"	334	1459.68262080614
"Bos_mutus_Centroid"	343	228.132935763368
"Boselaphus_tragocamelus_Centroid"	1046	409.217040732672
"Bubalus_arnee_Centroid"	84	610.676498505504
"Bubalus_depressicornis_Centroid"	126	42.47348175508
"Bubalus_mindorensis_Centroid"	15	2.41632508315
"Bubalus_quarlesi_Centroid"	108	33.793704587608
"Budorcas_taxicolor_Centroid"	329	218.754354540012
"Camelus_ferus_Centroid"	185	155.83641145272
"Capra_aegagrus_Centroid"	1013	795.380707467504
"Capra_caucasica_Centroid"	29	7.620912326208
"Capra_cylindricornis_Centroid"	43	21.631583616725
"Capra_falconeri_Centroid"	141	103.437045110042
"Capra_ibex_Centroid"	85	52.77740103207
"Capra_nubiana_Centroid"	342	590.223767059682
"Capra_pyrenaica_Centroid"	142	80.5502668725
"Capra_sibirica_Centroid"	1184	975.297311850961
"Capra_walie_Centroid"	7	1.062079825704
"Capreolus_capreolus_Centroid"	3386	2171.7394132513
"Capreolus_pygargus_Centroid"	5429	3392.21351993475
"Capricornis_crispus_Centroid"	154	121.353588121194
"Capricornis_milneedwardsii_Centroid"	1774	851.39631363438
