"species"	"hexcount"	"area"
"Acinonyx"	"3121"	"4446.30091690725"
"Ailuropoda"	"90"	"51.306230266083"
"Ailurus"	"298"	"236.726341215531"
"Aonyx"	"9124"	"9304.3747185792"
"Arctictis"	"1771"	"1226.33720025276"
"Arctocephalus"	"18915"	"34094.2785757861"
"Arctogalidia"	"1606"	"1060.12418041732"
"Arctonyx"	"2883"	"1896.2748609016"
"Atelocynus"	"1295"	"471.31444379334"
"Atilax"	"6135"	"3032.15543459496"
"Bassaricyon"	"2361"	"1255.21801728225"
"Bassariscus"	"2255"	"1538.81139553407"
"Bdeogale"	"1969"	"1009.29509638672"
"Callorhinus"	"7359"	"12651.1445330985"
"Canis"	"40139"	"43979.4686545022"
"Caracal"	"10253"	"7741.15568126727"
"Catopuma"	"1364"	"1402.89753669169"
"Cerdocyon"	"3917"	"2216.53367442671"
"Chrotogale"	"202"	"98.7600808070251"
"Chrysocyon"	"2037"	"860.71341490322"
"Civettictis"	"6442"	"2884.83551069867"
"Conepatus"	"4928"	"7666.22536301874"
"Crocuta"	"6351"	"3372.3567554664"
"Crossarchus"	"1286"	"956.761408249248"
"Cryptoprocta"	"317"	"112.446463336863"
"Cuon"	"2224"	"2058.90696749596"
"Cynictis"	"1061"	"377.755775721598"
"Cynogale"	"800"	"455.977726346688"
"Cystophora"	"3919"	"5815.89484530226"
"Diplogale"	"118"	"61.594769047488"
"Dologale"	"284"	"123.476380122216"
"Eira"	"5939"	"4186.00591436736"
"Enhydra"	"1246"	"10754.9185897849"
"Erignathus"	"8069"	"16631.6068943332"
"Eumetopias"	"3371"	"12350.2770979504"
"Eupleres"	"177"	"90.899326763985"
"Felis"	"17083"	"12056.4319169588"
"Fossa"	"133"	"65.125065007674"
"Galictis"	"6966"	"4372.07488830491"
"Galidia"	"150"	"90.029018420509"
"Galidictis"	"131"	"104.778923807824"
"Genetta"	"9403"	"5365.8924880927"
"Gulo"	"11651"	"18729.6261589736"
"Halichoerus"	"2275"	"4376.337610106"
"Helarctos"	"1632"	"1039.2578099706"
"Helogale"	"3159"	"1733.82755034389"
"Hemigalus"	"826"	"455.977726346688"
"Herpailurus"	"6662"	"5125.62556608123"
"Herpestes"	"14424"	"11305.295057761"
"Histriophoca"	"3809"	"16616.3999705791"
"Hyaena"	"10318"	"5288.70814754165"
"Hydrictis"	"4599"	"2819.72196220331"
"Hydrurga"	"1731"	"1443.52867996245"
"Ichneumia"	"6400"	"4757.32663282472"
"Ictonyx"	"7793"	"4927.6058372277"
"Leopardus"	"8102"	"6542.67983690464"
"Leptailurus"	"5685"	"4116.69194245842"
"Leptonychotes"	"1731"	"1443.52867996245"
"Liberiictis"	"67"	"15.687242505913"
"Lobodon"	"1391"	"939.371365109937"
"Lontra"	"14106"	"17322.9565435766"
"Lutra"	"13629"	"14722.379100648"
"Lutrogale"	"2600"	"2915.16603275701"
"Lycalopex"	"3505"	"2415.4680723"
"Lycaon"	"1287"	"3015.82003830952"
"Lyncodon"	"668"	"341.060106630556"
"Lynx"	"18227"	"19008.6124963055"
"Macrogalidia"	"83"	"50.95917215661"
"Martes"	"20297"	"26889.208605503"
"Meles"	"12011"	"7022.53781746349"
"Mellivora"	"12812"	"8233.31530490011"
"Melogale"	"2173"	"1604.64066366835"
"Melursus"	"876"	"553.39758372696"
"Mephitis"	"5895"	"3571.28229915913"
"Mirounga"	"24485"	"43902.0726493392"
"Monachus"	"305"	"1201.77111405058"
"Mungos"	"5170"	"3279.62196508604"
"Mungotictis"	"35"	"8.70416005841198"
"Mustela"	"32083"	"38469.3607598182"
"Mydaus"	"137"	"69.3407421536311"
"Nandinia"	"2822"	"2009.55461307131"
"Nasua"	"6024"	"5104.36782220387"
"Nasuella"	"248"	"171.744869171538"
"Neofelis"	"1873"	"1487.89054255559"
"Neomonachus"	"258"	"319.592315504268"
"Neophoca"	"357"	"354.247959988884"
"Neovison"	"6527"	"5346.63725281858"
"Nyctereutes"	"3033"	"1674.89966859964"
"Odobenus"	"4744"	"13419.5383400731"
"Ommatophoca"	"1391"	"939.371365109937"
"Otaria"	"1506"	"1668.73663606433"
"Otocolobus"	"4071"	"2100.85682750672"
"Otocyon"	"2296"	"1758.10495180089"
"Pagophilus"	"5354"	"9415.09854306209"
"Paguma"	"3300"	"2431.81398225776"
"Panthera"	"14211"	"22768.5084664768"
"Paracynictis"	"933"	"418.872940428228"
"Paradoxurus"	"4010"	"2666.53471852981"
"Parahyaena"	"1137"	"432.17599839777"
"Pardofelis"	"1286"	"1247.57572708443"
"Phoca"	"8121"	"19369.8509178146"
"Phocarctos"	"448"	"230.753146358041"
"Poecilogale"	"2562"	"968.915937399201"
"Poiana"	"994"	"609.8510811276"
"Potos"	"5510"	"3248.02701368499"
"Prionailurus"	"5625"	"4235.651139632"
"Prionodon"	"2122"	"1468.24679196458"
"Procyon"	"11018"	"8856.59852999736"
"Proteles"	"2818"	"2338.2900266084"
"Pteronura"	"2832"	"894.707005905616"
"Puma"	"10117"	"10833.317260915"
"Pusa"	"9881"	"19140.7131334237"
"Rhynchogale"	"1032"	"373.875303359922"
"Salanoia"	"35"	"10.4927401712"
"Speothos"	"5020"	"1970.8724049168"
"Spilogale"	"3626"	"2151.39064823458"
"Suricata"	"864"	"377.64739725552"
"Taxidea"	"3928"	"2371.38564193646"
"Tremarctos"	"558"	"576.160962111332"
"Urocyon"	"4341"	"2797.9771067945"
"Ursus"	"26789"	"29412.1581568231"
"Viverra"	"2530"	"1928.21790092759"
"Viverricula"	"4033"	"2522.33003906302"
"Vormela"	"3959"	"2605.18423479722"
"Vulpes"	"33664"	"44982.3234440802"
"Zalophus"	"1331"	"19651.1312654934"
