"species"	"hexcount"	"area"
"Balaena_mysticetus_Centroid"	5378	14654.3610958019
"Balaenoptera_acutorostrata_Centroid"	132455	53881.51219977
"Balaenoptera_bonaerensis_Centroid"	60575	23729.9283005501
"Balaenoptera_borealis_Centroid"	123274	49362.1924798829
"Balaenoptera_edeni_Centroid"	90980	33416.6365599023
"Balaenoptera_musculus_Centroid"	129695	50708.4191695115
"Balaenoptera_omurai_Centroid"	9997	3738.60559890666
"Balaenoptera_physalus_Centroid"	75688	50775.125464436
"Berardius_arnuxii_Centroid"	33671	13535.4539480214
"Berardius_bairdii_Centroid"	9827	16244.5649482246
"Caperea_marginata_Centroid"	29514	15008.4196541191
"Cephalorhynchus_commersonii_Centroid"	570	2613.51067173358
"Cephalorhynchus_eutropia_Centroid"	325	260.097885898144
"Cephalorhynchus_heavisidii_Centroid"	163	169.186722551935
"Cephalorhynchus_hectori_Centroid"	172	129.218944553517
"Delphinapterus_leucas_Centroid"	6231	16140.6857820917
"Delphinus_capensis_Centroid"	7790	23954.5516891
"Delphinus_delphis_Centroid"	37249	41211.1234192459
"Eschrichtius_robustus_Centroid"	3436	19600.1169452288
"Eubalaena_australis_Centroid"	31232	17273.9874429818
"Eubalaena_glacialis_Centroid"	7223	6236.84439696669
"Eubalaena_japonica_Centroid"	3032	15453.272751015
"Feresa_attenuata_Centroid"	83653	29382.5907159715
"Globicephala_macrorhynchus_Centroid"	91729	35300.0333890676
"Globicephala_melas_Centroid"	49931	48294.4810755126
"Grampus_griseus_Centroid"	97347	41494.239334792
"Hyperoodon_ampullatus_Centroid"	10632	6553.35278002962
"Hyperoodon_planifrons_Centroid"	28534	14729.5343030862
"Indopacetus_pacificus_Centroid"	44016	24258.8162157493
"Inia_geoffrensis_Centroid"	1919	882.579027001776
"Kogia_breviceps_Centroid"	103052	38185.4318765385
"Kogia_sima_Centroid"	96721	31547.3717228784
"Lagenodelphis_hosei_Centroid"	72036	27923.4891307579
"Lagenorhynchus_acutus_Centroid"	4910	4703.50661761101
"Lagenorhynchus_albirostris_Centroid"	6205	5218.77928080091
"Lagenorhynchus_australis_Centroid"	975	569.327673623571
"Lagenorhynchus_cruciger_Centroid"	21362	10190.284539654
"Lagenorhynchus_obliquidens_Centroid"	6935	14653.5899814924
"Lagenorhynchus_obscurus_Centroid"	4296	17338.88937368
"Lissodelphis_borealis_Centroid"	4362	8137.62943496584
"Lissodelphis_peronii_Centroid"	33105	18308.0709874932
"Megaptera_novaeangliae_Centroid"	131735	50796.0799282842
"Mesoplodon_bidens_Centroid"	6427	4636.72166250656
"Mesoplodon_bowdoini_Centroid"	23381	10112.165563315
"Mesoplodon_carlhubbsi_Centroid"	5830	9174.43221481853
"Mesoplodon_densirostris_Centroid"	97488	38687.8516288374
"Mesoplodon_europaeus_Centroid"	18988	8990.90763140159
"Mesoplodon_ginkgodens_Centroid"	43943	30387.4640601675
"Mesoplodon_grayi_Centroid"	32536	17447.6809363
"Mesoplodon_hectori_Centroid"	26116	11496.5751770882
"Mesoplodon_layardii_Centroid"	32346	13271.082530728
"Mesoplodon_mirus_Centroid"	15702	23759.2568046562
"Mesoplodon_perrini_Centroid"	48	21.3638921898
"Mesoplodon_peruvianus_Centroid"	9055	3695.69112207762
"Mesoplodon_stejnegeri_Centroid"	3750	11410.262884425
"Mesoplodon_traversii_Centroid"	10607	10220.5422243603
"Monodon_monoceros_Centroid"	2573	7050.40450535228
"Neophocaena_asiaeorientalis_Centroid"	850	576.76269334983
"Neophocaena_phocaenoides_Centroid"	2298	3004.57988086943
"Orcaella_brevirostris_Centroid"	1761	1374.09676489123
"Orcaella_heinsohni_Centroid"	1071	888.941687514076
"Orcinus_orca_Centroid"	135024	53881.51219977
"Peponocephala_electra_Centroid"	71835	25857.8279428178
"Phocoena_dioptrica_Centroid"	17572	12554.2143769942
"Phocoena_phocoena_Centroid"	7317	23855.9628668891
"Phocoena_sinus_Centroid"	19	4.21923729165699
"Phocoena_spinipinnis_Centroid"	972	1757.27373962189
"Phocoenoides_dalli_Centroid"	9196	12660.3916514944
"Physeter_macrocephalus_Centroid"	132231	49362.1924798829
"Platanista_gangetica_Centroid"	377	376.72913214516
"Pontoporia_blainvillei_Centroid"	351	651.4489256732
"Pseudorca_crassidens_Centroid"	81547	43416.1146669127
"Sotalia_fluviatilis_Centroid"	948	481.398883933562
"Sotalia_guianensis_Centroid"	1276	2553.10646908937
"Sousa_chinensis_Centroid"	8404	9415.3105890086
"Sousa_teuszii_Centroid"	920	1370.30637191448
"Stenella_attenuata_Centroid"	85328	30660.5899360005
"Stenella_clymene_Centroid"	12527	8150.83642047325
"Stenella_coeruleoalba_Centroid"	102721	40518.2207278618
"Stenella_frontalis_Centroid"	19920	9487.58977775618
"Stenella_longirostris_Centroid"	80714	27908.0302306813
"Steno_bredanensis_Centroid"	85620	31283.7047346935
"Tasmacetus_shepherdi_Centroid"	23637	8364.3444810012
"Tursiops_aduncus_Centroid"	11530	10768.5480716465
"Tursiops_truncatus_Centroid"	103691	42552.5508042542
"Ziphius_cavirostris_Centroid"	117703	42723.9472884207
