"species"	"hexcount"
"Balaena"	5378
"Balaenoptera"	133436
"Berardius"	43498
"Caperea"	29514
"Cephalorhynchus"	1145
"Delphinapterus"	6231
"Delphinus"	40546
"Eschrichtius"	3436
"Eubalaena"	41487
"Feresa"	83653
"Globicephala"	124284
"Grampus"	97347
"Hyperoodon"	39166
"Indopacetus"	44016
"Inia"	1919
"Kogia"	104409
"Lagenodelphis"	72036
"Lagenorhynchus"	37139
"Lissodelphis"	37467
"Megaptera"	131735
"Mesoplodon"	126689
"Monodon"	2573
"Neophocaena"	3033
"Orcaella"	2832
"Orcinus"	135024
"Peponocephala"	71835
"Phocoena"	25429
"Phocoenoides"	9196
"Physeter"	132231
"Platanista"	377
"Pontoporia"	351
"Pseudorca"	81547
"Sotalia"	2224
"Sousa"	9324
"Stenella"	104384
"Steno"	85620
"Tasmacetus"	23637
"Tursiops"	103710
"Ziphius"	117703
