"species"	"hexcount"	"area"
"Addax"	"86"	"200.6548700079"
"Aepyceros"	"1660"	"929.873314298522"
"Alcelaphus"	"3433"	"2823.46590936879"
"Alces"	"10549"	"11027.3445536626"
"Ammodorcas"	"94"	"25.924568730046"
"Ammotragus"	"1112"	"1194.35532270333"
"Antidorcas"	"947"	"437.43758895216"
"Antilocapra"	"1320"	"791.90861129471"
"Antilope"	"900"	"420.749987945766"
"Arabitragus"	"57"	"22.810666268109"
"Axis"	"1391"	"2053.30178506399"
"Babyrousa"	"150"	"59.761325310156"
"Balaena"	"5378"	"14654.3610958019"
"Balaenoptera"	"133436"	"53881.51219977"
"Beatragus"	"14"	"2.16285298668"
"Berardius"	"43498"	"45813.3689115123"
"Bison"	"305"	"6002.47519920621"
"Blastocerus"	"454"	"680.919319786185"
"Bos"	"1602"	"3076.72911182566"
"Boselaphus"	"1046"	"409.217040732672"
"Bubalus"	"240"	"1521.16766612138"
"Budorcas"	"329"	"218.754354540012"
"Camelus"	"185"	"155.83641145272"
"Caperea"	"29514"	"15008.4196541191"
"Capra"	"2896"	"4970.02696672656"
"Capreolus"	"8765"	"5972.49067551137"
"Capricornis"	"2478"	"3328.14207172551"
"Catagonus"	"168"	"45.674638184021"
"Cephalophus"	"4149"	"2714.05497161354"
"Cephalorhynchus"	"1145"	"11605.675569003"
"Cervus"	"7842"	"12170.6173208402"
"Choeropsis"	"131"	"56.954256226178"
"Connochaetes"	"1614"	"837.889878759623"
"Dama"	"220"	"659.717436410505"
"Damaliscus"	"1440"	"2162.47395077101"
"Delphinapterus"	"6231"	"16140.6857820917"
"Delphinus"	"40546"	"41211.1234192459"
"Dorcatragus"	"105"	"34.584672671119"
"Elaphodus"	"909"	"329.345141258448"
"Elaphurus"	"13"	"81.7864351039119"
"Eschrichtius"	"3436"	"19600.1169452288"
"Eubalaena"	"41487"	"48204.7696085747"
"Eudorcas"	"1411"	"1444.5903918926"
"Feresa"	"83653"	"29382.5907159715"
"Gazella"	"9958"	"6629.40299174496"
"Giraffa"	"1524"	"1863.59304878942"
"Globicephala"	"124284"	"48296.4146991049"
"Grampus"	"97347"	"41494.239334792"
"Hemitragus"	"134"	"107.327950921796"
"Hippocamelus"	"499"	"701.082297034496"
"Hippopotamus"	"2216"	"2515.10728860096"
"Hippotragus"	"3382"	"2300.47976645414"
"Hydropotes"	"149"	"127.098066058533"
"Hyemoschus"	"1230"	"972.530354810069"
"Hylochoerus"	"1271"	"983.438417632272"
"Hyperoodon"	"39166"	"49360.008999634"
"Indopacetus"	"44016"	"24258.8162157493"
"Inia"	"1919"	"882.579027001776"
"Kobus"	"4356"	"2840.86538806302"
"Kogia"	"104409"	"38185.4318765385"
"Lagenodelphis"	"72036"	"27923.4891307579"
"Lagenorhynchus"	"37139"	"50794.8859625754"
"Lama"	"1006"	"788.30718846132"
"Lissodelphis"	"37467"	"40411.0289574173"
"Litocranius"	"715"	"299.714238583095"
"Madoqua"	"1511"	"1765.64664262093"
"Mazama"	"6539"	"3914.51634318625"
"Megaptera"	"131735"	"50796.0799282842"
"Mesoplodon"	"126689"	"48278.4321926997"
"Monodon"	"2573"	"7050.40450535228"
"Moschiola"	"998"	"376.303272988786"
"Moschus"	"4840"	"3681.87371084483"
"Muntiacus"	"4394"	"2259.11022128774"
"Naemorhedus"	"1873"	"2140.71185384092"
"Nanger"	"860"	"1435.44983205544"
"Neophocaena"	"3033"	"4686.92818023454"
"Neotragus"	"740"	"641.912848955604"
"Nesotragus"	"760"	"402.064391485695"
"Nilgiritragus"	"22"	"6.54079811985"
"Odocoileus"	"7684"	"8229.67975338081"
"Okapia"	"183"	"62.255518784093"
"Orcaella"	"2832"	"3713.3159587903"
"Orcinus"	"135024"	"53881.51219977"
"Oreamnos"	"741"	"905.481056806155"
"Oreotragus"	"2717"	"2361.90020959483"
"Oryx"	"1529"	"3054.30690408925"
"Ourebia"	"3780"	"3220.30989291379"
"Ovibos"	"1530"	"3990.76229022751"
"Ovis"	"6248"	"17817.8757821687"
"Ozotoceros"	"489"	"841.629672509165"
"Pantholops"	"526"	"187.080662437634"
"Pecari"	"6801"	"5584.63105405904"
"Pelea"	"355"	"199.406685341996"
"Peponocephala"	"71835"	"25857.8279428178"
"Phacochoerus"	"5361"	"3588.47162859194"
"Philantomba"	"3559"	"2872.83291731942"
"Phocoena"	"25429"	"50795.7229963854"
"Phocoenoides"	"9196"	"12660.3916514944"
"Physeter"	"132231"	"49362.1924798829"
"Platanista"	"377"	"376.72913214516"
"Pontoporia"	"351"	"651.4489256732"
"Porcula"	"13"	"2.76260931133499"
"Potamochoerus"	"4705"	"3132.45912068321"
"Procapra"	"1483"	"1053.80641984887"
"Pseudois"	"1301"	"432.632778457932"
"Pseudorca"	"81547"	"43416.1146669127"
"Pseudoryx"	"43"	"20.347064872155"
"Pudu"	"318"	"524.417989285993"
"Rangifer"	"9753"	"15267.3801241419"
"Raphicerus"	"2605"	"1071.80019665309"
"Redunca"	"4911"	"2972.6563766532"
"Rucervus"	"180"	"602.447895543787"
"Rupicapra"	"512"	"636.648844539224"
"Rusa"	"4111"	"2506.28104652933"
"Saiga"	"487"	"455.05221760831"
"Sotalia"	"2224"	"2553.10646908937"
"Sousa"	"9324"	"12052.369349696"
"Stenella"	"104384"	"40518.2207278618"
"Steno"	"85620"	"31283.7047346935"
"Sus"	"14388"	"10755.7511446457"
"Sylvicapra"	"5998"	"3289.26515317341"
"Syncerus"	"4069"	"2790.13086018754"
"Tasmacetus"	"23637"	"8364.3444810012"
"Tayassu"	"5222"	"2827.590495686"
"Tetracerus"	"952"	"325.531232805312"
"Tragelaphus"	"7160"	"3637.32824888613"
"Tragulus"	"1573"	"763.577558041914"
"Tursiops"	"103710"	"42552.5508042542"
"Vicugna"	"500"	"403.90197861508"
"Ziphius"	"117703"	"42723.9472884207"
