"species"	"hexcount"	"area"
"Acerodon_celebensis_Centroid"	"213"	"90.7174286970479"
"Acerodon_humilis_Centroid"	"8"	"0.979936105610011"
"Acerodon_jubatus_Centroid"	"251"	"121.858025737808"
"Acerodon_leucotis_Centroid"	"42"	"22.472541598204"
"Acerodon_mackloti_Centroid"	"122"	"38.400919505422"
"Aethalops_aequalis_Centroid"	"102"	"57.004702981425"
"Aethalops_alecto_Centroid"	"226"	"308.066605513548"
"Alionycteris_paucidentata_Centroid"	"18"	"3.84110410026702"
"Ametrida_centurio_Centroid"	"2530"	"991.529742043104"
"Amorphochilus_schnablii_Centroid"	"232"	"277.741526762427"
"Anoura_caudifer_Centroid"	"2784"	"1732.60598032686"
"Anoura_cultrata_Centroid"	"577"	"534.618492342304"
"Anoura_fistulata_Centroid"	"42"	"14.670688885545"
"Anoura_geoffroyi_Centroid"	"3963"	"3960.68977702765"
"Anoura_latidens_Centroid"	"559"	"481.802464590216"
"Anoura_luismanueli_Centroid"	"87"	"36.5152570319401"
"Anthops_ornatus_Centroid"	"58"	"35.9113896481501"
"Antrozous_pallidus_Centroid"	"2057"	"1729.9678262594"
"Aproteles_bulmerae_Centroid"	"6"	"3.9514736233"
"Ardops_nichollsi_Centroid"	"40"	"16.62716238096"
"Arielulus_aureocollaris_Centroid"	"22"	"31.10467680792"
"Arielulus_circumdatus_Centroid"	"221"	"815.14170874386"
"Arielulus_cuprosus_Centroid"	"44"	"47.43664825159"
"Arielulus_societatis_Centroid"	"20"	"4.41417737283202"
"Arielulus_torquatus_Centroid"	"37"	"10.722209700004"
"Ariteus_flavescens_Centroid"	"14"	"2.99020323007"
"Artibeus_amplus_Centroid"	"822"	"274.622678005662"
"Artibeus_concolor_Centroid"	"2822"	"1003.59173678107"
"Artibeus_fimbriatus_Centroid"	"783"	"621.5697161024"
"Artibeus_fraterculus_Centroid"	"218"	"102.165081553404"
"Artibeus_hirsutus_Centroid"	"193"	"164.044485255696"
"Artibeus_inopinatus_Centroid"	"45"	"17.003155049988"
"Artibeus_jamaicensis_Centroid"	"1091"	"834.228436534506"
"Artibeus_lituratus_Centroid"	"6219"	"4291.09482755519"
"Artibeus_obscurus_Centroid"	"4708"	"1836.11429095358"
"Artibeus_planirostris_Centroid"	"3577"	"1498.40264273561"
"Artibeus_schwartzi_Centroid"	"53"	"116.01232294512"
"Asellia_patrizii_Centroid"	"151"	"45.283891754822"
"Asellia_tridens_Centroid"	"7345"	"2963.24168549613"
"Aselliscus_stoliczkanus_Centroid"	"692"	"422.87342891469"
"Aselliscus_tricuspidatus_Centroid"	"482"	"825.361638936296"
"Austronomus_australis_Centroid"	"2660"	"984.35603041552"
"Austronomus_kuboriensis_Centroid"	"130"	"104.959437624721"
"Balantiopteryx_infusca_Centroid"	"18"	"11.79079526416"
"Balantiopteryx_io_Centroid"	"132"	"41.977647739456"
"Balantiopteryx_plicata_Centroid"	"528"	"486.00663163891"
"Balionycteris_maculata_Centroid"	"387"	"217.216733176584"
"Barbastella_barbastellus_Centroid"	"2149"	"2384.52969632262"
"Barbastella_leucomelas_Centroid"	"2101"	"3475.49813012728"
"Bauerus_dubiaquercus_Centroid"	"173"	"120.600450534825"
"Brachyphylla_cavernarum_Centroid"	"78"	"54.75155866092"
"Brachyphylla_nana_Centroid"	"223"	"105.34296670215"
"Cardioderma_cor_Centroid"	"1102"	"484.828200838644"
"Carollia_brevicauda_Centroid"	"4609"	"1718.22777037723"
"Carollia_castanea_Centroid"	"1242"	"650.56284161026"
"Carollia_manu_Centroid"	"59"	"24.40028843829"
"Carollia_perspicillata_Centroid"	"5972"	"3352.10156535185"
"Carollia_sowelli_Centroid"	"464"	"284.887537324395"
"Carollia_subrufa_Centroid"	"175"	"101.10565246952"
"Casinycteris_argynnis_Centroid"	"780"	"223.158833049626"
"Centronycteris_centralis_Centroid"	"1260"	"1031.11478647213"
"Centronycteris_maximiliani_Centroid"	"2494"	"1145.74713846038"
"Centurio_senex_Centroid"	"1183"	"1057.89853579524"
"Chaerephon_aloysiisabaudiae_Centroid"	"565"	"392.778546735978"
"Chaerephon_ansorgei_Centroid"	"2629"	"1967.66940883667"
"Chaerephon_bemmeleni_Centroid"	"399"	"780.372173999488"
"Chaerephon_bivittatus_Centroid"	"1011"	"701.28616060684"
"Chaerephon_bregullae_Centroid"	"29"	"1109.35974604529"
"Chaerephon_chapini_Centroid"	"1951"	"1273.2035145096"
"Chaerephon_gallagheri_Centroid"	"2"	"0.107598462674"
"Chaerephon_jobensis_Centroid"	"1266"	"980.708073015615"
