"species"	"hexcount"	"area"
"Antechinomys"	"1231"	"491.48426478621"
"Antechinus"	"824"	"1330.63642033459"
"Dasycercus"	"762"	"316.21060777145"
"Dasykaluta"	"222"	"67.10881828567"
"Dasyuroides"	"73"	"20.9282944683411"
"Dasyurus"	"1206"	"1759.76818116019"
"Murexia"	"348"	"181.138665040425"
"Myoictis"	"345"	"169.578931396101"
"Myrmecobius"	"34"	"80.4329760995249"
"Neophascogale"	"106"	"43.9571058237361"
"Ningaui"	"1377"	"612.3895107384"
"Parantechinus"	"17"	"28.851399865808"
"Phascogale"	"384"	"1122.84707831654"
"Phascolosorex"	"182"	"127.340122883617"
"Planigale"	"1724"	"1048.93592131236"
"Pseudantechinus"	"1105"	"579.300942383496"
"Sarcophilus"	"64"	"19.30970863008"
"Sminthopsis"	"3328"	"1611.25138721676"
