"species"	"hexcount"	"area"
"Acrobates"	"711"	"408.32824694844"
"Aepyprymnus"	"339"	"194.659911865391"
"Ailurops"	"205"	"90.723119365785"
"Bettongia"	"113"	"984.638484420012"
"Burramys"	"14"	"4.43994991360603"
"Cercartetus"	"1009"	"1759.76818116019"
"Dactylonax"	"192"	"175.801116221664"
"Dactylopsila"	"560"	"412.970624054657"
"Dendrolagus"	"372"	"410.276889811107"
"Distoechurus"	"345"	"209.459357206614"
"Dorcopsis"	"394"	"220.097414767436"
"Dorcopsulus"	"167"	"97.7920680918119"
"Gymnobelideus"	"7"	"1.22312947783999"
"Hemibelideus"	"17"	"4.713251823907"
"Hypsiprymnodon"	"28"	"10.3345653371199"
"Lagorchestes"	"986"	"670.9946073468"
"Lagostrophus"	"10"	"1.5119218556"
"Lasiorhinus"	"127"	"257.73639472048"
"Macropus"	"3553"	"1672.6226975383"
"Onychogalea"	"568"	"603.231838114364"
"Petauroides"	"444"	"250.504220229474"
"Petaurus"	"1735"	"1302.85414918154"
"Petrogale"	"1067"	"1069.65067801482"
"Petropseudes"	"212"	"123.779823909176"
"Phalanger"	"686"	"507.020738979544"
"Phascolarctos"	"679"	"354.719598497046"
"Potorous"	"248"	"675.56856458905"
"Pseudocheirus"	"691"	"1329.25582090829"
"Pseudochirops"	"257"	"356.833717339935"
"Pseudochirulus"	"418"	"395.289940721621"
"Setonix"	"43"	"12.815114065706"
"Spilocuscus"	"650"	"367.418624242384"
"Strigocuscus"	"191"	"83.6489214908799"
"Tarsipes"	"181"	"120.7797598264"
"Thylogale"	"554"	"910.674047375592"
"Trichosurus"	"1620"	"1331.43883707341"
"Vombatus"	"305"	"234.707131060389"
"Wallabia"	"682"	"416.266724565"
"Wyulda"	"77"	"22.191341360625"
