"species"	"hexcount"	"area"
"Allenopithecus"	"271"	"68.437910797056"
"Allocebus"	"59"	"18.071529026976"
"Allochrocebus"	"219"	"251.375410358881"
"Alouatta"	"4267"	"3344.67976702927"
"Aotus"	"3438"	"1541.24094256253"
"Arctocebus"	"433"	"150.601186309056"
"Ateles"	"3186"	"2121.46795186593"
"Avahi"	"144"	"81.280261042176"
"Brachyteles"	"150"	"114.89023679397"
"Cacajao"	"264"	"182.806976820112"
"Callicebus"	"2889"	"1452.12224240549"
"Callimico"	"404"	"157.525643775423"
"Callithrix"	"1238"	"470.705077714641"
"Cebuella"	"779"	"294.27830602269"
"Cebus"	"1895"	"1027.81264180333"
"Cercocebus"	"1236"	"1264.65377418744"
"Cercopithecus"	"3506"	"3024.41757305099"
"Cheirogaleus"	"258"	"105.405802548693"
"Chiropotes"	"1458"	"546.120800871525"
"Chlorocebus"	"6384"	"3593.07325145485"
"Colobus"	"3014"	"1668.13412674996"
"Daubentonia"	"165"	"103.498716260485"
"Erythrocebus"	"3175"	"1399.07353736644"
"Eulemur"	"249"	"111.370090644472"
"Euoticus"	"472"	"156.7787008718"
"Galago"	"5589"	"2973.30349173514"
"Galagoides"	"2791"	"2284.79790690529"
"Gorilla"	"465"	"273.89722751616"
"Hapalemur"	"198"	"104.366280354952"
"Homo"	"62432"	"52881.0942651994"
"Hoolock"	"367"	"139.344897207747"
"Hylobates"	"1205"	"775.828404187439"
"Indri"	"50"	"15.377306336208"
"Lagothrix"	"1384"	"607.318975334665"
"Lemur"	"84"	"24.293903418794"
"Leontopithecus"	"111"	"186.64142627464"
"Lepilemur"	"230"	"105.268685614896"
"Lophocebus"	"1071"	"404.24019987405"
"Loris"	"185"	"74.3696528697"
"Macaca"	"6071"	"7828.48706709829"
"Mandrillus"	"251"	"80.552940978719"
"Mico"	"864"	"335.198374185735"
"Microcebus"	"224"	"92.161616533428"
"Miopithecus"	"510"	"229.153081998852"
"Mirza"	"114"	"76.222151911521"
"Nasalis"	"367"	"122.317432683"
"Nomascus"	"294"	"160.95953439545"
"Nycticebus"	"1963"	"1157.51215201746"
"Oreonax"	"44"	"10.663227040797"
"Otolemur"	"2327"	"1112.0221549218"
"Pan"	"1653"	"1088.79999356724"
"Papio"	"7052"	"3684.71269430784"
"Perodicticus"	"1843"	"1057.90649532304"
"Phaner"	"140"	"90.429985472373"
"Piliocolobus"	"855"	"1317.86301210424"
"Pithecia"	"709"	"430.215758800302"
"Pongo"	"293"	"240.197886377355"
"Presbytis"	"914"	"535.505336632812"
"Procolobus"	"257"	"106.37128490176"
"Prolemur"	"26"	"14.530332818967"
"Propithecus"	"241"	"92.38218615003"
"Pygathrix"	"156"	"53.6773901231261"
"Rhinopithecus"	"247"	"184.382056178199"
"Rungwecebus"	"7"	"7.515954605412"
"Saguinus"	"2076"	"993.879588258176"
"Saimiri"	"2899"	"1143.66118842002"
"Sapajus"	"4636"	"1854.16973711673"
"Sciurocheirus"	"431"	"140.5151481755"
"Semnopithecus"	"1256"	"671.880368027788"
"Simias"	"28"	"8.06449601546599"
"Symphalangus"	"245"	"125.768590096972"
"Tarsius"	"827"	"492.39967753515"
"Theropithecus"	"75"	"33.086137837544"
"Trachypithecus"	"2186"	"1743.72502345812"
"Varecia"	"64"	"36.662010005907"
