"species"	"hexcount"	"area"
"Abditomys_latidens_Centroid"	"19"	"6.28075265652001"
"Abeomelomys_sevia_Centroid"	"36"	"17.416355520042"
"Abrawayaomys_ruschii_Centroid"	"68"	"105.551525081904"
"Abrocoma_bennettii_Centroid"	"100"	"32.069995063536"
"Abrocoma_boliviensis_Centroid"	"4"	"0.363981209656001"
"Abrocoma_budini_Centroid"	"7"	"1.08520730788102"
"Abrocoma_cinerea_Centroid"	"297"	"119.912870239442"
"Abrocoma_famatina_Centroid"	"15"	"3.064435258164"
"Abrocoma_shistacea_Centroid"	"13"	"2.67451056009401"
"Abrocoma_uspallata_Centroid"	"3"	"0.279897599520001"
"Abrocoma_vaccarum_Centroid"	"3"	"0.279897599520001"
"Abrothrix_andinus_Centroid"	"368"	"169.21107461568"
"Abrothrix_illutea_Centroid"	"44"	"9.53166617356801"
"Abrothrix_jelskii_Centroid"	"324"	"224.956569293543"
"Abrothrix_lanosus_Centroid"	"58"	"44.161003047029"
"Abrothrix_longipilis_Centroid"	"418"	"217.95636438907"
"Abrothrix_olivaceus_Centroid"	"628"	"399.64228487391"
"Abrothrix_sanborni_Centroid"	"40"	"13.559978607621"
"Acomys_airensis_Centroid"	"860"	"243.33225596855"
"Acomys_cahirinus_Centroid"	"1920"	"1361.05843503406"
"Acomys_cilicicus_Centroid"	"4"	"0.708893590944006"
"Acomys_cineraceus_Centroid"	"597"	"285.5226007632"
"Acomys_dimidiatus_Centroid"	"974"	"762.58861779486"
"Acomys_ignitus_Centroid"	"79"	"20.695600005229"
"Acomys_johannis_Centroid"	"262"	"144.37218860199"
"Acomys_kempi_Centroid"	"329"	"115.14536307534"
"Acomys_louisae_Centroid"	"386"	"167.306056782354"
"Acomys_minous_Centroid"	"21"	"6.27105731445899"
"Acomys_mullah_Centroid"	"127"	"47.223478237725"
"Acomys_nesiotes_Centroid"	"23"	"7.54008283369399"
"Acomys_percivali_Centroid"	"158"	"61.65209833591"
"Acomys_russatus_Centroid"	"462"	"395.928528584148"
"Acomys_seurati_Centroid"	"165"	"48.37231981278"
"Acomys_spinosissimus_Centroid"	"888"	"330.015653671804"
"Acomys_subspinosus_Centroid"	"60"	"21.49389995314"
"Acomys_wilsoni_Centroid"	"676"	"237.782651902182"
"Aconaemys_fuscus_Centroid"	"26"	"7.05924987749998"
"Aconaemys_porteri_Centroid"	"31"	"8.68350093239198"
"Aconaemys_sagei_Centroid"	"45"	"13.75029573974"
"Aegialomys_galapagoensis_Centroid"	"4"	"0.313116505240004"
"Aegialomys_xanthaeolus_Centroid"	"241"	"146.323395738585"
"Aepeomys_lugens_Centroid"	"21"	"4.686777677295"
"Aepeomys_reigi_Centroid"	"10"	"1.955445400832"
"Aeretes_melanopterus_Centroid"	"56"	"178.083224650487"
"Aeromys_tephromelas_Centroid"	"297"	"208.35947752066"
"Aeromys_thomasi_Centroid"	"265"	"114.43105690796"
"Aethomys_bocagei_Centroid"	"173"	"50.975038304058"
"Aethomys_chrysophilus_Centroid"	"1901"	"932.244524016018"
"Aethomys_granti_Centroid"	"95"	"32.389508519408"
"Aethomys_hindei_Centroid"	"1146"	"444.211914876528"
"Aethomys_ineptus_Centroid"	"307"	"101.340823264752"
