"species"	"hexcount"
"Addax_nasomaculatus_Centroid"	86
"Aepyceros_melampus_Centroid"	1660
"Alcelaphus_buselaphus_Centroid"	3433
"Alces_alces_Centroid"	10549
"Ammodorcas_clarkei_Centroid"	94
"Ammotragus_lervia_Centroid"	1112
"Antidorcas_marsupialis_Centroid"	947
"Antilocapra_americana_Centroid"	1320
"Antilope_cervicapra_Centroid"	900
"Arabitragus_jayakari_Centroid"	57
"Axis_axis_Centroid"	1151
"Axis_calamianensis_Centroid"	10
"Axis_kuhlii_Centroid"	3
"Axis_porcinus_Centroid"	365
"Babyrousa_babyrussa_Centroid"	23
"Babyrousa_celebensis_Centroid"	123
"Babyrousa_togeanensis_Centroid"	8
"Beatragus_hunteri_Centroid"	14
"Bison_bison_Centroid"	293
"Bison_bonasus_Centroid"	12
"Blastocerus_dichotomus_Centroid"	454
"Bos_gaurus_Centroid"	1117
"Bos_javanicus_Centroid"	334
"Bos_mutus_Centroid"	343
"Boselaphus_tragocamelus_Centroid"	1046
"Bubalus_arnee_Centroid"	84
"Bubalus_depressicornis_Centroid"	126
"Bubalus_mindorensis_Centroid"	15
"Bubalus_quarlesi_Centroid"	108
"Budorcas_taxicolor_Centroid"	329
"Camelus_ferus_Centroid"	185
"Capra_aegagrus_Centroid"	1013
"Capra_caucasica_Centroid"	29
"Capra_cylindricornis_Centroid"	43
"Capra_falconeri_Centroid"	141
"Capra_ibex_Centroid"	85
"Capra_nubiana_Centroid"	342
"Capra_pyrenaica_Centroid"	142
"Capra_sibirica_Centroid"	1184
"Capra_walie_Centroid"	7
"Capreolus_capreolus_Centroid"	3386
"Capreolus_pygargus_Centroid"	5429
"Capricornis_crispus_Centroid"	154
"Capricornis_milneedwardsii_Centroid"	1774
"Capricornis_rubidus_Centroid"	108
"Capricornis_sumatraensis_Centroid"	213
"Capricornis_swinhoei_Centroid"	27
"Capricornis_thar_Centroid"	394
"Catagonus_wagneri_Centroid"	168
"Cephalophus_adersi_Centroid"	18
"Cephalophus_callipygus_Centroid"	380
"Cephalophus_dorsalis_Centroid"	1727
"Cephalophus_harveyi_Centroid"	284
"Cephalophus_jentinki_Centroid"	89
"Cephalophus_leucogaster_Centroid"	554
"Cephalophus_natalensis_Centroid"	500
"Cephalophus_niger_Centroid"	419
"Cephalophus_nigrifrons_Centroid"	1451
"Cephalophus_ogilbyi_Centroid"	360
"Cephalophus_rufilatus_Centroid"	1435
"Cephalophus_silvicultor_Centroid"	2805
"Cephalophus_spadix_Centroid"	40
"Cephalophus_weynsi_Centroid"	738
"Cephalophus_zebra_Centroid"	75
"Cervus_albirostris_Centroid"	419
"Cervus_canadensis_Centroid"	5346
"Cervus_elaphus_Centroid"	2071
"Cervus_nippon_Centroid"	410
"Choeropsis_liberiensis_Centroid"	131
"Connochaetes_gnou_Centroid"	234
