"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.224578225815997	19	0.95	-0.0222763947111523	1.27875360095283	-0.648632353445767
0.274404193461646	18	0.9	-0.0457574905606751	1.25527250510331	-0.561609255999773
0.428105375124264	17	0.85	-0.0705810742857073	1.23044892137827	-0.368449319299182
0.449487841258613	16	0.8	-0.0969100130080564	1.20411998265592	-0.347282051529662
0.557071768198233	15	0.75	-0.1249387366083	1.17609125905568	-0.254088850562998
0.759468698690574	14	0.7	-0.154901959985743	1.14612803567824	-0.119490120769059
0.78937557297873	13	0.65	-0.187086643357144	1.11394335230684	-0.10271631686207
0.797249266281189	12	0.6	-0.221848749616356	1.07918124604762	-0.0984058717716477
0.857376882775353	11	0.55	-0.259637310505756	1.04139268515823	-0.0668282304340268
0.877300762332094	10	0.5	-0.301029995663981	1	-0.0568514932602927
1.04760838191594	9	0.45	-0.346787486224656	0.954242509439325	0.0201989645577756
1.1721711865216	8	0.4	-0.397940008672038	0.903089986991944	0.0689910416587453
1.17705262192201	6	0.3	-0.522878745280338	0.778151250383644	0.0707958790707093
1.42216013187679	5	0.25	-0.602059991327962	0.698970004336019	0.152948499681408
1.77678953727852	4	0.2	-0.698970004336019	0.602059991327962	0.249635988181355
2.38286224760808	3	0.15	-0.823908740944319	0.477121254719662	0.37709893666753
2.52383309461133	2	0.1	-1	0.301029995663981	0.402060630886652
2.57741390484359	1	0.05	-1.30102999566398	0	0.411184167156007
