"duration"	"psurvive"	"log10p"
0.002	0.9992	-0.000347574633920912
0.004	0.9985	-0.000651930793278602
0.006	0.9974	-0.00113063611765581
0.008	0.9967	-0.00143554173905834
0.01	0.996	-0.00174066157630127
0.012	0.9956	-0.00191511206344437
0.014	0.9946	-0.00235154510379384
0.016	0.9938	-0.002701007590486
0.018	0.993	-0.00305075150461883
0.02	0.9926	-0.00322572913869541
0.022	0.9918	-0.00357589604490887
0.024	0.9908	-0.00401400208620062
0.026	0.9902	-0.00427707800453474
0.028	0.9895	-0.00458420145758491
0.03	0.9889	-0.00484762310854619
0.032	0.9887	-0.00493546584385846
0.034	0.9883	-0.00511120463508938
0.036	0.9875	-0.00546289570150214
0.038	0.9868	-0.00577085918230157
0.04	0.986	-0.0061230850587888
0.042	0.9853	-0.00643151721027255
0.044	0.9846	-0.00674016856326314
0.046	0.9838	-0.00709318177668748
0.048	0.9831	-0.00740230389796176
0.05	0.9822	-0.00780007020441495
0.052	0.9819	-0.00793273997233325
0.054	0.9813	-0.00819820115535596
0.056	0.9808	-0.00841954282566018
0.058	0.9804	-0.00859669741995966
0.06	0.9795	-0.00899555966924482
0.062	0.9788	-0.00930603932024842
0.064	0.9782	-0.00957234151473649
0.066	0.9776	-0.00983880710152098
0.068	0.977	-0.0101054362812269
0.07	0.9759	-0.010594681998484
0.072	0.9752	-0.0109063073896745
0.074	0.9745	-0.0112181565463597
0.076	0.9741	-0.0113964566543361
0.078	0.9735	-0.0116640441439495
0.08	0.9725	-0.0121103900022546
0.082	0.9711	-0.0127360458777645
0.084	0.9705	-0.0130044602756184
0.086	0.9697	-0.0133626043898461
0.088	0.9692	-0.0135865945345314
0.09	0.9683	-0.0139900681467388
0.092	0.9671	-0.0145286167104123
0.094	0.9664	-0.0148430787229434
0.096	0.9659	-0.0150678339325879
0.098	0.9654	-0.0152927055173268
0.1	0.9651	-0.0154276843783678
0.102	0.9644	-0.0157427982945839
0.104	0.9642	-0.0158328728530119
0.106	0.9636	-0.0161032086736942
0.108	0.963	-0.0163737128754655
0.11	0.9624	-0.0166443856682117
0.112	0.9616	-0.0170055453413357
0.114	0.961	-0.0172766123314547
0.116	0.9602	-0.017638298366853
0.118	0.9591	-0.0181361090086496
0.12	0.9584	-0.0184531949547638
0.122	0.9578	-0.0187251672934111
0.124	0.9569	-0.0191334454179209
0.126	0.9565	-0.0193150256366853
0.128	0.9562	-0.0194512606402294
0.13	0.9557	-0.0196784139912436
0.132	0.955	-0.0199966284162537
0.134	0.9545	-0.0202240672703144
0.136	0.9542	-0.0203605877770927
0.138	0.9535	-0.0206793026179756
0.14	0.9529	-0.0209526730520353
0.142	0.9523	-0.0212262156698776
0.144	0.9519	-0.0214086731799253
0.146	0.9514	-0.0216368529161171
0.148	0.9511	-0.0217738183254741
0.15	0.9505	-0.0220478787985381
0.152	0.9499	-0.0223221123260061
0.154	0.949	-0.0227337875727074
0.156	0.9486	-0.0229168796841473
0.158	0.9479	-0.0232374767325394
0.16	0.9473	-0.02351246269481
0.162	0.9467	-0.0237876228826229
0.164	0.9463	-0.0239711599088741
0.166	0.9458	-0.0242006903205925
0.168	0.945	-0.0245681914907371
0.17	0.9447	-0.0247060846437937
0.172	0.9443	-0.0248900103138389
0.174	0.9438	-0.0251200269930695
0.176	0.943	-0.0254883072626717
0.178	0.9423	-0.0258108088818328
0.18	0.942	-0.0259490972071227
0.182	0.941	-0.0264103765727431
0.184	0.9404	-0.0266873795470982
0.186	0.9395	-0.0271032155634556
0.188	0.9388	-0.027426919073445
0.19	0.9381	-0.0277508640374043
0.192	0.9379	-0.0278434641405064
0.194	0.9375	-0.0280287236002435
0.196	0.9367	-0.028399479769941
0.198	0.9361	-0.0286777547571871
0.2	0.9356	-0.0289097868628846
0.202	0.9352	-0.0290955018462163
0.204	0.9349	-0.0292348402192323
0.206	0.9343	-0.0295136511523498
0.208	0.9337	-0.0297926411931454
0.21	0.9331	-0.0300718105718839
0.212	0.9327	-0.0302580232371458
0.214	0.932	-0.0305840876460186
