"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
85720	"Primates other"	"incertae sedis"	""	"Pliobates"	"cataloniae"	"Pliobates cataloniae"	NA	NA	NA	"Pliobates cataloniae"	1	1	0	11.62	11.62	0	0	0	41.5	41.5	1.8	1.8	0
82232	"Hominidae not Hominini"	"Hominidae"	"Dryopithecini"	"Anoiapithecus"	"brevirostris"	"Anoiapithecus brevirostris"	NA	"bra"	NA	"Anoiapithecus brevirostris"	3	1	0.39	12.37	11.98	0	0	0	41.5	41.5	1.8	1.8	0.129999999999999
20249	"Hominidae not Hominini"	"Hominidae"	"Dryopithecini"	"Dryopithecus"	"fontani"	"Dryopithecus fontani"	35000	"bra"	"R2200"	"Dryopithecus fontani"	11	3	1.56	12.11	10.55	1.02806424	0.8070304284	1.01393502750423	47.1	41.5	15.3	0.4	1.43666666666667
25240	"Hominini conservative"	"Hominidae"	"Hominini"	"Homo"	"neanderthalensis"	"Homo neanderthalensis"	NA	"bra"	"R2200"	"Homo neanderthalensis"	11	8	0.93	0.96	0.03	2.35441989	1.84821961365	1.53441190362953	51.2	41.5	20.5	0.8	0.2475
34296	"Hominidae not Hominini"	"Hominidae"	"Dryopithecini"	"Pierolapithecus"	"catalaunicus"	"Pierolapithecus catalaunicus"	NA	"bra"	"R2200"	"Pierolapithecus catalaunicus"	1	1	0	11.98	11.98	0	0	0	41.5	41.5	1.8	1.8	0
86089	"Hominidae not Hominini"	"Hominidae"	"Sugrivapithecini"	"Sivapithecus"	"occidentalis"	"Sivapithecus occidentalis"	NA	NA	NA	"Sivapithecus occidentalis"	2	1	0.46	12.44	11.98	0	0	0	41.5	41.5	1.8	1.8	0.23
84935	"Primates other"	"Atelidae"	NA	"Solimoea"	"acrensis"	"Solimoea acrensis"	NA	NA	NA	"Solimoea acrensis"	1	1	0	8	8	0	0	0	-9.1	-9.1	-72.7	-72.7	0
84937	"Primates other"	"Cebidae"	NA	"Acrecebus"	"fraileyi"	"Acrecebus fraileyi"	NA	NA	NA	"Acrecebus fraileyi"	1	1	0	8	8	0	0	0	-9.1	-9.1	-72.7	-72.7	0
86108	"Primates other"	"Afropithecidae"	"Afropithecinae"	"Heliopithecus"	"leakeyi"	"Heliopithecus leakeyi"	NA	NA	NA	"Heliopithecus leakeyi"	1	1	0	16.8	16.8	0	0	0	26.5	26.5	48.6	48.6	0
27976	"Primates other"	"Cercopithecidae"	"Papionini"	"Theropithecus"	"oswaldi"	"Theropithecus oswaldi"	63500	"mes"	NA	"Theropithecus oswaldi"	68	7	3.51	3.96	0.45	43.64184447	34.25884790895	6.6061974289299	37.6	-33.1	42.1	-8	1.274
28754	"Primates other"	"Cercopithecidae"	"Papionini"	"Parapapio"	"jonesi"	"Parapapio jonesi"	NA	"bra"	"L2202"	"Parapapio jonesi"	7	2	3	3.96	0.96	6.57189819	5.15894007915	2.56357137407953	11.2	-26.1	42.1	27.8	1.065
29312	"Primates other"	"Cercopithecidae"	""	"Anomalopithecus"	"bicuspidatus"	"Anomalopithecus bicuspidatus"	NA	"bra"	NA	"Anomalopithecus bicuspidatus"	1	1	0	3.02	3.02	0	0	0	33	33	9	9	0
27784	"Hominini conservative"	"Hominidae"	"Hominini"	"Homo"	"erectus"	"Homo erectus"	NA	"bra"	"R2200"	"Homo erectus"	59	12	2.08	2.38	0.3	76.25319048	59.8587545268	8.73230728272889	39.7	-8.5	120.4	-8	0.498333333333333
30968	"Primates other"	"Afropithecidae"	"Equatorinae"	"Nacholapithecus"	"kerioi"	"Nacholapithecus kerioi"	21500	"bra"	NA	"Nacholapithecus kerioi"	1	1	0	15.81	15.81	0	0	0	1.8	1.8	36.5	36.5	0
31289	"Primates other"	"Nyanzapithecidae"	NA	"Nyanzapithecus"	"harrisoni"	"Nyanzapithecus harrisoni"	NA	"bra"	NA	"Nyanzapithecus harrisoni"	1	1	0	15.81	15.81	0	0	0	1.8	1.8	36.5	36.5	0
25463	"Hominini conservative"	"Hominidae"	"Hominini"	"Homo"	"sapiens"	"Homo sapiens"	NA	"bra"	"R2200"	"Homo sapiens"	86	13	1.47	1.48	0.01	141.9761151	111.4512503535	11.9153730575253	56.1	-26.8	133.1	-5.9	0.202
31258	"Primates other"	"Cercopithecidae"	"Papionini"	"Kuseracolobus"	"aramisi"	"Kuseracolobus aramisi"	NA	"bra"	NA	"Kuseracolobus aramisi"	9	1	1.3	5.7	4.4	0.00332667	0.00261143595	0.0576772918920436	11.2	10.3	40.5	40.2	0.998749999999999
33925	"Hominini conservative"	"Hominidae"	"Hominini"	"Ardipithecus"	"ramidus"	"Ardipithecus ramidus"	NA	"bra"	"R2200"	"Ardipithecus ramidus"	6	1	1.3	5.7	4.4	0.00221778	0.0017409573	0.0470933116270241	11.2	10.3	40.4	40.2	0.912857142857143
31339	"Primates other"	"Cercopithecidae"	"Papionini"	"Macaca"	"sylvanus"	"Macaca sylvanus"	NA	"bra"	"L2202"	"Macaca sylvanus"	21	10	5.89	6.2	0.31	10.20856455	8.01372317175	3.19508443550401	52.9	30.2	35.6	-0.9	2.4875
34222	"Hominidae not Hominini"	"Hominidae"	"Hispanopithecini"	"Rudapithecus"	"hungaricus"	"Rudapithecus hungaricus"	NA	"bra"	"R2200"	"Rudapithecus hungaricus"	3	1	0.32	10.55	10.23	0.00036963	0.00029015955	0.0192257639640145	48.7	48.4	20.7	20.6	0.213333333333333
31257	"Primates other"	"Cercopithecidae"	"Papionini"	"Pliopapio"	"alemui"	"Pliopapio alemui"	NA	"bra"	NA	"Pliopapio alemui"	7	1	1.3	5.7	4.4	0.00332667	0.00261143595	0.0576772918920436	11.2	10.3	40.5	40.2	0.898333333333333
