"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
24548	Artiodactyla	Cainotheriidae		Microtherium	renggeri	Microtherium renggeri	NA	NA	S2300	Microtherium renggeri	1	1	0	13.52	13.52	0	0	0	47.4	47.4	8.1	8.1	0
27190	Artiodactyla	Bachitheriidae		Bachitherium	insigne	Bachitherium insigne	36000	bra	NA	Bachitherium insigne	10	3	4.99	29.97	24.98	0.36371592	0.2855169972	0.603088650199952	47.3	43.2	8.4	1.2	1.74833333333333
25034	Perissodactyla	Rhinocerotidae		Coelodonta	antiquitatis	Coelodonta antiquitatis	1837313	hyp	L2222	Coelodonta antiquitatis	220	18	2.15	2.15	0	86.850729	68.177822265	9.31937385235725	71.2	33.2	179.7	-5.8	0.054
25173	Artiodactyla	Bovidae	Bovinae	Bos	primigenius	Bos primigenius	1059726	hyp	L2220	Bos primigenius	154	28	1.59	1.59	0	59.5436967	46.7418019095	7.71645622679219	60.7	24.5	129.8	-3.7	0.12
29944	Artiodactyla	Bovidae	Antilopini	Gazella	prjewalskyi	Gazella prjewalskyi	NA	NA	L2220	Gazella prjewalskyi	22	1	0.26	0.27	0.01	3.84932682	3.0217215537	1.96197013738742	45.6	32.9	126.3	101.7	0.01
21244	Rodentia	Muridae	Murinae	Stephanomys	donnezani	Stephanomys donnezani	NA	NA	NA	Stephanomys donnezani	14	2	2.13	5.15	3.02	0.9142182	0.717661287	0.956147582750697	43.8	36.8	4.4	-6.2	1.1
21245	Rodentia	Muridae	Murinae	Castillomys	crusafonti	Castillomys crusafonti	NA	NA	NA	Castillomys crusafonti	41	2	5.24	6.2	0.96	0.998001	0.783430785	0.999	44.2	36.7	4.6	-6.2	2.89
22325	Lagomorpha	Ochotonidae		Prolagus	ibericus	Prolagus ibericus	NA	NA	NA	Prolagus ibericus	3	1	0.87	5.15	4.28	0.09573417	0.07515132345	0.309409388997813	41	37.3	-1.5	-3.6	0.435
24665	Rodentia	Muridae	Cricetinae	Apocricetus	angustidens	Apocricetus angustidens	NA	NA	NA	Apocricetus angustidens	4	2	1.19	5.15	3.96	0.21142836	0.1659712626	0.459813396934017	43.1	39.2	2.9	-1.5	0.4575
21623	Proboscidea	Deinotheriidae		Deinotherium	giganteum	Deinotherium giganteum	11240000	bra	L2202	Deinotherium giganteum	106	18	12.84	16.8	3.96	28.38746079	22.28415672015	5.32798843748745	49.8	1.7	46.5	-1.4	6.09
20577	Rodentia	Muridae	Copemyinae	Democricetodon	brevis	Democricetodon brevis	24	NA	NA	Democricetodon brevis	54	9	6.25	16.8	10.55	3.6568728	2.870645148	1.91229516550139	51.2	40	28.3	1.8	1.601
20673	Rodentia	Muridae	Megacricetodontinae	Megacricetodon	minor	Megacricetodon minor	11	NA	NA	Megacricetodon minor	133	11	6.75	16.8	10.05	6.06267126	4.7591969391	2.46224922784027	51.2	37.3	30.2	-5.2	1.6025
