"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
28778	Artiodactyla	Suidae	Suinae	Kolpochoerus	heseloni	Kolpochoerus heseloni	296977	mes	R2200	Kolpochoerus heseloni	38	4	3.54	3.74	0.2	18.03363165	14.15640084525	4.24660236542109	36.7	-3.4	40.6	4.1	1.88333333333333
85544	Artiodactyla	Hippopotamidae	Hippopotaminae	Archaeopotamus	qeshta	Archaeopotamus qeshta	600000	bra	NA	Archaeopotamus qeshta	6	1	0	7.42	7.42	0.0012321	0.0009671985	0.035101282027869	24.1	24	53.3	52.3	0
22130	Rodentia	Muridae	Murinae	Apodemus	atavus	Apodemus atavus	NA	NA	NA	Apodemus atavus	19	7	4.15	5.23	1.08	20.37844116	15.9970763106	4.5142486816745	50.4	37.2	121.7	-3.6	3.57
21124	Carnivora	Canidae	Caninae	Canis	brevirostris	Canis brevirostris	NA	NA	NA	Canis brevirostris	10	3	1.55	3.75	2.2	57.45430152	45.1016266932	7.57986157657249	35.5	-26.1	103.5	27.8	0.775
28883	Lagomorpha	Leporidae		Lepus	capensis	Lepus capensis	4500	NA	NA	Lepus capensis	7	4	2.85	3.12	0.27	32.8428576	25.781643216	5.73086883465326	45.3	-33.1	36.2	2.2	0.562
28968	Primates	Galagidae	Kombinae	Komba	robustus	Komba robustus	NA	bra	NA	Komba robustus	4	1	3.29	20.09	16.8	0.00887112	0.0069638292	0.0941866232540481	0.4	-0.2	35.3	34.1	1.09666666666667
21999	Rodentia	Gliridae		Glis	sackdillingensis	Glis sackdillingensis	NA	NA	NA	Glis sackdillingensis	6	4	3.08	4.28	1.2	2.7771534	2.180065419	1.66647934280626	47.1	37.3	23.4	0.4	1.02
31090	Artiodactyla	Bovidae		Parabos	athanasiui	Parabos athanasiui	NA	hyp	L2220	Parabos athanasiui	3	1	1.26	4.28	3.02	0.00024642	0.0001934397	0.0156977705423414	46.1	45.9	25.6	25.5	0.756
20137	Carnivora	Felidae		Metailurus	parvulus	Metailurus parvulus	38000	NA	NA	Metailurus parvulus	18	6	3.17	9.37	6.2	21.16981899	16.61830790715	4.60106715773634	41	25.7	111.2	-1.1	1.25333333333333
25194	Artiodactyla	Suidae	Suinae	Sus	scrofa	Sus scrofa	124715	bra	R2200	Sus scrofa	188	33	2.14	2.15	0.01	116.85581388	91.7318138958	10.8099867659493	59.5	-8.1	133.1	-7.2	0.0275
