"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.17	21	0.456521739130435	-0.340538536947655	1.32221929473392	-0.769551078621726
0.2	20	0.434782608695652	-0.361727836017593	1.30102999566398	-0.698970004336019
0.31	19	0.41304347826087	-0.384004230728745	1.27875360095283	-0.508638306165727
0.32	18	0.391304347826087	-0.407485326578268	1.25527250510331	-0.494850021680094
0.39	17	0.369565217391304	-0.4323089103033	1.23044892137827	-0.408935392973501
0.45	16	0.347826086956522	-0.458637849025649	1.20411998265592	-0.346787486224656
0.46	15	0.326086956521739	-0.486666572625893	1.17609125905568	-0.337242168318426
0.64	14	0.304347826086957	-0.516629796003336	1.14612803567824	-0.193820026016113
1.47	12	0.260869565217391	-0.583576585633949	1.07918124604762	0.167317334748176
1.5	11	0.239130434782609	-0.621365146523349	1.04139268515823	0.176091259055681
1.55	10	0.217391304347826	-0.662757831681574	1	0.190331698170291
1.56	9	0.195652173913043	-0.708515322242249	0.954242509439325	0.193124598354462
1.79	8	0.173913043478261	-0.75966784468963	0.903089986991944	0.252853030979893
1.83	7	0.152173913043478	-0.817659791667317	0.845098040014257	0.262451089730429
2.06	6	0.130434782608696	-0.88460658129793	0.778151250383644	0.313867220369153
2.43	5	0.108695652173913	-0.963787827345555	0.698970004336019	0.385606273598312
3.54	4	0.0869565217391304	-1.06069784035361	0.602059991327962	0.549003262025788
4.25	2	0.0434782608695652	-1.36172783601759	0.301029995663981	0.628388930050311
