"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.74	11	0.846153846153846	-0.0725506671486117	1.04139268515823	-0.130768280269024
0.79	10	0.769230769230769	-0.113943352306837	1	-0.102372908709559
0.81	9	0.692307692307692	-0.159700842867512	0.954242509439325	-0.0915149811213502
0.82	8	0.615384615384615	-0.210853365314893	0.903089986991944	-0.0861861476162833
0.93	7	0.538461538461538	-0.26884531229258	0.845098040014257	-0.0315170514460649
1.15	6	0.461538461538462	-0.335792101923193	0.778151250383644	0.0606978403536116
1.3	5	0.384615384615385	-0.414973347970818	0.698970004336019	0.113943352306837
1.47	4	0.307692307692308	-0.511883360978874	0.602059991327962	0.167317334748176
1.95	3	0.230769230769231	-0.636822097587174	0.477121254719662	0.290034611362518
1.97	2	0.153846153846154	-0.812913356642856	0.301029995663981	0.294466226161593
2.08	1	0.0769230769230769	-1.11394335230684	0	0.318063334962762
