"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.02	16	0.666666666666667	-0.176091259055681	1.20411998265592	-1.69897000433602
0.13	15	0.625	-0.204119982655925	1.17609125905568	-0.886056647693163
0.39	14	0.583333333333333	-0.234083206033368	1.14612803567824	-0.408935392973501
0.56	13	0.541666666666667	-0.266267889404769	1.11394335230684	-0.2518119729938
0.63	12	0.5	-0.301029995663981	1.07918124604762	-0.200659450546418
0.74	11	0.458333333333333	-0.338818556553381	1.04139268515823	-0.130768280269024
0.79	10	0.416666666666667	-0.380211241711606	1	-0.102372908709559
0.81	9	0.375	-0.425968732272281	0.954242509439325	-0.0915149811213502
0.82	8	0.333333333333333	-0.477121254719662	0.903089986991944	-0.0861861476162833
0.93	7	0.291666666666667	-0.535113201697349	0.845098040014257	-0.0315170514460649
1.15	6	0.25	-0.602059991327962	0.778151250383644	0.0606978403536116
1.46	5	0.208333333333333	-0.681241237375587	0.698970004336019	0.164352855784437
1.68	4	0.166666666666667	-0.778151250383644	0.602059991327962	0.225309281725863
1.76	3	0.125	-0.903089986991944	0.477121254719662	0.24551266781415
2.06	2	0.0833333333333333	-1.07918124604762	0.301029995663981	0.313867220369153
2.08	1	0.0416666666666667	-1.38021124171161	0	0.318063334962762
