"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominini"	"13"	"-0.075"	"-0.383"	"0.855"	"0.686"	"-0.274"	"0.961"	"-0.559"	"-0.551"	"0.651"	"linear"	"0.961"
"Primates other"	"357"	"-0.472"	"-0.212"	"0.979"	"0.259"	"-0.042"	"0.732"	"-0.856"	"-0.711"	"0.677"	"exponential"	"0.979"
"Hominidae not Hominini"	"31"	"-0.23"	"-0.252"	"0.887"	"0.461"	"-0.113"	"0.947"	"-0.592"	"-0.721"	"0.732"	"linear"	"0.947"
"Primates"	"401"	"-0.427"	"-0.225"	"0.977"	"0.28"	"-0.048"	"0.732"	"-0.829"	"-0.73"	"0.668"	"exponential"	"0.977"
"Hominini"	"12"	"0.114"	"-0.5"	"0.802"	"0.869"	"-0.393"	"0.929"	"-0.481"	"-0.545"	"0.46"	"linear"	"0.929"
"Primates other"	"354"	"-0.378"	"-0.26"	"0.981"	"0.29"	"-0.056"	"0.819"	"-0.828"	"-0.685"	"0.594"	"exponential"	"0.981"
"Hominidae not Hominini"	"37"	"-0.454"	"-0.241"	"0.98"	"0.261"	"-0.059"	"0.907"	"-0.782"	"-0.806"	"0.798"	"exponential"	"0.98"
"Primates"	"403"	"-0.356"	"-0.271"	"0.982"	"0.3"	"-0.059"	"0.817"	"-0.815"	"-0.718"	"0.599"	"exponential"	"0.982"
"Primates other"	"369"	"-0.456"	"-0.231"	"0.983"	"0.267"	"-0.047"	"0.733"	"-0.869"	"-0.727"	"0.684"	"exponential"	"0.983"
"Hominini"	"13"	"0.303"	"-0.655"	"0.98"	"0.966"	"-0.467"	"0.932"	"-0.401"	"-1.747"	"0.932"	"exponential"	"0.98"
"Hominidae not Hominini"	"39"	"-0.444"	"-0.2"	"0.948"	"0.304"	"-0.068"	"0.85"	"-0.718"	"-0.63"	"0.829"	"exponential"	"0.948"
"Primates"	"421"	"-0.423"	"-0.242"	"0.985"	"0.281"	"-0.051"	"0.733"	"-0.838"	"-0.757"	"0.678"	"exponential"	"0.985"
"Primates other"	"373"	"-0.354"	"-0.259"	"0.992"	"0.304"	"-0.057"	"0.817"	"-0.803"	"-0.666"	"0.57"	"exponential"	"0.992"
"Hominini"	"13"	"0.318"	"-0.668"	"0.962"	"0.995"	"-0.492"	"0.976"	"-0.41"	"-1.569"	"0.847"	"linear"	"0.976"
"Hominidae not Hominini"	"38"	"-0.486"	"-0.245"	"0.977"	"0.273"	"-0.067"	"0.885"	"-0.866"	"-0.623"	"0.807"	"exponential"	"0.977"
"Primates"	"424"	"-0.339"	"-0.269"	"0.994"	"0.314"	"-0.062"	"0.808"	"-0.793"	"-0.693"	"0.586"	"exponential"	"0.994"
"Primates other"	"360"	"-0.48"	"-0.196"	"0.96"	"0.268"	"-0.041"	"0.663"	"-0.843"	"-0.691"	"0.694"	"exponential"	"0.96"
"Hominini"	"12"	"0.291"	"-0.604"	"0.905"	"1.044"	"-0.495"	"0.97"	"-0.374"	"-1.436"	"0.813"	"linear"	"0.97"
"Hominidae not Hominini"	"35"	"-0.473"	"-0.199"	"0.866"	"0.292"	"-0.068"	"0.759"	"-0.749"	"-0.548"	"0.733"	"exponential"	"0.866"
"Primates"	"407"	"-0.453"	"-0.206"	"0.961"	"0.277"	"-0.044"	"0.654"	"-0.818"	"-0.718"	"0.684"	"exponential"	"0.961"
"Primates other"	"367"	"-0.452"	"-0.236"	"0.951"	"0.253"	"-0.045"	"0.733"	"-0.813"	"-0.871"	"0.701"	"exponential"	"0.951"
