Order	Nsp	InterceptSemilog	SlopeSemilog	R2Semilog	InterceptSemilog2	SlopeSemilog2	R2Semilog2	IntereptPlain	SlopePlain	R2Plain	IntereptPlain2	SlopePlain2	R2Plain2	InterceptLoglog	SlopeLoglog	R2Loglog	BestModel	R2Best
Hominini	13	-0.274	-0.097	0.93	-0.35	-0.011	0.819	0.518	-0.058	0.738	0.466	-0.006	0.557	-0.545	-0.344	0.83	Exponential	0.93
Primates other	357	-0.53	-0.465	0.902	-0.757	-0.076	0.527	0.26	-0.097	0.55	0.208	-0.012	0.183	-1.153	-0.695	0.747	Exponential	0.902
Hominidae not Hominini	31	-0.569	-0.978	0.81	-0.665	-0.882	0.68	0.27	-0.286	0.536	0.239	-0.237	0.381	-1.361	-0.588	0.889	Power	0.889
Primates	401	-0.591	-0.306	0.845	-0.763	-0.035	0.515	0.247	-0.061	0.449	0.209	-0.005	0.16	-1.13	-0.679	0.802	Exponential	0.845
Hominini	12	-0.243	-0.092	0.91	-0.31	-0.01	0.823	0.56	-0.06	0.728	0.509	-0.006	0.578	-0.491	-0.397	0.881	Exponential	0.91
Primates other	354	-0.457	-0.576	0.96	-0.723	-0.135	0.636	0.279	-0.128	0.702	0.213	-0.023	0.279	-1.137	-0.696	0.705	Exponential	0.96
Hominidae not Hominini	37	-0.608	-1.416	0.975	-0.723	-2.259	0.961	0.214	-0.328	0.934	0.184	-0.483	0.783	-1.387	-0.514	0.797	Exponential	0.975
Primates	403	-0.599	-0.31	0.824	-0.789	-0.033	0.469	0.239	-0.06	0.453	0.199	-0.005	0.144	-1.122	-0.687	0.77	Exponential	0.824
Primates other	369	-0.512	-0.492	0.928	-0.743	-0.092	0.584	0.266	-0.105	0.585	0.212	-0.015	0.214	-1.167	-0.723	0.773	Exponential	0.928
Hominini	13	-0.296	-0.089	0.861	-0.354	-0.01	0.794	0.503	-0.053	0.665	0.464	-0.006	0.548	-0.548	-0.334	0.789	Exponential	0.861
Hominidae not Hominini	39	-0.649	-0.998	0.953	-0.784	-0.891	0.796	0.204	-0.219	0.77	0.171	-0.176	0.525	-1.404	-0.601	0.898	Exponential	0.953
Primates	421	-0.605	-0.307	0.838	-0.783	-0.034	0.505	0.239	-0.059	0.438	0.201	-0.005	0.152	-1.148	-0.712	0.817	Exponential	0.838
Primates other	373	-0.475	-0.486	0.934	-0.724	-0.087	0.568	0.282	-0.11	0.614	0.22	-0.015	0.212	-1.117	-0.742	0.766	Exponential	0.934
Hominini	13	-0.273	-0.112	0.832	-0.361	-0.011	0.619	0.537	-0.068	0.586	0.477	-0.006	0.354	-0.561	-0.414	0.893	Power	0.893
Hominidae not Hominini	38	-0.637	-1.486	0.953	-0.756	-2.191	0.852	0.21	-0.338	0.787	0.18	-0.458	0.594	-1.457	-0.548	0.861	Exponential	0.953
Primates	424	-0.551	-0.346	0.872	-0.759	-0.04	0.485	0.259	-0.072	0.495	0.211	-0.006	0.151	-1.111	-0.728	0.804	Exponential	0.872
Primates other	360	-0.495	-0.502	0.93	-0.727	-0.101	0.593	0.274	-0.112	0.641	0.217	-0.017	0.24	-1.149	-0.69	0.752	Exponential	0.93
Hominini	12	-0.273	-0.091	0.946	-0.346	-0.01	0.852	0.515	-0.056	0.788	0.464	-0.006	0.613	-0.538	-0.315	0.813	Exponential	0.946
Hominidae not Hominini	35	-0.502	-1.707	0.968	-0.66	-2.801	0.932	0.258	-0.447	0.9	0.213	-0.681	0.746	-1.475	-0.739	0.858	Exponential	0.968
Primates	407	-0.581	-0.32	0.854	-0.765	-0.036	0.498	0.25	-0.064	0.482	0.209	-0.006	0.159	-1.134	-0.684	0.806	Exponential	0.854
Primates other	367	-0.497	-0.5	0.923	-0.756	-0.085	0.51	0.271	-0.109	0.644	0.209	-0.014	0.202	-1.148	-0.676	0.733	Exponential	0.923
Hominidae not Hominini	40	-0.74	-0.896	0.921	-0.847	-0.805	0.791	0.173	-0.173	0.705	0.15	-0.144	0.517	-1.46	-0.556	0.916	Exponential	0.921
Hominini	11	-0.206	-0.102	0.937	-0.289	-0.011	0.782	0.607	-0.072	0.725	0.541	-0.007	0.509	-0.482	-0.374	0.878	Exponential	0.937
Primates	418	-0.588	-0.324	0.862	-0.788	-0.036	0.491	0.243	-0.063	0.492	0.2	-0.005	0.156	-1.136	-0.672	0.787	Exponential	0.862
Primates other	364	-0.509	-0.495	0.912	-0.768	-0.077	0.472	0.267	-0.107	0.619	0.205	-0.012	0.178	-1.147	-0.662	0.727	Exponential	0.912
Hominini	13	-0.265	-0.101	0.853	-0.334	-0.011	0.747	0.542	-0.062	0.608	0.495	-0.006	0.462	-0.523	-0.426	0.859	Power	0.859
Hominidae not Hominini	34	-0.634	-0.92	0.967	-0.748	-0.867	0.85	0.213	-0.218	0.82	0.183	-0.187	0.597	-1.298	-0.466	0.839	Exponential	0.967
Primates	411	-0.594	-0.315	0.839	-0.784	-0.034	0.483	0.242	-0.061	0.46	0.201	-0.005	0.148	-1.125	-0.662	0.772	Exponential	0.839
Primates other	365	-0.51	-0.495	0.936	-0.753	-0.094	0.589	0.261	-0.105	0.611	0.204	-0.015	0.222	-1.145	-0.706	0.748	Exponential	0.936
Hominidae not Hominini	39	-0.639	-1.025	0.904	-0.742	-0.93	0.736	0.221	-0.245	0.649	0.194	-0.201	0.434	-1.434	-0.581	0.95	Power	0.95
Hominini	13	-0.273	-0.097	0.922	-0.349	-0.011	0.82	0.518	-0.058	0.726	0.466	-0.006	0.558	-0.528	-0.353	0.801	Exponential	0.922
Primates	417	-0.595	-0.321	0.858	-0.786	-0.037	0.501	0.238	-0.062	0.469	0.197	-0.005	0.154	-1.127	-0.684	0.791	Exponential	0.858
Primates other	357	-0.464	-0.541	0.95	-0.696	-0.114	0.595	0.295	-0.128	0.63	0.234	-0.021	0.236	-1.145	-0.683	0.756	Exponential	0.95
Hominidae not Hominini	37	-0.6	-1.615	0.949	-0.727	-2.366	0.81	0.232	-0.399	0.743	0.197	-0.531	0.523	-1.497	-0.599	0.914	Exponential	0.949
Hominini	13	-0.275	-0.092	0.911	-0.344	-0.01	0.821	0.519	-0.056	0.737	0.471	-0.006	0.581	-0.547	-0.284	0.754	Exponential	0.911
Primates	407	-0.574	-0.314	0.835	-0.75	-0.034	0.478	0.259	-0.065	0.444	0.219	-0.005	0.144	-1.131	-0.674	0.809	Exponential	0.835
Primates other	355	-0.488	-0.495	0.943	-0.732	-0.098	0.613	0.272	-0.108	0.641	0.212	-0.017	0.246	-1.128	-0.708	0.741	Exponential	0.943
Hominidae not Hominini	36	-0.6	-1.029	0.927	-0.727	-0.924	0.768	0.232	-0.255	0.701	0.198	-0.207	0.477	-1.362	-0.588	0.882	Exponential	0.927
Primates	404	-0.574	-0.337	0.86	-0.783	-0.037	0.468	0.246	-0.067	0.495	0.201	-0.005	0.147	-1.117	-0.7	0.78	Exponential	0.86
Hominini	12	-0.279	-0.098	0.949	-0.367	-0.01	0.792	0.509	-0.058	0.758	0.45	-0.006	0.533	-0.549	-0.289	0.763	Exponential	0.949
Primates other	374	-0.528	-0.479	0.929	-0.775	-0.078	0.508	0.256	-0.1	0.647	0.199	-0.012	0.199	-1.158	-0.638	0.732	Exponential	0.929
Hominidae not Hominini	39	-0.536	-1.723	0.981	-0.684	-2.625	0.87	0.253	-0.447	0.832	0.209	-0.612	0.597	-1.423	-0.591	0.828	Exponential	0.981
Primates	425	-0.606	-0.32	0.866	-0.798	-0.036	0.491	0.233	-0.061	0.498	0.193	-0.005	0.157	-1.147	-0.643	0.783	Exponential	0.866
Hominini	12	-0.227	-0.103	0.864	-0.3	-0.011	0.743	0.59	-0.069	0.618	0.535	-0.007	0.457	-0.489	-0.395	0.827	Exponential	0.864
Hominidae not Hominini	37	-0.586	-1.044	0.942	-0.703	-0.965	0.779	0.243	-0.271	0.722	0.209	-0.226	0.483	-1.344	-0.543	0.897	Exponential	0.942
Primates other	369	-0.56	-0.463	0.913	-0.797	-0.078	0.551	0.237	-0.089	0.585	0.187	-0.011	0.201	-1.183	-0.721	0.761	Exponential	0.913
Primates	418	-0.623	-0.311	0.851	-0.808	-0.036	0.511	0.225	-0.057	0.462	0.188	-0.005	0.159	-1.154	-0.696	0.8	Exponential	0.851
Primates other	370	-0.417	-0.674	0.993	-0.637	-0.262	0.873	0.296	-0.16	0.76	0.235	-0.051	0.451	-1.154	-0.722	0.722	Exponential	0.993
Hominini	13	-0.273	-0.103	0.933	-0.363	-0.011	0.777	0.517	-0.061	0.72	0.457	-0.006	0.503	-0.535	-0.383	0.848	Exponential	0.933
Hominidae not Hominini	36	-0.584	-1.08	0.961	-0.711	-1.03	0.797	0.241	-0.279	0.742	0.204	-0.239	0.494	-1.33	-0.526	0.882	Exponential	0.961
Primates	419	-0.572	-0.358	0.843	-0.78	-0.038	0.425	0.25	-0.072	0.468	0.204	-0.006	0.125	-1.134	-0.707	0.785	Exponential	0.843
Primates other	367	-0.516	-0.493	0.914	-0.761	-0.082	0.497	0.267	-0.107	0.596	0.209	-0.014	0.189	-1.175	-0.726	0.779	Exponential	0.914
Hominini	13	-0.254	-0.116	0.885	-0.349	-0.012	0.676	0.55	-0.072	0.637	0.484	-0.007	0.398	-0.536	-0.393	0.843	Exponential	0.885
Hominidae not Hominini	37	-0.696	-0.923	0.958	-0.797	-0.888	0.837	0.189	-0.197	0.775	0.165	-0.174	0.572	-1.391	-0.501	0.908	Exponential	0.958
Primates	417	-0.585	-0.338	0.855	-0.78	-0.038	0.472	0.247	-0.068	0.475	0.204	-0.006	0.146	-1.15	-0.696	0.81	Exponential	0.855
Primates other	357	-0.478	-0.546	0.975	-0.729	-0.132	0.679	0.27	-0.12	0.701	0.208	-0.023	0.299	-1.141	-0.664	0.715	Exponential	0.975
Hominidae not Hominini	34	-0.615	-0.987	0.946	-0.728	-0.934	0.807	0.226	-0.245	0.742	0.195	-0.211	0.529	-1.375	-0.585	0.934	Exponential	0.946
Hominini	11	-0.265	-0.082	0.868	-0.315	-0.009	0.818	0.54	-0.054	0.698	0.503	-0.006	0.597	-0.503	-0.374	0.88	Power	0.88
Primates	402	-0.602	-0.313	0.837	-0.795	-0.033	0.471	0.238	-0.061	0.461	0.196	-0.005	0.142	-1.124	-0.648	0.768	Exponential	0.837
Hominidae not Hominini	37	-0.602	-1.532	0.955	-0.739	-2.209	0.854	0.221	-0.358	0.791	0.186	-0.475	0.598	-1.466	-0.615	0.854	Exponential	0.955
Primates other	359	-0.476	-0.502	0.937	-0.714	-0.099	0.597	0.285	-0.116	0.606	0.224	-0.017	0.224	-1.131	-0.728	0.773	Exponential	0.937
Hominini	13	-0.323	-0.092	0.91	-0.395	-0.01	0.814	0.464	-0.05	0.72	0.419	-0.005	0.561	-0.565	-0.378	0.86	Exponential	0.91
Primates	409	-0.573	-0.322	0.853	-0.762	-0.037	0.499	0.253	-0.066	0.457	0.21	-0.006	0.15	-1.121	-0.719	0.82	Exponential	0.853
Primates other	362	-0.482	-0.521	0.932	-0.739	-0.094	0.526	0.278	-0.118	0.65	0.214	-0.016	0.205	-1.137	-0.688	0.739	Exponential	0.932
Hominidae not Hominini	34	-0.618	-0.938	0.97	-0.747	-0.852	0.845	0.217	-0.222	0.817	0.183	-0.184	0.591	-1.337	-0.572	0.885	Exponential	0.97
Hominini	13	-0.27	-0.1	0.935	-0.354	-0.011	0.808	0.52	-0.06	0.736	0.463	-0.006	0.54	-0.535	-0.351	0.813	Exponential	0.935
Primates	409	-0.575	-0.325	0.849	-0.767	-0.036	0.48	0.25	-0.066	0.481	0.207	-0.005	0.149	-1.116	-0.679	0.786	Exponential	0.849
Primates other	364	-0.525	-0.476	0.893	-0.761	-0.074	0.486	0.264	-0.102	0.575	0.209	-0.012	0.172	-1.16	-0.688	0.752	Exponential	0.893
Hominidae not Hominini	36	-0.578	-1.55	0.937	-0.686	-2.451	0.864	0.244	-0.403	0.774	0.212	-0.59	0.613	-1.489	-0.625	0.918	Exponential	0.937
