"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"InterceptSemilog2"	"SlopeSemilog2"	"R2Semilog2"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"IntereptPlain2"	"SlopePlain2"	"R2Plain2"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominini"	"21"	"-0.404"	"-0.11"	"0.887"	"-0.474"	"-0.012"	"0.745"	"0.396"	"-0.049"	"0.632"	"0.36"	"-0.005"	"0.444"	"-0.729"	"-0.335"	"0.859"	"Exponential"	"0.887"
"Primates other"	"357"	"-0.53"	"-0.465"	"0.902"	"-0.757"	"-0.076"	"0.527"	"0.26"	"-0.097"	"0.55"	"0.208"	"-0.012"	"0.183"	"-1.153"	"-0.695"	"0.747"	"Exponential"	"0.902"
"Hominidae not Hominini"	"27"	"-0.54"	"-0.932"	"0.814"	"-0.641"	"-0.838"	"0.701"	"0.285"	"-0.291"	"0.537"	"0.25"	"-0.243"	"0.398"	"-1.313"	"-0.609"	"0.871"	"Power"	"0.871"
"Primates"	"405"	"-0.592"	"-0.307"	"0.845"	"-0.765"	"-0.035"	"0.513"	"0.246"	"-0.061"	"0.448"	"0.208"	"-0.005"	"0.159"	"-1.133"	"-0.689"	"0.807"	"Exponential"	"0.845"
"Hominini"	"23"	"-0.453"	"-0.103"	"0.867"	"-0.51"	"-0.011"	"0.751"	"0.357"	"-0.042"	"0.618"	"0.331"	"-0.004"	"0.461"	"-0.786"	"-0.345"	"0.903"	"Power"	"0.903"
"Primates other"	"354"	"-0.457"	"-0.576"	"0.96"	"-0.723"	"-0.135"	"0.636"	"0.279"	"-0.128"	"0.702"	"0.213"	"-0.023"	"0.279"	"-1.137"	"-0.696"	"0.705"	"Exponential"	"0.96"
"Hominidae not Hominini"	"31"	"-0.539"	"-1.399"	"0.971"	"-0.67"	"-2.168"	"0.976"	"0.242"	"-0.359"	"0.958"	"0.204"	"-0.518"	"0.832"	"-1.349"	"-0.583"	"0.789"	"Exponential2"	"0.976"
"Primates"	"408"	"-0.602"	"-0.311"	"0.824"	"-0.791"	"-0.033"	"0.467"	"0.238"	"-0.06"	"0.452"	"0.198"	"-0.005"	"0.142"	"-1.127"	"-0.678"	"0.769"	"Exponential"	"0.824"
"Primates other"	"369"	"-0.512"	"-0.492"	"0.928"	"-0.743"	"-0.092"	"0.584"	"0.266"	"-0.105"	"0.585"	"0.212"	"-0.015"	"0.214"	"-1.167"	"-0.723"	"0.773"	"Exponential"	"0.928"
"Hominini"	"22"	"-0.518"	"-0.09"	"0.851"	"-0.582"	"-0.01"	"0.794"	"0.299"	"-0.031"	"0.649"	"0.275"	"-0.003"	"0.547"	"-0.714"	"-0.539"	"0.943"	"Power"	"0.943"
"Hominidae not Hominini"	"33"	"-0.576"	"-0.998"	"0.953"	"-0.711"	"-0.891"	"0.796"	"0.241"	"-0.258"	"0.77"	"0.202"	"-0.208"	"0.525"	"-1.332"	"-0.601"	"0.898"	"Exponential"	"0.953"
