"SETON2012"	"MERDITH2021"	"MULLER2016"	"MULLER2019"	"MULLER2022"	"MATTHEWS2016_mantle_ref"	"MATTHEWS2016_pmag_ref"	"PALEOMAP"	"age"
"24.94"	"24.94"	"24.94"	"24.94"	"24.94"	"24.94"	"24.94"	"24.94"	"0"
"24.94"	"24.94"	"24.94"	"24.94"	"24.94"	"24.94"	"24.94"	"24.94"	"0"
"24.6308"	"24.5814"	"24.9589"	"24.5284"	"24.6205"	"24.9589"	"24.5217"	"24.8853"	"1"
"24.3214"	"24.2316"	"24.9769"	"24.1181"	"24.3007"	"24.9769"	"24.1076"	"24.83"	"2"
"24.0118"	"23.8903"	"24.9939"	"23.7093"	"23.9806"	"24.9939"	"23.6976"	"24.769"	"3"
"23.7021"	"23.557"	"25.01"	"23.3018"	"23.6602"	"25.01"	"23.2916"	"24.7073"	"4"
"23.3922"	"23.2316"	"25.0252"	"22.8958"	"23.3395"	"25.0252"	"22.8898"	"24.6451"	"5"
"23.0822"	"22.9138"	"25.0394"	"22.4913"	"23.0294"	"25.0394"	"22.492"	"24.5822"	"6"
"22.772"	"22.6032"	"25.0527"	"22.0882"	"22.7191"	"25.0527"	"22.0982"	"24.4673"	"7"
"22.4618"	"22.2997"	"25.0651"	"21.6866"	"22.4086"	"25.0651"	"21.7085"	"24.2742"	"8"
"22.1514"	"22.003"	"25.0765"	"21.2864"	"22.0978"	"25.0765"	"21.3227"	"24.0798"	"9"
"21.841"	"21.7128"	"25.087"	"20.8877"	"21.7867"	"25.087"	"20.9409"	"23.9148"	"10"
"21.5893"	"21.4789"	"25.0903"	"20.6582"	"21.55"	"25.0903"	"20.7247"	"23.8003"	"11"
"21.3182"	"21.2273"	"25.0723"	"20.4093"	"21.2925"	"25.0723"	"20.4918"	"23.6852"	"12"
"21.0473"	"20.9755"	"25.0534"	"20.1605"	"21.0345"	"25.0534"	"20.2602"	"23.5697"	"13"
"20.7768"	"20.7235"	"25.0337"	"19.9116"	"20.7761"	"25.0337"	"20.03"	"23.4537"	"14"
"20.5067"	"20.4713"	"25.0131"	"19.6628"	"20.5172"	"25.0131"	"19.8011"	"23.3371"	"15"
"20.2369"	"20.219"	"24.9918"	"19.4122"	"20.2718"	"24.9918"	"19.5737"	"23.2197"	"16"
"19.9675"	"19.9665"	"24.9696"	"19.1617"	"20.0259"	"24.9696"	"19.3476"	"23.1018"	"17"
"19.6984"	"19.7139"	"24.9467"	"18.9112"	"19.7795"	"24.9467"	"19.123"	"22.9834"	"18"
"19.4297"	"19.4612"	"24.9229"	"18.6607"	"19.5326"	"24.9229"	"18.8997"	"22.8645"	"19"
"19.1614"	"19.2084"	"24.8983"	"18.4103"	"19.2853"	"24.8983"	"18.6777"	"22.7452"	"20"
"18.9843"	"19.2303"	"24.8894"	"18.1873"	"19.1469"	"24.8894"	"18.5581"	"22.5403"	"21"
"18.8068"	"19.2505"	"24.8806"	"17.9644"	"19.0083"	"24.8806"	"18.437"	"22.3322"	"22"
"18.6283"	"19.2692"	"24.8704"	"17.7412"	"18.8688"	"24.8704"	"18.3145"	"22.1231"	"23"
"18.449"	"19.2864"	"24.859"	"17.5175"	"18.7285"	"24.859"	"18.1908"	"21.9129"	"24"
"18.2688"	"19.3021"	"24.8462"	"17.2934"	"18.5872"	"24.8462"	"18.0658"	"21.7018"	"25"
"18.0877"	"19.3163"	"24.8321"	"17.0678"	"18.5056"	"24.8321"	"17.9395"	"21.4876"	"26"
