"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.45	12	0.218181818181818	-0.661181443446619	1.07918124604762	-0.346787486224656
0.58	11	0.2	-0.698970004336019	1.04139268515823	-0.236572006437063
0.74	10	0.181818181818182	-0.740362689494244	1	-0.130768280269024
1.12	9	0.163636363636364	-0.786120180054919	0.954242509439325	0.0492180226701817
1.56	8	0.145454545454545	-0.8372727025023	0.903089986991944	0.193124598354462
1.57	7	0.127272727272727	-0.895264649479987	0.845098040014257	0.195899652409234
1.83	6	0.109090909090909	-0.9622114391106	0.778151250383644	0.262451089730429
2.14	5	0.0909090909090909	-1.04139268515822	0.698970004336019	0.330413773349191
2.35	4	0.0727272727272727	-1.13830269816628	0.602059991327962	0.371067862271736
3.5	3	0.0545454545454545	-1.26324143477458	0.477121254719662	0.544068044350276
4.68	2	0.0363636363636364	-1.43933269383026	0.301029995663981	0.670245853074124
5.69	1	0.0181818181818182	-1.74036268949424	0	0.755112266395071
