"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Artiodactyla"	"1831"	"-0.193"	"-0.203"	"0.992"	"0.407"	"-0.056"	"0.771"	"-0.566"	"-0.88"	"0.643"	"exponential"	"0.992"
"Perissodactyla"	"755"	"-0.128"	"-0.166"	"0.995"	"0.483"	"-0.056"	"0.768"	"-0.412"	"-0.84"	"0.635"	"exponential"	"0.995"
"Rodentia"	"2793"	"-0.328"	"-0.154"	"0.988"	"0.336"	"-0.035"	"0.65"	"-0.596"	"-0.899"	"0.701"	"exponential"	"0.988"
"Lagomorpha"	"239"	"-0.273"	"-0.145"	"0.995"	"0.406"	"-0.047"	"0.769"	"-0.579"	"-0.596"	"0.623"	"exponential"	"0.995"
"Proboscidea"	"181"	"-0.218"	"-0.126"	"0.986"	"0.431"	"-0.043"	"0.819"	"-0.492"	"-0.577"	"0.55"	"exponential"	"0.986"
"Primates"	"522"	"-0.369"	"-0.23"	"0.967"	"0.314"	"-0.052"	"0.689"	"-0.771"	"-0.727"	"0.625"	"exponential"	"0.967"
"Carnivora"	"1261"	"-0.234"	"-0.189"	"0.99"	"0.38"	"-0.05"	"0.745"	"-0.568"	"-0.866"	"0.647"	"exponential"	"0.99"
"Pilosa"	"55"	"-0.586"	"-0.197"	"0.984"	"0.199"	"-0.037"	"0.868"	"-0.82"	"-0.888"	"0.874"	"exponential"	"0.984"
"Cingulata"	"97"	"-0.463"	"-0.373"	"0.923"	"0.259"	"-0.082"	"0.944"	"-0.998"	"-0.434"	"0.478"	"linear"	"0.944"
"Eulipotyphla"	"674"	"-0.193"	"-0.156"	"0.995"	"0.436"	"-0.048"	"0.782"	"-0.508"	"-0.725"	"0.603"	"exponential"	"0.995"
"Didelphimorphia"	"56"	"-0.266"	"-0.102"	"0.954"	"0.436"	"-0.04"	"0.812"	"-0.32"	"-0.84"	"0.842"	"exponential"	"0.954"
"Chiroptera"	"236"	"-0.333"	"-0.12"	"0.989"	"0.349"	"-0.034"	"0.795"	"-0.539"	"-0.713"	"0.708"	"exponential"	"0.989"
"Creodonta"	"131"	"-0.186"	"-0.222"	"0.973"	"0.432"	"-0.073"	"0.816"	"-0.477"	"-1.01"	"0.765"	"exponential"	"0.973"
"Hyracoidea"	"42"	"-0.223"	"-0.233"	"0.922"	"0.378"	"-0.074"	"0.939"	"-0.391"	"-1.25"	"0.844"	"linear"	"0.939"
"Mesonychia"	"49"	"-0.417"	"-0.25"	"0.886"	"0.308"	"-0.07"	"0.639"	"-0.767"	"-0.765"	"0.73"	"exponential"	"0.886"
"Condylarthra"	"226"	"-0.227"	"-0.185"	"0.988"	"0.407"	"-0.057"	"0.785"	"-0.495"	"-0.95"	"0.757"	"exponential"	"0.988"
"Cimolesta"	"124"	"-0.3"	"-0.175"	"0.989"	"0.368"	"-0.053"	"0.803"	"-0.543"	"-0.882"	"0.797"	"exponential"	"0.989"
"Multituberculata"	"104"	"-0.114"	"-0.233"	"0.935"	"0.503"	"-0.091"	"0.913"	"-0.43"	"-0.994"	"0.734"	"exponential"	"0.935"
"Leptictida"	"30"	"0.069"	"-0.318"	"0.907"	"0.542"	"-0.122"	"0.912"	"-0.262"	"-1.294"	"0.665"	"linear"	"0.912"
