"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Artiodactyla"	"647"	"-0.011"	"-0.103"	"0.98"	"0.615"	"-0.046"	"0.851"	"-0.095"	"-0.853"	"0.637"	"exponential"	"0.98"
"Perissodactyla"	"201"	"0.075"	"-0.078"	"0.967"	"0.704"	"-0.04"	"0.908"	"0.226"	"-1"	"0.68"	"exponential"	"0.967"
"Rodentia"	"856"	"-0.089"	"-0.075"	"0.99"	"0.55"	"-0.031"	"0.799"	"-0.093"	"-0.803"	"0.654"	"exponential"	"0.99"
"Lagomorpha"	"66"	"-0.11"	"-0.062"	"0.973"	"0.608"	"-0.033"	"0.874"	"-0.195"	"-0.584"	"0.678"	"exponential"	"0.973"
"Proboscidea"	"49"	"0.054"	"-0.076"	"0.956"	"0.677"	"-0.04"	"0.934"	"0.375"	"-1.136"	"0.756"	"exponential"	"0.956"
"Primates"	"263"	"-0.229"	"-0.116"	"0.988"	"0.436"	"-0.04"	"0.759"	"-0.393"	"-0.746"	"0.689"	"exponential"	"0.988"
"Carnivora"	"458"	"-0.093"	"-0.087"	"0.986"	"0.544"	"-0.036"	"0.844"	"-0.231"	"-0.694"	"0.604"	"exponential"	"0.986"
"Pilosa"	"56"	"-0.194"	"-0.144"	"0.899"	"0.375"	"-0.043"	"0.974"	"-0.179"	"-1.142"	"0.725"	"linear"	"0.974"
"Cingulata"	"77"	"-0.109"	"-0.219"	"0.955"	"0.48"	"-0.08"	"0.914"	"-0.455"	"-0.919"	"0.678"	"exponential"	"0.955"
"Sparassodonta"	"40"	"-0.178"	"-0.104"	"0.969"	"0.377"	"-0.03"	"0.831"	"0.28"	"-1.503"	"0.9"	"exponential"	"0.969"
"Notoungulata"	"84"	"-0.331"	"-0.206"	"0.871"	"0.273"	"-0.043"	"0.925"	"-0.653"	"-0.827"	"0.547"	"linear"	"0.925"
"Eulipotyphla"	"228"	"-0.001"	"-0.062"	"0.966"	"0.671"	"-0.032"	"0.899"	"0.058"	"-0.781"	"0.65"	"exponential"	"0.966"
"Didelphimorphia"	"19"	"-0.268"	"-0.028"	"0.883"	"0.509"	"-0.015"	"0.638"	"-0.036"	"-0.693"	"0.951"	"power"	"0.951"
"Chiroptera"	"96"	"-0.338"	"-0.038"	"0.978"	"0.363"	"-0.012"	"0.862"	"-0.236"	"-0.648"	"0.728"	"exponential"	"0.978"
"Creodonta"	"53"	"-0.22"	"-0.073"	"0.922"	"0.499"	"-0.032"	"0.644"	"-0.123"	"-0.883"	"0.843"	"exponential"	"0.922"
"Hyracoidea"	"25"	"0.036"	"-0.114"	"0.917"	"0.693"	"-0.065"	"0.874"	"-0.316"	"-0.418"	"0.391"	"exponential"	"0.917"
"Condylarthra"	"80"	"-0.148"	"-0.118"	"0.987"	"0.485"	"-0.047"	"0.846"	"-0.155"	"-0.982"	"0.799"	"exponential"	"0.987"
"Cimolesta"	"55"	"-0.139"	"-0.084"	"0.984"	"0.549"	"-0.04"	"0.832"	"-0.176"	"-0.752"	"0.747"	"exponential"	"0.984"
"Mesonychia"	"18"	"-0.194"	"-0.092"	"0.94"	"0.56"	"-0.053"	"0.831"	"-0.285"	"-0.693"	"0.879"	"exponential"	"0.94"
"Multituberculata"	"27"	"-0.126"	"-0.053"	"0.825"	"0.627"	"-0.03"	"0.597"	"0.057"	"-0.791"	"0.738"	"exponential"	"0.825"
