"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"InterceptSemilog2"	"SlopeSemilog2"	"R2Semilog2"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"IntereptPlain2"	"SlopePlain2"	"R2Plain2"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Artiodactyla"	"1831"	"-0.263"	"-0.3"	"0.994"	"-0.489"	"-0.045"	"0.803"	"0.436"	"-0.103"	"0.716"	"0.344"	"-0.012"	"0.339"	"-0.763"	"-0.508"	"0.601"	"Exponential"	"0.994"
"Perissodactyla"	"755"	"-0.191"	"-0.298"	"0.997"	"-0.42"	"-0.047"	"0.828"	"0.504"	"-0.121"	"0.771"	"0.395"	"-0.015"	"0.385"	"-0.691"	"-0.491"	"0.584"	"Exponential"	"0.997"
"Rodentia"	"2793"	"-0.313"	"-0.407"	"0.979"	"-0.574"	"-0.064"	"0.68"	"0.388"	"-0.122"	"0.657"	"0.299"	"-0.014"	"0.242"	"-0.878"	"-0.567"	"0.616"	"Exponential"	"0.979"
"Lagomorpha"	"239"	"-0.232"	"-0.357"	"0.987"	"-0.455"	"-0.072"	"0.827"	"0.462"	"-0.136"	"0.786"	"0.362"	"-0.022"	"0.416"	"-0.764"	"-0.458"	"0.577"	"Exponential"	"0.987"
"Proboscidea"	"181"	"-0.236"	"-0.192"	"0.988"	"-0.42"	"-0.025"	"0.916"	"0.463"	"-0.076"	"0.845"	"0.375"	"-0.008"	"0.535"	"-0.65"	"-0.444"	"0.591"	"Exponential"	"0.988"
"Primates"	"522"	"-0.496"	"-0.359"	"0.841"	"-0.677"	"-0.04"	"0.445"	"0.307"	"-0.089"	"0.45"	"0.258"	"-0.007"	"0.123"	"-1.025"	"-0.491"	"0.671"	"Exponential"	"0.841"
"Carnivora"	"1261"	"-0.332"	"-0.203"	"0.986"	"-0.54"	"-0.02"	"0.756"	"0.391"	"-0.063"	"0.661"	"0.315"	"-0.005"	"0.296"	"-0.743"	"-0.484"	"0.612"	"Exponential"	"0.986"
"Pilosa"	"55"	"-0.62"	"-0.342"	"0.95"	"-0.784"	"-0.109"	"0.905"	"0.196"	"-0.067"	"0.91"	"0.158"	"-0.019"	"0.667"	"-1.097"	"-0.247"	"0.482"	"Exponential"	"0.95"
"Cingulata"	"97"	"-0.472"	"-0.664"	"0.931"	"-0.639"	"-0.381"	"0.947"	"0.261"	"-0.157"	"0.923"	"0.211"	"-0.08"	"0.735"	"-1.179"	"-0.527"	"0.635"	"Exponential2"	"0.947"
"Eulipotyphla"	"674"	"-0.291"	"-0.44"	"0.961"	"-0.545"	"-0.075"	"0.633"	"0.419"	"-0.148"	"0.66"	"0.323"	"-0.018"	"0.231"	"-0.864"	"-0.524"	"0.614"	"Exponential"	"0.961"
"Didelphimorphia"	"56"	"-0.149"	"-0.654"	"0.955"	"-0.368"	"-0.325"	"0.967"	"0.495"	"-0.276"	"0.938"	"0.387"	"-0.121"	"0.739"	"-0.817"	"-0.531"	"0.533"	"Exponential2"	"0.967"
"Chiroptera"	"236"	"-0.443"	"-0.395"	"0.923"	"-0.674"	"-0.062"	"0.582"	"0.31"	"-0.103"	"0.604"	"0.243"	"-0.012"	"0.215"	"-0.956"	"-0.422"	"0.572"	"Exponential"	"0.923"
"Creodonta"	"131"	"-0.315"	"-0.731"	"0.955"	"-0.503"	"-0.332"	"0.818"	"0.405"	"-0.25"	"0.698"	"0.331"	"-0.097"	"0.437"	"-1.062"	"-0.693"	"0.753"	"Exponential"	"0.955"
"Hyracoidea"	"42"	"-0.471"	"-0.352"	"0.789"	"-0.518"	"-0.181"	"0.87"	"0.307"	"-0.119"	"0.914"	"0.285"	"-0.058"	"0.895"	"-0.951"	"-0.364"	"0.623"	"Linear"	"0.914"
"Mesonychia"	"49"	"-0.327"	"-0.913"	"0.972"	"-0.481"	"-0.723"	"0.929"	"0.389"	"-0.339"	"0.899"	"0.321"	"-0.234"	"0.652"	"-1.049"	"-0.518"	"0.709"	"Exponential"	"0.972"
"Condylarthra"	"226"	"-0.13"	"-0.765"	"0.95"	"-0.368"	"-0.397"	"0.971"	"0.491"	"-0.295"	"0.915"	"0.382"	"-0.131"	"0.691"	"-0.883"	"-0.599"	"0.536"	"Exponential2"	"0.971"
"Cimolesta"	"124"	"-0.156"	"-0.826"	"0.969"	"-0.411"	"-0.45"	"0.963"	"0.458"	"-0.3"	"0.9"	"0.352"	"-0.142"	"0.678"	"-0.945"	"-0.745"	"0.613"	"Exponential"	"0.969"
"Multituberculata"	"104"	"-0.016"	"-0.67"	"0.811"	"-0.196"	"-0.382"	"0.955"	"0.608"	"-0.325"	"0.971"	"0.495"	"-0.163"	"0.887"	"-0.742"	"-0.456"	"0.391"	"Linear"	"0.971"
"Leptictida"	"30"	"-0.255"	"-0.734"	"0.892"	"-0.402"	"-0.543"	"0.928"	"0.438"	"-0.31"	"0.957"	"0.366"	"-0.211"	"0.839"	"-0.883"	"-0.469"	"0.565"	"Linear"	"0.957"
