"SETON2012"	"MERDITH2021"	"MULLER2016"	"MULLER2019"	"MULLER2022"	"MATTHEWS2016_mantle_ref"	"MATTHEWS2016_pmag_ref"	"PALEOMAP"	"age"
"52.52"	"52.52"	"52.52"	"52.52"	"52.52"	"52.52"	"52.52"	"52.52"	"0"
"52.52"	"52.52"	"52.52"	"52.52"	"52.52"	"52.52"	"52.52"	"52.52"	"0"
"52.4646"	"52.067"	"52.4639"	"52.4012"	"52.5093"	"52.4639"	"52.2826"	"52.5392"	"1"
"52.4086"	"51.6134"	"52.4074"	"52.2818"	"52.4983"	"52.4074"	"52.044"	"52.5581"	"2"
"52.3519"	"51.159"	"52.3507"	"52.1619"	"52.487"	"52.3507"	"51.8042"	"52.5783"	"3"
"52.2947"	"50.704"	"52.2936"	"52.0415"	"52.4754"	"52.2936"	"51.5632"	"52.5983"	"4"
"52.2368"	"50.2483"	"52.2362"	"51.9205"	"52.4634"	"52.2362"	"51.321"	"52.618"	"5"
"52.1783"	"49.792"	"52.1785"	"51.7958"	"52.4393"	"52.1785"	"51.0776"	"52.6373"	"6"
"52.1192"	"49.3349"	"52.1206"	"51.6705"	"52.4148"	"52.1206"	"50.833"	"52.6717"	"7"
"52.0594"	"48.8772"	"52.0623"	"51.5447"	"52.39"	"52.0623"	"50.5872"	"52.7286"	"8"
"51.9991"	"48.4188"	"52.0037"	"51.4184"	"52.3648"	"52.0037"	"50.3402"	"52.7849"	"9"
"51.9381"	"47.9598"	"51.9447"	"51.2916"	"52.3392"	"51.9447"	"50.092"	"52.8293"	"10"
"51.8568"	"47.8967"	"51.8903"	"51.2463"	"52.3507"	"51.8903"	"49.9176"	"52.816"	"11"
"51.766"	"47.8236"	"51.8272"	"51.1918"	"52.3531"	"51.8272"	"49.7331"	"52.8023"	"12"
"51.6748"	"47.7496"	"51.7637"	"51.1371"	"52.3553"	"51.7637"	"49.5479"	"52.7884"	"13"
"51.5831"	"47.6746"	"51.6999"	"51.0822"	"52.3571"	"51.6999"	"49.362"	"52.7741"	"14"
"51.4908"	"47.5987"	"51.6358"	"51.0271"	"52.3586"	"51.6358"	"49.1753"	"52.7594"	"15"
"51.3981"	"47.5218"	"51.5713"	"50.9699"	"52.367"	"51.5713"	"48.9878"	"52.745"	"16"
"51.3049"	"47.4439"	"51.5066"	"50.9125"	"52.3752"	"51.5066"	"48.7996"	"52.7303"	"17"
"51.2112"	"47.3651"	"51.4415"	"50.8549"	"52.383"	"51.4415"	"48.6106"	"52.7152"	"18"
"51.117"	"47.2853"	"51.3762"	"50.797"	"52.3906"	"51.3762"	"48.4208"	"52.6998"	"19"
"51.0223"	"47.2045"	"51.3105"	"50.7389"	"52.3978"	"51.3105"	"48.2303"	"52.684"	"20"
"50.9597"	"47.1011"	"51.2718"	"50.6553"	"52.3424"	"51.2718"	"48.178"	"52.6283"	"21"
"50.9004"	"47.0007"	"51.2362"	"50.5751"	"52.2902"	"51.2362"	"48.1288"	"52.5799"	"22"
"50.8404"	"46.8995"	"51.2"	"50.4946"	"52.2377"	"51.2"	"48.0788"	"52.5311"	"23"
"50.7799"	"46.7975"	"51.1633"	"50.4138"	"52.1847"	"51.1633"	"48.0279"	"52.4816"	"24"
"50.7189"	"46.6947"	"51.126"	"50.3327"	"52.1313"	"51.126"	"47.9763"	"52.4316"	"25"
"50.6572"	"46.5911"	"51.0881"	"50.2491"	"52.0963"	"51.0881"	"47.9238"	"52.3811"	"26"
"50.595"	"46.4867"	"51.0497"	"50.1652"	"52.0607"	"51.0497"	"47.8704"	"52.33"	"27"
"50.5322"	"46.3814"	"51.0106"	"50.081"	"52.0247"	"51.0106"	"47.8163"	"52.2783"	"28"
"50.4689"	"46.2754"	"50.971"	"49.9964"	"51.988"	"50.971"	"47.7613"	"52.2303"	"29"
"50.4049"	"46.1685"	"50.9309"	"49.9115"	"51.9509"	"50.9309"	"47.7054"	"52.1913"	"30"
"50.4042"	"45.7877"	"50.8958"	"49.8096"	"51.9108"	"50.8958"	"47.5379"	"52.0435"	"31"
"50.4029"	"45.4045"	"50.8602"	"49.7071"	"51.8699"	"50.8602"	"47.3696"	"51.895"	"32"
"50.4011"	"45.019"	"50.824"	"49.604"	"51.8284"	"50.824"	"47.2005"	"51.746"	"33"
"50.4394"	"44.6718"	"50.8302"	"49.5415"	"51.8277"	"50.8302"	"47.0694"	"51.5971"	"34"
"50.4811"	"44.3266"	"50.8402"	"49.4824"	"51.8303"	"50.8402"	"46.9412"	"51.4484"	"35"
"50.5217"	"43.9789"	"50.8489"	"49.422"	"51.8424"	"50.8489"	"46.8114"	"51.2987"	"36"
"50.5612"	"43.6286"	"50.8566"	"49.3603"	"51.8533"	"50.8566"	"46.6801"	"51.1484"	"37"
