"SETON2012"	"MERDITH2021"	"MULLER2016"	"MULLER2019"	"MULLER2022"	"MATTHEWS2016_mantle_ref"	"MATTHEWS2016_pmag_ref"	"PALEOMAP"	"age"
"60.17"	"60.17"	"60.17"	"60.17"	"60.17"	"60.17"	"60.17"	"60.17"	"0"
"60.17"	"60.17"	"60.17"	"60.17"	"60.17"	"60.17"	"60.17"	"60.17"	"0"
"60.1382"	"59.7545"	"60.1021"	"60.0731"	"60.1716"	"60.1021"	"59.9813"	"60.1937"	"1"
"60.1056"	"59.3375"	"60.0339"	"59.9754"	"60.1729"	"60.0339"	"59.7905"	"60.2173"	"2"
"60.0723"	"58.9188"	"59.9655"	"59.8769"	"60.1738"	"59.9655"	"59.5977"	"60.2423"	"3"
"60.0382"	"58.4987"	"59.8969"	"59.7775"	"60.1744"	"59.8969"	"59.4029"	"60.2671"	"4"
"60.0034"	"58.077"	"59.828"	"59.6774"	"60.1747"	"59.828"	"59.206"	"60.2917"	"5"
"59.9679"	"57.6539"	"59.7588"	"59.5735"	"60.1648"	"59.7588"	"59.0071"	"60.316"	"6"
"59.9316"	"57.2293"	"59.6894"	"59.4689"	"60.1545"	"59.6894"	"58.8062"	"60.3575"	"7"
"59.8945"	"56.8033"	"59.6197"	"59.3634"	"60.1438"	"59.6197"	"58.6034"	"60.4245"	"8"
"59.8567"	"56.376"	"59.5498"	"59.2572"	"60.1327"	"59.5498"	"58.3985"	"60.4911"	"9"
"59.8182"	"55.9473"	"59.4797"	"59.1502"	"60.1212"	"59.4797"	"58.1918"	"60.5453"	"10"
"59.7514"	"55.9131"	"59.4154"	"59.1098"	"60.1402"	"59.4154"	"58.0417"	"60.5386"	"11"
"59.6759"	"55.8693"	"59.3433"	"59.061"	"60.151"	"59.3433"	"57.882"	"60.5316"	"12"
"59.5998"	"55.8244"	"59.2709"	"59.012"	"60.1615"	"59.2709"	"57.7212"	"60.5243"	"13"
"59.5231"	"55.7782"	"59.1982"	"58.9627"	"60.1716"	"59.1982"	"57.5594"	"60.5167"	"14"
"59.4458"	"55.7309"	"59.1253"	"58.9131"	"60.1815"	"59.1253"	"57.3965"	"60.5089"	"15"
"59.3679"	"55.6824"	"59.0521"	"58.8617"	"60.1969"	"59.0521"	"57.2326"	"60.5013"	"16"
"59.2894"	"55.6327"	"58.9786"	"58.8101"	"60.212"	"58.9786"	"57.0677"	"60.4934"	"17"
"59.2103"	"55.5818"	"58.9049"	"58.7582"	"60.2269"	"58.9049"	"56.9017"	"60.4852"	"18"
"59.1306"	"55.5297"	"58.831"	"58.706"	"60.2415"	"58.831"	"56.7347"	"60.4767"	"19"
"59.0503"	"55.4764"	"58.7567"	"58.6536"	"60.2559"	"58.7567"	"56.5667"	"60.4679"	"20"
"59.0035"	"55.3807"	"58.7186"	"58.58"	"60.2082"	"58.7186"	"56.5367"	"60.4254"	"21"
"58.9609"	"55.2892"	"58.6848"	"58.5109"	"60.165"	"58.6848"	"56.5107"	"60.3915"	"22"
"58.9178"	"55.197"	"58.6506"	"58.4415"	"60.1214"	"58.6506"	"56.4837"	"60.357"	"23"
"58.8741"	"55.104"	"58.6159"	"58.3718"	"60.0774"	"58.6159"	"56.4559"	"60.3221"	"24"
"58.8298"	"55.0103"	"58.5807"	"58.3017"	"60.033"	"58.5807"	"56.4272"	"60.2865"	"25"
"58.7849"	"54.9159"	"58.5451"	"58.2293"	"60.0062"	"58.5451"	"56.3975"	"60.2507"	"26"
"58.7394"	"54.8208"	"58.509"	"58.1566"	"59.979"	"58.509"	"56.367"	"60.2144"	"27"
"58.6933"	"54.725"	"58.4725"	"58.0836"	"59.9513"	"58.4725"	"56.3355"	"60.1774"	"28"
"58.6466"	"54.6284"	"58.4355"	"58.0102"	"59.9232"	"58.4355"	"56.303"	"60.1446"	"29"
"58.5993"	"54.5311"	"58.3981"	"57.9365"	"59.8945"	"58.3981"	"56.2696"	"60.122"	"30"
"58.5975"	"54.1267"	"58.367"	"57.8419"	"59.8551"	"58.367"	"56.1143"	"59.9834"	"31"
"58.5951"	"53.7205"	"58.3355"	"57.7469"	"59.8151"	"58.3355"	"55.9581"	"59.8441"	"32"
"58.5924"	"53.3125"	"58.3036"	"57.6513"	"59.7745"	"58.3036"	"55.8012"	"59.7042"	"33"
"58.6414"	"52.9542"	"58.3269"	"57.6082"	"59.7871"	"58.3269"	"55.6927"	"59.5615"	"34"
"58.6953"	"52.5995"	"58.3554"	"57.5699"	"59.8046"	"58.3554"	"55.5881"	"59.4159"	"35"
"58.7482"	"52.2429"	"58.3829"	"57.5301"	"59.8253"	"58.3829"	"55.4818"	"59.2699"	"36"
"58.8001"	"51.8844"	"58.4094"	"57.4892"	"59.8448"	"58.4094"	"55.3739"	"59.1233"	"37"
"58.8509"	"51.5239"	"58.4349"	"57.447"	"59.8633"	"58.4349"	"55.2644"	"58.9763"	"38"
"58.9007"	"51.1615"	"58.4593"	"57.4036"	"59.8807"	"58.4593"	"55.1531"	"58.8287"	"39"
"58.9495"	"50.7973"	"58.4827"	"57.359"	"59.8971"	"58.4827"	"55.0402"	"58.6807"	"40"
"58.8348"	"50.8073"	"58.562"	"57.3058"	"59.8878"	"58.562"	"54.6741"	"58.4467"	"41"
"58.7161"	"50.8131"	"58.6371"	"57.249"	"59.8747"	"58.6371"	"54.3029"	"58.2118"	"42"
"58.5961"	"50.8176"	"58.7115"	"57.1914"	"59.8607"	"58.7115"	"53.929"	"57.976"	"43"
"58.4748"	"50.8206"	"58.7851"	"57.1333"	"59.8459"	"58.7851"	"53.5523"	"57.7422"	"44"
"58.3522"	"50.8223"	"58.8579"	"57.0744"	"59.8302"	"58.8579"	"53.1729"	"57.5196"	"45"
"58.2283"	"50.8225"	"58.9298"	"57.0144"	"59.7748"	"58.9298"	"52.791"	"57.2934"	"46"
"58.103"	"50.8214"	"59.0009"	"56.9537"	"59.7187"	"59.0009"	"52.4065"	"57.0662"	"47"
"57.9626"	"50.8155"	"59.0679"	"56.889"	"59.6585"	"59.0679"	"52.0162"	"56.8346"	"48"
"57.6957"	"50.7781"	"59.1039"	"56.7934"	"59.5674"	"59.1039"	"51.5935"	"56.571"	"49"
"57.4279"	"50.7387"	"59.1386"	"56.6966"	"59.4751"	"59.1386"	"51.1678"	"56.3191"	"50"
