"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.02	625	0.49563838223632	-0.304835069229006	2.79588001734408	-1.69897000433602
0.03	624	0.494845360824742	-0.305530496890658	2.79518458968242	-1.52287874528034
0.05	623	0.494052339413164	-0.306227039913912	2.79448804665917	-1.30102999566398
0.06	622	0.493259318001586	-0.306924701882263	2.79379038469082	-1.22184874961636
0.07	621	0.492466296590008	-0.307623486396501	2.79309160017658	-1.15490195998574
0.09	619	0.490880253766852	-0.309024437552964	2.79169064902012	-1.04575749056068
0.1	618	0.490087232355274	-0.309726611484266	2.79098847508882	-1
0.11	617	0.489294210943695	-0.31042992253984	2.79028516403324	-0.958607314841775
0.13	616	0.488501189532117	-0.311134374408656	2.78958071216443	-0.886056647693163
0.15	615	0.487708168120539	-0.311839970797665	2.78887511577542	-0.823908740944319
0.19	614	0.486915146708961	-0.312546715431914	2.78816837114117	-0.721246399047171
0.22	611	0.484536082474227	-0.314673876330527	2.78604121024255	-0.657577319177794
0.23	610	0.483743061062649	-0.315385251562315	2.78532983501077	-0.638272163982407
0.26	607	0.481363996827914	-0.317526395497824	2.78318869107526	-0.585026652029182
0.29	606	0.480570975416336	-0.318242462406795	2.78247262416629	-0.537602002101044
0.31	603	0.478191911181602	-0.32039777443293	2.78031731214015	-0.508638306165727
0.32	600	0.475812846946868	-0.322563836189438	2.77815125038364	-0.494850021680094
0.33	599	0.475019825535289	-0.32328826418377	2.77742682238931	-0.481486060122112
0.35	594	0.471054718477399	-0.326928641591888	2.77378644498119	-0.455931955649724
0.37	592	0.469468675654243	-0.328393379850162	2.77232170672292	-0.431798275933005
0.38	591	0.468675654242665	-0.329127605691826	2.77158748088126	-0.42021640338319
0.4	590	0.467882632831086	-0.329863074930937	2.77085201164214	-0.397940008672038
0.41	589	0.467089611419508	-0.33059979178598	2.7701152947871	-0.387216143280265
0.43	587	0.465503568596352	-0.332076985325467	2.76863810124761	-0.366531544420413
0.44	586	0.464710547184774	-0.332817470554991	2.76789761601809	-0.356547323513813
0.45	582	0.461538461538462	-0.335792101923193	2.76492298464989	-0.346787486224656
0.47	581	0.460745440126883	-0.336538954182751	2.76417613239033	-0.327902142064283
0.48	577	0.457573354480571	-0.33953927341735	2.76117581315573	-0.318758762624413
0.49	575	0.455987311657415	-0.341047241883451	2.75966784468963	-0.309803919971486
0.5	574	0.455194290245837	-0.341803194175108	2.75891189239797	-0.301029995663981
0.51	571	0.452815226011102	-0.344078978327234	2.75663610824585	-0.292429823902064
0.53	570	0.452022204599524	-0.34484023090059	2.75587485567249	-0.275724130399211
0.57	564	0.447264076130056	-0.349435982589739	2.75127910398334	-0.244125144327509
0.58	560	0.444091990483743	-0.352527059566881	2.7481880270062	-0.236572006437063
0.59	559	0.443298969072165	-0.353303278686658	2.74741180788642	-0.229147988357856
0.62	558	0.442505947660587	-0.354080887635503	2.74663419893758	-0.207608310501746
0.65	545	0.432196669310071	-0.364318584296439	2.73639650227664	-0.187086643357144
0.66	543	0.430610626486915	-0.365915256984235	2.73479982958885	-0.180456064458131
0.72	542	0.429817605075337	-0.366715800034695	2.73399928653839	-0.142667503568732
0.73	541	0.429024583663759	-0.367517821466512	2.73319726510657	-0.136677139879544
0.74	539	0.427438540840603	-0.369126321386343	2.73158876518674	-0.130768280269024
0.77	538	0.426645519429025	-0.369932810906692	2.73078227566639	-0.113509274827518
0.78	536	0.425059476605868	-0.371550296880312	2.72916478969277	-0.10790539730952
0.79	535	0.42426645519429	-0.372361304551853	2.72835378202123	-0.102372908709559
0.8	532	0.421887390959556	-0.374803454278033	2.72591163229505	-0.0969100130080564
0.82	527	0.417922283901665	-0.378904471360535	2.72181061521255	-0.0861861476162833
0.85	524	0.415543219666931	-0.381383799589355	2.71933128698373	-0.0705810742857073
0.86	522	0.413957176843775	-0.38304458357082	2.71767050300226	-0.0655015487564323
0.87	521	0.413164155432197	-0.383877363273557	2.71683772329952	-0.0604807473813815
0.88	513	0.406819984139572	-0.390597721461265	2.71011736511182	-0.0555173278498314
0.89	512	0.406026962727994	-0.391445125597251	2.70926996097583	-0.0506099933550872
0.9	510	0.404440919904837	-0.393144910475145	2.70757017609794	-0.0457574905606751
0.92	508	0.402854877081681	-0.394851374289162	2.70586371228392	-0.0362121726544447
0.93	505	0.400475812846947	-0.39742370845442	2.70329137811866	-0.0315170514460649
0.95	498	0.3949246629659	-0.403485743813364	2.69722934275972	-0.0222763947111523
0.96	495	0.392545598731166	-0.406109887639513	2.69460519893357	-0.0177287669604316
0.98	492	0.390166534496431	-0.408749983805721	2.69196510276736	-0.00877392430750515
1.03	491	0.389373513084853	-0.409633594450113	2.69108149212297	0.0128372247051722
1.04	488	0.386994448850119	-0.412295264570371	2.68841982200271	0.0170333392987804
1.05	486	0.385408406026963	-0.414078817310788	2.68663626926229	0.0211892990699381
1.06	484	0.383822363203807	-0.415869724928669	2.68484536164441	0.0253058652647703
1.07	481	0.381443298969072	-0.41857001019925	2.68214507637383	0.0293837776852097
1.08	479	0.379857256145916	-0.420379573158518	2.68033551341456	0.0334237554869497
1.1	475	0.376685170499603	-0.424021476948215	2.67669360962487	0.0413926851582251
1.12	474	0.375892149088025	-0.424936744898997	2.67577834167409	0.0492180226701817
1.15	466	0.3695479777954	-0.432329169883081	2.66838591669	0.0606978403536116
1.19	465	0.368754956383822	-0.433262133683128	2.66745295288995	0.0755469613925307
1.21	462	0.366375892149088	-0.436073111016956	2.66464197555613	0.0827853703164501
1.23	461	0.36558287073751	-0.437014161183434	2.66370092538965	0.0899051114393979
1.24	460	0.364789849325932	-0.437957254891508	2.66275783168157	0.0934216851622351
1.25	458	0.363203806502776	-0.439849608569212	2.66086547800387	0.0969100130080564
1.26	454	0.360031720856463	-0.443659233715978	2.6570558528571	0.100370545117563
1.27	452	0.358445678033307	-0.4455766517617	2.65513843481138	0.103803720955957
1.28	447	0.354480570975416	-0.450407563441145	2.65030752313194	0.107209969647868
1.29	446	0.353687549563838	-0.45138022786094	2.64933485871214	0.110589710299249
1.3	445	0.35289452815226	-0.45235507559215	2.64836001098093	0.113943352306837
1.32	444	0.352101506740682	-0.453332116458462	2.64738297011462	0.12057393120585
1.33	443	0.351308485329104	-0.454311360350012	2.64640372622307	0.123851640967086
1.34	441	0.349722442505948	-0.456276497105243	2.64443858946784	0.127104798364808
1.38	440	0.34892942109437	-0.457262410086894	2.64345267648619	0.139879086401236
1.39	439	0.348136399682791	-0.45825056633096	2.64246452024212	0.143014800254095
1.4	438	0.347343378271213	-0.459240976068982	2.6414741105041	0.146128035678238
1.41	437	0.346550356859635	-0.46023364960266	2.64048143697042	0.14921911265538
1.42	436	0.345757335448057	-0.461228597304496	2.63948648926859	0.152288344383056
1.46	435	0.344964314036479	-0.462225829618444	2.63848925695464	0.164352855784437
1.47	428	0.339413164155432	-0.46927131755991	2.63144376901317	0.167317334748176
1.49	427	0.338620142743854	-0.470287211548058	2.63042787502502	0.173186268412274
1.5	412	0.326724821570182	-0.485817870539947	2.61489721603313	0.176091259055681
1.52	407	0.322759714512292	-0.491120677347862	2.60959440922522	0.181843587944773
1.54	404	0.320380650277558	-0.494333721462477	2.6063813651106	0.187520720836463
