"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"sp_area_chull"	"sp_area_geosphere"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
24548	Artiodactyla	Cainotheriidae		Microtherium	renggeri	Microtherium	NA	NA	S2300	Microtherium	1	1	0	13.52	13.52	0	0	0	0	0	47.4	47.4	8.1	8.1	0
27190	Artiodactyla	Bachitheriidae		Bachitherium	insigne	Bachitherium	36000	bra	NA	Bachitherium	39	4	11.13	31.73	20.6	1.2123864	0.951723324	1.10108419296619	0.813555630000001	0.571863919175155	48.9	40.7	11.4	-0.6	6.052
21848	Perissodactyla	Equidae	Equinae	Equus	indet.	Equus	NA	hyp	L2320	Equus	1133	59	5.41	5.41	0	398.40532587	312.74818080795	19.9600933331986	247.754918745	234.448952537972	75.3	-39	160	-122.9	1.27666666666667
25034	Perissodactyla	Rhinocerotidae		Coelodonta	antiquitatis	Coelodonta	1837313	hyp	L2222	Coelodonta	250	19	3.89	3.89	0	90.5076018	71.048467413	9.51354832856805	51.343886385	29.2148220673374	71.2	31.6	179.7	-5.8	1.6
25173	Artiodactyla	Bovidae	Bovinae	Bos	primigenius	Bos	1059726	hyp	L2220	Bos	290	44	3.96	3.96	0	145.84392342	114.4874798847	12.076585751776	104.559517485	90.8302669598312	60.7	-25.2	129.8	-8	0.135
29944	Artiodactyla	Bovidae	Antilopini	Gazella	prjewalskyi	Gazella	NA	NA	L2220	Gazella	629	45	15.7	15.7	0	143.29791198	112.4888609043	11.9707105879309	81.16323219	77.094079126006	52.5	-34.1	126.3	-8	0.818
21244	Rodentia	Muridae	Murinae	Stephanomys	donnezani	Stephanomys	NA	NA	NA	Stephanomys	127	4	6.74	7.35	0.61	15.94657746	12.5180633061	3.99331659901892	7.95228142499999	2.59818764105259	47.3	36.7	115.9	-6.2	3.7125
21245	Rodentia	Muridae	Murinae	Castillomys	crusafonti	Castillomys	NA	NA	NA	Castillomys	65	6	5.24	6.2	0.96	5.92479927	4.65096742695	2.43409105622612	3.773491065	2.70604695687475	44.7	31	28.5	-6.6	5.24
21359	Rodentia	Muridae	Arvicolinae	Mimomys	indet.	Mimomys	50	hyp	NA	Mimomys	380	24	4.79	5.15	0.36	73.20596076	57.4666791966	8.55604819762021	41.3813106	29.4032043172944	54.6	27.8	121.7	-100	1.67
22325	Lagomorpha	Ochotonidae		Prolagus	ibericus	Prolagus	NA	NA	NA	Prolagus	647	19	20.75	21.15	0.4	12.18448332	9.5648194062	3.49062792631927	7.3334592	4.9011541809367	51.1	31	40	-9.2	11.97
24665	Rodentia	Muridae	Cricetinae	Apocricetus	angustidens	Apocricetus	NA	NA	NA	Apocricetus	57	4	3.39	7.35	3.96	3.65514786	2.8692910701	1.91184409929262	1.356850125	0.936665765218607	47.3	31	11.6	-6.6	2.24
21623	Proboscidea	Deinotheriidae		Deinotherium	giganteum	Deinotherium	11240000	bra	L2202	Deinotherium	247	29	18.28	19.24	0.96	59.28175224	46.5361755084	7.69946441254195	38.05353171	33.5328602059765	50.8	-4	71	-16.8	6.6525
20577	Rodentia	Muridae	Copemyinae	Democricetodon	brevis	Democricetodon	24	NA	NA	Democricetodon	724	23	13.6	22.35	8.75	82.09506942	64.4446294947	9.06063294808922	55.26313488	48.9983833086885	53.2	0.9	118.3	-9.1	5.87625
20673	Rodentia	Muridae	Megacricetodontinae	Megacricetodon	minor	Megacricetodon	11	NA	NA	Megacricetodon	655	19	16.98	23.03	6.05	38.92844592	30.5588300472	6.23926645688417	26.08663725	18.1665912562677	51.2	26.4	118.3	-9.1	9.24928571428572
20844	Rodentia	Sciuridae		Spermophilinus	bredai	Spermophilinus	116	NA	NA	Spermophilinus	339	18	20.36	20.6	0.24	32.428872	25.45666452	5.69463537024101	25.674684615	17.5074918398578	53.2	33.2	122.5	-9.1	10.725
21047	Rodentia	Muridae	Eumyarioninae	Eumyarion	leemanni	Eumyarion	NA	NA	NA	Eumyarion	280	15	12.95	22.35	9.4	22.7100672	17.827402752	4.76550807364755	16.00411653	13.654795180825	51.2	35.2	113.5	-1.7	4.09166666666667
23690	Rodentia	Sciuridae		Heteroxerus	rubricati	Heteroxerus	NA	NA	NA	Heteroxerus	439	6	24.2	30.4	6.2	3.92768838	3.0832353783	1.98183964538002	1.66555278	1.16144556087902	50.9	37.1	13.7	-9.4	9.604
24555	Rodentia	Sciuridae	Pteromyini	Miopetaurista	neogrivensis	Miopetaurista	NA	NA	NA	Miopetaurista	97	16	18.39	20.6	2.21	62.01873918	48.6847102563	7.8751977232321	40.403947275	31.4479832458252	51.1	25.3	112.7	-82.4	7.9175
24593	Rodentia	Gliridae	Glirinae	Muscardinus	thaleri	Muscardinus	NA	NA	NA	Muscardinus	273	18	17.65	17.77	0.12	7.68189708	6.0302892078	2.77162354586621	6.292273095	4.33580812094784	51.4	37.1	40	-3.6	5.57333333333333
34287	Rodentia	Muridae	Cricetodontinae	Hispanomys	decedens	Hispanomys	96	NA	NA	Hispanomys	163	4	7.29	13.49	6.2	2.11933521	1.66367813985	1.45579367013324	0.694165139999999	0.541525236613019	47.4	37.1	7.6	-9.1	3.85714285714286
20603	Rodentia	Gliridae		Glirudinus	undosus	Glirudinus	NA	NA	NA	Glirudinus	228	12	20.65	30.4	9.75	7.22454156	5.6712651246	2.68785073246265	4.99973859	3.22941122164635	51.2	37.5	33.4	-9.4	10.9857142857143
20612	Rodentia	Gliridae		Microdyromys	complicatus	Microdyromys	19	NA	NA	Microdyromys	510	22	28.3	34.5	6.2	36.38834856	28.5648536196	6.03227557062838	27.43443144	16.9559167513962	51.2	28	118.2	-9.1	6.655
85237	Rodentia	Gliridae	NA	Bransatoglis	astaracensis	Bransatoglis	NA	NA	NA	Bransatoglis	152	13	27.02	36.77	9.75	7.17390225	5.63151326625	2.67841412966703	4.7706912	3.08156787560388	51.2	37.5	33.4	-9.1	8.61
20460	Rodentia	Eomyidae		Eomyops	oppligeri	Eomyops	NA	NA	NA	Eomyops	96	14	12.52	16.8	4.28	6.89976	5.4163116	2.62673942369623	4.822993845	3.43436888328588	51.2	35.2	33.5	-1.5	7.814
20481	Rodentia	Muridae	Anomalomyinae	Anomalomys	gaudryi	Anomalomys	35	NA	NA	Anomalomys	127	14	11.65	16.8	5.15	5.4803808	4.302098928	2.34102131558002	3.82899717	2.64161288158827	51.2	37.3	33.4	1.4	8.194
20607	Rodentia	Gliridae		Myoglis	meini	Myoglis	92	NA	NA	Myoglis	95	14	11.44	20.6	9.16	6.69954375	5.25914184375	2.58834768723215	4.36311252	2.66258278068903	51.2	38.7	34.3	-9.2	6.8525
23689	Rodentia	Eomyidae		Keramidomys	carpathicus	Keramidomys	3	NA	NA	Keramidomys	162	16	12.84	16.8	3.96	24.087555	18.908730675	4.90790739521438	17.619830865	12.9592973651347	53.2	36.2	113.5	-1.5	9.438
23700	Rodentia	Sciuridae	Pteromyini	Albanensia	quiricensis	Albanensia	NA	NA	NA	Albanensia	58	11	9.45	16.8	7.35	30.13519464	23.6561277924	5.48955322772264	9.81071946	0.237937130379612	49	25.3	102.4	-0.8	4.6
24079	Rodentia	Sciuridae	Pteromyini	Hylopetes	hoeckarum	Hylopetes	NA	NA	NA	Hylopetes	50	15	22.3	22.35	0.05	60.62572692	47.5911956322	7.78625243104794	26.52206139	20.978924935469	51.4	9.2	118.4	1.8	5.282
84409	Rodentia	Sciuridae	Sciurinae	Tamias	sp.	Tamias	NA	NA	NA	Tamias	60	13	18.1	18.11	0.01	97.8336684	76.799429694	9.89109035445537	73.874066985	29.8171552192677	54.5	23.3	133	-121.5	8.766
20610	Rodentia	Gliridae		Paraglirulus	werenfelsi	Paraglirulus	32	NA	NA	Paraglirulus	75	13	7.64	16.8	9.16	5.6380896	4.425900336	2.37446617158468	3.92312961	2.69972464747099	51.2	35.2	27.1	-1.5	2.77
20628	Rodentia	Gliridae		Myomimus	dehmi	Myomimus	NA	NA	NA	Myomimus	127	11	17.95	18.35	0.4	31.89672801	25.03893148785	5.64771883241367	17.679218085	16.5256447466514	48.1	26.4	114.5	-4.8	8.96
85720	Primates	incertae sedis		Pliobates	cataloniae	Pliobates	NA	NA	NA	Pliobates	1	1	0	11.62	11.62	0	0	0	0	0	41.5	41.5	1.8	1.8	0
84412	Rodentia	Gliridae	NA	Eliomys	sp.	Eliomys	NA	NA	NA	Eliomys	173	13	16.04	16.08	0.04	8.93223216	7.0118022456	2.98868401809224	5.712446835	4.0228166152282	52	33.6	31.8	-7.6	0.56125
84413	Rodentia	Sciuridae	Pteromyini	Forsythia	sp.	Forsythia	NA	NA	NA	Forsythia	20	11	11	18.35	7.35	32.51770641	25.52639953185	5.7024298689243	8.83132317	1.96849629428595	51.2	25.3	102.4	0.5	3.1625
85745	Carnivora	Mustelidae	Eomellivorini	Eomellivora	moralesi	Eomellivora	NA	NA	NA	Eomellivora	26	13	6.95	12.73	5.78	139.5217719	109.5245909415	11.8119334530804	75.0274974	41.6184098333988	49.8	0.8	112.2	-118.9	2.42
82232	Primates	Hominidae	Dryopithecini	Anoiapithecus	brevirostris	Anoiapithecus	NA	bra	NA	Anoiapithecus	3	1	0.39	12.37	11.98	0	0	0	0	0	41.5	41.5	1.8	1.8	0.129999999999999
20249	Primates	Hominidae	Dryopithecini	Dryopithecus	fontani	Dryopithecus	35000	bra	R2200	Dryopithecus	17	5	6.38	12.16	5.78	32.15781	25.24388085	5.67078565985349	12.031271685	5.92650400791634	48.6	23.6	104.8	0.4	4.3475
84426	Carnivora	Ursidae	Ailuropodinae	Kretzoiarctos	beatrix	Kretzoiarctos	NA	NA	NA	Kretzoiarctos	3	2	0.23	11.85	11.62	1.0053936	0.789233976	1.0026931734085	0.104482080000001	0.0875908252784556	47.9	41.1	10.6	-1.4	0.19
21827	Carnivora	Ursidae		Ursus	indet.	Ursus	NA	NA	NA	Ursus	596	42	5.15	5.15	0	231.44456376	181.6839825516	15.2133021977479	159.165203805	30.6489156555538	80.2	13.8	160	-122.9	2.1425
22265	Carnivora	Canidae	Caninae	Vulpes	vulpes	Vulpes	8000	NA	NA	Vulpes	435	42	11.09	11.1	0.01	311.72117679	244.70112378015	17.655627340596	173.20048614	173.433602547632	64	-34.1	135	-122.9	0.791666666666667
22701	Artiodactyla	Cervidae	Cervinae	Cervus	elaphus	Cervus	210223	mes	L2220	Cervus	741	46	8.94	8.94	0	254.7933516	200.012781006	15.9622476988675	132.091284825	61.0711989938006	67.9	-8.1	160	-112.1	0.486
25060	Carnivora	Canidae	Caninae	Canis	lupus	Canis	29000	bra	NA	Canis	596	50	11.1	11.1	0	362.5035336	284.565273876	19.0395255613159	213.81456807	215.715906346996	70.4	-33.6	160	-122.9	1.58
25194	Artiodactyla	Suidae	Suinae	Sus	scrofa	Sus	124715	bra	R2200	Sus	521	44	5.14	5.15	0.01	117.5472684	92.274605694	10.8419218038132	69.33002058	47.7101907830019	59.5	-8.5	133.1	-7.2	0.0533333333333333
25240	Primates	Hominidae	Hominini	Homo	neanderthalensis	Homo	NA	bra	R2200	Homo	230	35	3.74	3.75	0.01	155.07358452	121.7327638482	12.4528544727705	112.63907484	113.156035469366	56.1	-33.1	133.1	-8	0.323333333333333
25245	Artiodactyla	Bovidae		Rupicapra	rupicapra	Rupicapra	37000	hyp	L2220	Rupicapra	42	13	0.95	0.96	0.01	5.83374708	4.5794914578	2.41531510987697	3.834603225	2.31672329738922	50.4	41.5	46	-7.2	0.055
25315	Carnivora	Felidae	Felinae	Panthera	pardus	Panthera	53750	NA	NA	Panthera	463	46	6.2	6.2	0	309.5823744	243.022163904	17.5949530945666	200.352828285	192.153385558776	70.4	-33.6	160	-81.6	0.25
25488	Perissodactyla	Rhinocerotidae		Stephanorhinus	hemitoechus	Stephanorhinus	1519249	mes	L2212	Stephanorhinus	317	33	15.29	15.3	0.01	41.61738096	32.6696440536	6.45115345965355	32.158487655	24.3969814985825	55.5	30.7	129	-7.2	0.1
25689	Artiodactyla	Bovidae		Capra	pyrenaica	Capra	NA	hyp	L2220	Capra	123	27	3.01	3.02	0.01	52.95590442	41.5703849697	7.27708076222877	38.10614238	20.9277531574854	57.1	26	133	-5.2	0.24
24632	Rodentia	Gliridae		Vasseuromys	bacchius	Vasseuromys	NA	NA	NA	Vasseuromys	67	10	16.43	23.78	7.35	13.50738909	10.60330043565	3.67524000440788	7.77966421499999	6.88962765927003	49	37.3	88.5	-5.2	9.08142857142857
25328	Carnivora	Mustelidae		Meles	meles	Meles	13000	NA	NA	Meles	191	30	6.38	6.39	0.01	106.0825779	83.2748236515	10.2996396975817	61.91992476	25.6739462636602	59.5	22.5	133.1	-99.6	0.84875
25451	Carnivora	Mustelidae		Mustela	sibiricus	Mustela	NA	NA	NA	Mustela	230	26	16.79	16.8	0.01	175.056768	137.41956288	13.2309020100672	106.110608175	39.526487076035	59.3	3.8	133.1	-122.9	0.795
29867	Lagomorpha	Leporidae		Lepus	wongi	Lepus	NA	NA	NA	Lepus	214	31	9.4	9.4	0	302.1404904	237.180284964	17.3821888840272	144.18342225	134.444491673106	67.9	-33.6	160	-81.6	0.852857142857143
