"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.0834495608137035	15	0.375	-0.425968732272281	1.17609125905568	-1.07857594462508
0.163088806329558	14	0.35	-0.455931955649724	1.14612803567824	-0.787575845925585
0.314092736305697	13	0.325	-0.488116639021126	1.11394335230684	-0.502942106959757
0.363349136850495	12	0.3	-0.522878745280338	1.07918124604762	-0.439675867152329
0.404297596455878	10	0.25	-0.602059991327962	1	-0.39329884053388
0.40692061043894	9	0.225	-0.647817481888638	0.954242509439325	-0.390490312670149
0.550651187004986	8	0.2	-0.698970004336019	0.903089986991944	-0.259123420257349
1.00042841213152	7	0.175	-0.756961951313706	0.845098040014257	0.00018601718153661
1.02048156521811	6	0.15	-0.823908740944319	0.778151250383644	0.00880516368573489
1.03763450703993	5	0.125	-0.903089986991944	0.698970004336019	0.0160444059902864
1.05757663807405	4	0.1	-1	0.602059991327962	0.0243118486585938
1.41693706504559	3	0.075	-1.1249387366083	0.477121254719662	0.151350560967002
2.39569528508949	2	0.05	-1.30102999566398	0.301029995663981	0.379431578149695
2.40958349004553	1	0.025	-1.60205999132796	0	0.381941978837221
