Order	Nsp	InterceptSemilog	SlopeSemilog	R2Semilog	IntereptPlain	SlopePlain	R2Plain	InterceptLoglog	SlopeLoglog	R2Loglog	BestModel	R2Best
Rodentia	856	+AC0-0.087	+AC0-0.075	0.99	0.551	+AC0-0.031	0.8	+AC0-0.092	+AC0-0.801	0.653	exponential	0.99
Artiodactyla	648	+AC0-0.011	+AC0-0.103	0.981	0.615	+AC0-0.045	0.848	+AC0-0.092	+AC0-0.859	0.64	exponential	0.981
Carnivora	458	+AC0-0.091	+AC0-0.087	0.986	0.547	+AC0-0.036	0.843	+AC0-0.227	+AC0-0.696	0.605	exponential	0.986
Primates	265	+AC0-0.23	+AC0-0.114	0.99	0.433	+AC0-0.038	0.771	+AC0-0.392	+AC0-0.751	0.688	exponential	0.99
Eulipotyphla	229	0.003	+AC0-0.062	0.966	0.675	+AC0-0.033	0.901	0.061	+AC0-0.783	0.648	exponential	0.966
Perissodactyla	201	0.077	+AC0-0.079	0.967	0.706	+AC0-0.04	0.908	0.228	+AC0-1.001	0.68	exponential	0.967
Chiroptera	96	+AC0-0.338	+AC0-0.038	0.978	0.363	+AC0-0.012	0.862	+AC0-0.236	+AC0-0.648	0.728	exponential	0.978
Notoungulata	84	+AC0-0.331	+AC0-0.206	0.871	0.273	+AC0-0.043	0.925	+AC0-0.653	+AC0-0.827	0.547	linear	0.925
Condylarthra	80	+AC0-0.148	+AC0-0.118	0.987	0.485	+AC0-0.047	0.846	+AC0-0.155	+AC0-0.982	0.799	exponential	0.987
Cingulata	77	+AC0-0.109	+AC0-0.219	0.955	0.48	+AC0-0.08	0.914	+AC0-0.455	+AC0-0.919	0.678	exponential	0.955
Lagomorpha	66	+AC0-0.11	+AC0-0.062	0.973	0.608	+AC0-0.033	0.874	+AC0-0.195	+AC0-0.584	0.678	exponential	0.973
Pilosa	56	+AC0-0.194	+AC0-0.144	0.899	0.375	+AC0-0.043	0.974	+AC0-0.179	+AC0-1.142	0.725	linear	0.974
Cimolesta	55	+AC0-0.139	+AC0-0.084	0.984	0.549	+AC0-0.04	0.832	+AC0-0.176	+AC0-0.752	0.747	exponential	0.984
Creodonta	53	+AC0-0.22	+AC0-0.073	0.922	0.499	+AC0-0.032	0.644	+AC0-0.123	+AC0-0.883	0.843	exponential	0.922
Proboscidea	49	0.054	+AC0-0.076	0.956	0.677	+AC0-0.04	0.934	0.375	+AC0-1.136	0.756	exponential	0.956
Sparassodonta	40	+AC0-0.178	+AC0-0.104	0.969	0.377	+AC0-0.03	0.831	0.28	+AC0-1.503	0.9	exponential	0.969
Multituberculata	27	+AC0-0.126	+AC0-0.053	0.825	0.627	+AC0-0.03	0.597	0.057	+AC0-0.791	0.738	exponential	0.825
Hyracoidea	25	0.036	+AC0-0.114	0.917	0.693	+AC0-0.065	0.874	+AC0-0.316	+AC0-0.418	0.391	exponential	0.917
Didelphimorphia	19	+AC0-0.268	+AC0-0.028	0.883	0.509	+AC0-0.015	0.638	+AC0-0.036	+AC0-0.693	0.951	power	0.951
Mesonychia	18	+AC0-0.194	+AC0-0.092	0.94	0.56	+AC0-0.053	0.831	+AC0-0.285	+AC0-0.693	0.879	exponential	0.94
