"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"InterceptSemilog2"	"SlopeSemilog2"	"R2Semilog2"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"IntereptPlain2"	"SlopePlain2"	"R2Plain2"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Artiodactyla"	"648"	"-0.172"	"-0.231"	"0.981"	"-0.372"	"-0.034"	"0.927"	"0.517"	"-0.097"	"0.814"	"0.417"	"-0.012"	"0.526"	"-0.592"	"-0.618"	"0.644"	"Exponential"	"0.981"
"Perissodactyla"	"201"	"-0.181"	"-0.172"	"0.962"	"-0.44"	"-0.012"	"0.649"	"0.527"	"-0.074"	"0.688"	"0.403"	"-0.004"	"0.269"	"-0.487"	"-0.678"	"0.703"	"Exponential"	"0.962"
"Rodentia"	"856"	"-0.227"	"-0.299"	"0.99"	"-0.478"	"-0.043"	"0.774"	"0.456"	"-0.108"	"0.753"	"0.351"	"-0.012"	"0.353"	"-0.712"	"-0.615"	"0.637"	"Exponential"	"0.99"
"Lagomorpha"	"66"	"-0.192"	"-0.227"	"0.967"	"-0.443"	"-0.027"	"0.732"	"0.5"	"-0.097"	"0.736"	"0.381"	"-0.009"	"0.375"	"-0.567"	"-0.607"	"0.638"	"Exponential"	"0.967"
"Proboscidea"	"49"	"-0.098"	"-0.114"	"0.901"	"-0.261"	"-0.012"	"0.973"	"0.587"	"-0.06"	"0.98"	"0.484"	"-0.006"	"0.854"	"-0.378"	"-0.496"	"0.531"	"Linear"	"0.98"
"Primates"	"265"	"-0.453"	"-0.359"	"0.951"	"-0.653"	"-0.057"	"0.631"	"0.311"	"-0.095"	"0.633"	"0.251"	"-0.012"	"0.252"	"-0.997"	"-0.603"	"0.761"	"Exponential"	"0.951"
"Carnivora"	"458"	"-0.286"	"-0.14"	"0.98"	"-0.467"	"-0.012"	"0.852"	"0.432"	"-0.05"	"0.717"	"0.355"	"-0.003"	"0.417"	"-0.586"	"-0.587"	"0.693"	"Exponential"	"0.98"
"Cingulata"	"77"	"-0.361"	"-0.883"	"0.945"	"-0.643"	"-0.521"	"0.935"	"0.272"	"-0.194"	"0.882"	"0.202"	"-0.101"	"0.684"	"-1.186"	"-0.853"	"0.645"	"Exponential"	"0.945"
"Eulipotyphla"	"229"	"-0.202"	"-0.259"	"0.983"	"-0.437"	"-0.035"	"0.788"	"0.492"	"-0.103"	"0.729"	"0.384"	"-0.011"	"0.377"	"-0.629"	"-0.665"	"0.676"	"Exponential"	"0.983"
"Chiroptera"	"96"	"-0.662"	"-0.09"	"0.898"	"-0.741"	"-0.008"	"0.857"	"0.205"	"-0.019"	"0.775"	"0.185"	"-0.002"	"0.63"	"-0.917"	"-0.458"	"0.79"	"Exponential"	"0.898"
"Creodonta"	"53"	"-0.457"	"-0.251"	"0.927"	"-0.586"	"-0.042"	"0.707"	"0.33"	"-0.08"	"0.646"	"0.284"	"-0.012"	"0.365"	"-0.913"	"-0.531"	"0.835"	"Exponential"	"0.927"
"Hyracoidea"	"25"	"-0.255"	"-0.364"	"0.869"	"-0.33"	"-0.172"	"0.935"	"0.488"	"-0.19"	"0.952"	"0.438"	"-0.083"	"0.877"	"-0.739"	"-0.345"	"0.604"	"Linear"	"0.952"
"Condylarthra"	"80"	"-0.196"	"-0.616"	"0.909"	"-0.531"	"-0.164"	"0.662"	"0.435"	"-0.211"	"0.665"	"0.31"	"-0.046"	"0.325"	"-0.898"	"-1.073"	"0.754"	"Exponential"	"0.909"
"Cimolesta"	"55"	"-0.166"	"-0.466"	"0.949"	"-0.443"	"-0.128"	"0.828"	"0.476"	"-0.183"	"0.778"	"0.355"	"-0.043"	"0.498"	"-0.736"	"-0.709"	"0.611"	"Exponential"	"0.949"
"Mesonychia"	"18"	"-0.104"	"-0.755"	"0.91"	"-0.231"	"-0.627"	"0.972"	"0.632"	"-0.478"	"0.979"	"0.535"	"-0.362"	"0.871"	"-0.743"	"-0.454"	"0.611"	"Linear"	"0.979"
"Multituberculata"	"27"	"0.132"	"-0.728"	"0.877"	"-0.1"	"-0.422"	"0.987"	"0.809"	"-0.475"	"0.966"	"0.633"	"-0.25"	"0.898"	"-0.623"	"-0.78"	"0.555"	"Exponential2"	"0.987"
