Order	Nsp	InterceptSemilog	SlopeSemilog	R2Semilog	InterceptSemilog2	SlopeSemilog2	R2Semilog2	IntereptPlain	SlopePlain	R2Plain	IntereptPlain2	SlopePlain2	R2Plain2	InterceptLoglog	SlopeLoglog	R2Loglog	BestModel	R2Best
Rodentia	856	+AC0-0.143	+AC0-0.19	0.996	+AC0-0.385	+AC0-0.019	0.869	0.537	+AC0-0.079	0.758	0.419	+AC0-0.006	0.42	+AC0-0.486	+AC0-0.703	0.672	Exponential	0.996
Artiodactyla	648	+AC0-0.109	+AC0-0.157	0.969	+AC0-0.31	+AC0-0.016	0.947	0.583	+AC0-0.074	0.841	0.468	+AC0-0.006	0.572	+AC0-0.42	+AC0-0.639	0.635	Exponential	0.969
Carnivora	458	+AC0-0.186	+AC0-0.106	0.984	+AC0-0.378	+AC0-0.007	0.87	0.528	+AC0-0.046	0.749	0.43	+AC0-0.002	0.442	+AC0-0.422	+AC0-0.575	0.661	Exponential	0.984
Primates	265	+AC0-0.327	+AC0-0.242	0.985	+AC0-0.541	+AC0-0.03	0.747	0.394	+AC0-0.08	0.691	0.313	+AC0-0.008	0.323	+AC0-0.768	+AC0-0.589	0.714	Exponential	0.985
Eulipotyphla	229	+AC0-0.101	+AC0-0.172	0.983	+AC0-0.301	+AC0-0.019	0.913	0.616	+AC0-0.088	0.823	0.493	+AC0-0.008	0.52	+AC0-0.455	+AC0-0.58	0.642	Exponential	0.983
Perissodactyla	201	+AC0-0.075	+AC0-0.137	0.992	+AC0-0.316	+AC0-0.011	0.859	0.629	+AC0-0.07	0.817	0.485	+AC0-0.004	0.454	+AC0-0.358	+AC0-0.601	0.623	Exponential	0.992
Chiroptera	96	+AC0-0.43	+AC0-0.088	0.972	+AC0-0.565	+AC0-0.006	0.897	0.325	+AC0-0.027	0.794	0.276	+AC0-0.002	0.551	+AC0-0.672	+AC0-0.454	0.691	Exponential	0.972
Notoungulata	84	+AC0-0.493	+AC0-0.773	0.955	+AC0-0.731	+AC0-0.437	0.941	0.221	+AC0-0.145	0.904	0.17	+AC0-0.074	0.721	+AC0-1.294	+AC0-1.012	0.809	Exponential	0.955
Condylarthra	80	+AC0-0.121	+AC0-0.387	0.865	+AC0-0.468	+AC0-0.056	0.577	0.517	+AC0-0.151	0.653	0.371	+AC0-0.018	0.286	+AC0-0.606	+AC0-1.174	0.759	Exponential	0.865
Cingulata	77	+AC0-0.232	+AC0-0.431	0.945	+AC0-0.427	+AC0-0.145	0.949	0.432	+AC0-0.161	0.913	0.346	+AC0-0.048	0.719	+AC0-0.819	+AC0-0.652	0.657	Exponential2	0.949
Lagomorpha	66	+AC0-0.145	+AC0-0.132	0.962	+AC0-0.359	+AC0-0.01	0.755	0.588	+AC0-0.067	0.702	0.466	+AC0-0.004	0.373	+AC0-0.416	+AC0-0.528	0.631	Exponential	0.962
Pilosa	56	+AC0-0.263	+AC0-0.413	0.882	+AC0-0.592	+AC0-0.101	0.827	0.32	+AC0-0.104	0.841	0.229	+AC0-0.022	0.61	+AC0-0.808	+AC0-0.757	0.509	Exponential	0.882
Cimolesta	55	+AC0-0.165	+AC0-0.243	0.931	+AC0-0.388	+AC0-0.037	0.8	0.536	+AC0-0.112	0.736	0.421	+AC0-0.015	0.47	+AC0-0.523	+AC0-0.844	0.784	Exponential	0.931
Creodonta	53	+AC0-0.281	+AC0-0.177	0.973	+AC0-0.412	+AC0-0.024	0.852	0.472	+AC0-0.078	0.743	0.404	+AC0-0.009	0.489	+AC0-0.66	+AC0-0.483	0.748	Exponential	0.973
Proboscidea	49	+AC0-0.03	+AC0-0.086	0.899	+AC0-0.212	+AC0-0.006	0.967	0.666	+AC0-0.049	0.962	0.536	+AC0-0.003	0.787	+AC0-0.325	+AC0-0.396	0.437	Exponential2	0.967
Sparassodonta	40	+AC0-0.407	+AC0-0.397	0.941	+AC0-0.596	+AC0-0.127	0.842	0.319	+AC0-0.122	0.819	0.254	+AC0-0.035	0.597	+AC0-0.924	+AC0-0.733	0.801	Exponential	0.941
Multituberculata	27	0.231	+AC0-0.433	0.918	+AC0-0.168	+AC0-0.09	0.82	0.878	+AC0-0.267	0.81	0.613	+AC0-0.049	0.577	+AC0-0.241	+AC0-1.477	0.771	Exponential	0.918
Hyracoidea	25	+AC0-0.116	+AC0-0.216	0.815	+AC0-0.209	+AC0-0.057	0.935	0.614	+AC0-0.131	0.98	0.539	+AC0-0.032	0.95	+AC0-0.558	+AC0-0.305	0.454	Linear	0.98
Didelphimorphia	19	+AC0-0.138	+AC0-0.214	0.936	+AC0-0.334	+AC0-0.036	0.834	0.585	+AC0-0.12	0.774	0.466	+AC0-0.018	0.57	+AC0-0.431	+AC0-0.79	0.81	Exponential	0.936
Mesonychia	18	+AC0-0.031	+AC0-0.503	0.919	+AC0-0.178	+AC0-0.249	0.958	0.732	+AC0-0.352	0.962	0.611	+AC0-0.158	0.824	+AC0-0.604	+AC0-0.497	0.609	Linear	0.962
