Order	Nsp	InterceptSemilog	SlopeSemilog	R2Semilog	InterceptSemilog2	SlopeSemilog2	R2Semilog2	IntereptPlain	SlopePlain	R2Plain	IntereptPlain2	SlopePlain2	R2Plain2	InterceptLoglog	SlopeLoglog	R2Loglog	BestModel	R2Best
Rodentia	2796	+AC0-0.331	+AC0-0.4	0.977	+AC0-0.638	+AC0-0.061	0.702	0.345	+AC0-0.102	0.644	0.255	+AC0-0.012	0.253	+AC0-0.903	+AC0-0.871	0.732	Exponential	0.977
Artiodactyla	1836	+AC0-0.272	+AC0-0.298	0.995	+AC0-0.535	+AC0-0.043	0.824	0.397	+AC0-0.091	0.717	0.304	+AC0-0.01	0.358	+AC0-0.748	+AC0-0.755	0.696	Exponential	0.995
Carnivora	1261	+AC0-0.346	+AC0-0.2	0.988	+AC0-0.574	+AC0-0.019	0.777	0.364	+AC0-0.057	0.667	0.288	+AC0-0.004	0.313	+AC0-0.717	+AC0-0.687	0.716	Exponential	0.988
Perissodactyla	756	+AC0-0.196	+AC0-0.296	0.997	+AC0-0.448	+AC0-0.046	0.845	0.474	+AC0-0.11	0.778	0.364	+AC0-0.013	0.406	+AC0-0.68	+AC0-0.672	0.662	Exponential	0.997
Eulipotyphla	675	+AC0-0.306	+AC0-0.435	0.959	+AC0-0.594	+AC0-0.073	0.651	0.384	+AC0-0.13	0.657	0.286	+AC0-0.016	0.243	+AC0-0.898	+AC0-0.722	0.69	Exponential	0.959
Primates	527	+AC0-0.538	+AC0-0.338	0.85	+AC0-0.743	+AC0-0.037	0.481	0.271	+AC0-0.073	0.461	0.223	+AC0-0.006	0.14	+AC0-1.092	+AC0-0.711	0.782	Exponential	0.85
Lagomorpha	239	+AC0-0.238	+AC0-0.356	0.986	+AC0-0.475	+AC0-0.071	0.84	0.44	+AC0-0.127	0.791	0.341	+AC0-0.02	0.436	+AC0-0.768	+AC0-0.605	0.641	Exponential	0.986
Chiroptera	236	+AC0-0.462	+AC0-0.383	0.919	+AC0-0.714	+AC0-0.06	0.606	0.283	+AC0-0.088	0.601	0.219	+AC0-0.011	0.236	+AC0-0.985	+AC0-0.658	0.667	Exponential	0.919
Condylarthra	226	+AC0-0.136	+AC0-0.747	0.935	+AC0-0.394	+AC0-0.365	0.96	0.461	+AC0-0.264	0.905	0.355	+AC0-0.113	0.708	+AC0-0.936	+AC0-0.914	0.661	Exponential2	0.96
Proboscidea	181	+AC0-0.235	+AC0-0.192	0.986	+AC0-0.428	+AC0-0.025	0.922	0.455	+AC0-0.074	0.857	0.365	+AC0-0.008	0.551	+AC0-0.641	+AC0-0.487	0.604	Exponential	0.986
Creodonta	131	+AC0-0.38	+AC0-0.597	0.905	+AC0-0.61	+AC0-0.157	0.603	0.364	+AC0-0.184	0.565	0.285	+AC0-0.038	0.237	+AC0-1.083	+AC0-0.764	0.792	Exponential	0.905
Cimolesta	124	+AC0-0.106	+AC0-0.888	0.969	+AC0-0.416	+AC0-0.464	0.966	0.452	+AC0-0.296	0.879	0.335	+AC0-0.137	0.684	+AC0-1.019	+AC0-1.203	0.764	Exponential	0.969
Multituberculata	104	0.062	+AC0-0.727	0.844	+AC0-0.222	+AC0-0.36	0.936	0.606	+AC0-0.323	0.947	0.462	+AC0-0.146	0.872	+AC0-0.743	+AC0-1.179	0.641	Linear	0.947
Cingulata	97	+AC0-0.475	+AC0-0.67	0.927	+AC0-0.66	+AC0-0.376	0.943	0.251	+AC0-0.15	0.907	0.2	+AC0-0.075	0.73	+AC0-1.205	+AC0-0.688	0.703	Exponential2	0.943
Didelphimorphia	56	+AC0-0.124	+AC0-0.681	0.933	+AC0-0.369	+AC0-0.34	0.962	0.483	+AC0-0.27	0.949	0.374	+AC0-0.123	0.813	+AC0-0.872	+AC0-1.036	0.756	Exponential2	0.962
Pilosa	55	+AC0-0.611	+AC0-0.351	0.946	+AC0-0.805	+AC0-0.107	0.905	0.189	+AC0-0.064	0.903	0.148	+AC0-0.017	0.677	+AC0-1.097	+AC0-0.383	0.528	Exponential	0.946
Mesonychia	49	+AC0-0.359	+AC0-0.919	0.972	+AC0-0.547	+AC0-0.702	0.949	0.336	+AC0-0.285	0.91	0.268	+AC0-0.192	0.693	+AC0-1.115	+AC0-0.623	0.702	Exponential	0.972
Hyracoidea	42	+AC0-0.48	+AC0-0.356	0.801	+AC0-0.537	+AC0-0.179	0.891	0.293	+AC0-0.113	0.921	0.269	+AC0-0.053	0.899	+AC0-0.961	+AC0-0.408	0.628	Linear	0.921
Leptictida	30	+AC0-0.188	+AC0-0.783	0.916	+AC0-0.41	+AC0-0.509	0.967	0.429	+AC0-0.291	0.982	0.339	+AC0-0.177	0.911	+AC0-0.978	+AC0-1.044	0.779	Linear	0.982
